cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109,elem_110,elem_111,elem_112,elem_113,elem_114,elem_115,elem_116,elem_117,elem_118,elem_119,elem_120,elem_121,elem_122,elem_123,elem_124,elem_125,elem_126,elem_127,elem_128,elem_129,elem_130,elem_131,elem_132,elem_133,elem_134,elem_135,elem_136,elem_137,elem_138,elem_139,elem_140,elem_141,elem_142,elem_143,elem_144,elem_145,elem_146,elem_147,elem_148,elem_149,elem_150,elem_151,elem_152,elem_153,elem_154,elem_155,elem_156,elem_157,elem_158,elem_159,elem_160,elem_161,elem_162,elem_163,elem_164,elem_165,elem_166,elem_167
-1,"AH 
 

-",papa—,Hommes—sans—,W,P,f,A-,muss—,ﬁ,®,ména—,M{r,MAIBESSE,orga—,colonne Vendôme,S,Basstnrez,.*rq,veillée,MADAME,B,<,paRfois,mgr—{t,so—,après—,fontaine Sainte—Radegonde,Sufﬁt,Çä,Garde—les,Jæn*—,j‘au_t,-_'4‘1,franciers,v-,Riez,—,"extraordi—
naire",J‘la,I,Bonsoir,histoire—,buis,s’arra—,n1,journelle—,.\,Saint-,Faut,"ba- -
*biller ma",".'I‘ _‘rien

”153",gouaillant,queussî—,"Bpse,{. _ m9il",ﬁ —Or,VÎLLACE,"S
E",s«—i,An--,D,_,"cabaretière de Saint—
Brunelle",Écoutez,Saint—Brupçue,Vêndœ,Cela—,s’ai pAs d,næûæ,ÏÊ,dﬁ,-—.,hiçgt,.»*'3,51,laisser—,".,",I‘::*7,Mæsse,4--_,s’,hu-,Figurez,j-,où-,CONSCRIPTION,Füt—ce,n’,Envoie,"J’,F——Er",Ëêü“Wwwr,bien—,masoarades,\,-*m,"F.,—.““.—",.1-,débat—,lﬁlle,"A,“",41—,tiote,Beviendront,guérir-a. _,N,N011,P‘,goguenar—,Saint—Quentin,rendez—,125,calme—,Saint—elle,.|.I.IDUIŒÏË,"M,9_",.,brin,la Remy,Lambin,calomnia—,"per audi—

- -«",Æmuie,-,n—,Doro—,épieière,dragon,F,Craintil‘s,M.—,ÎÊ-',en',Bérénice,oui—,Votre,murs.-,per labz‘a,Donc,S' ‘,Bemblay,Ë,-4_,T.—,juré,Or‘ t“,‘tu,couragement,îÎdÿl{.,Allez,non—,4',épau—,Devinez,Jeanneton,Toinon,A'1,A,ﬁllettes de Saint—,Tachons,Ïnarié,trav aille1,tîsserand,.d,Ah_æmvriers,chacun—,J,LX,îw- @ \,d—
0,"AH 
 AH 
   
   
 X 
 
 
 
 AH 

206 mon","AH 
 AH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"J 
 AH 
 
 
 
 J 
 
 
 
 
 AH 
 AH","J 
   
 AH 
 
 
 J 

—","25

 
 AH 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 J 

—",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"AH 
 X","AH 
 
 
 X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AH,aH=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,la France,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,gran—,tran—,Franz‘e,fran—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,grande—,grande Jac£,grands—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,demi—mal,demi—franc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Mai,Jamais,Mai—.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
