cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14
0,"gr -»«_—. ._.

'-‘","m1

.f_",-,.ç'g5_ { \ ..,B,gr -»«_—.,A,,,,,,,,
1,Tachons,—on,dragon,CONSCRIPTION,bâton,-*m,Ë,on.—,M_ON,ﬁ —Or,N011,,,,
2,"25

 
 AH 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 J 

—",.”sz J,125,"J 
   
 AH 
 
 
 J 

—",Jæn*—,.45-‘14 5 4— j.,,,,,,,,,
3,Norine,Norine s’,"pOrte s.

-;or_l_ 4 T.:",s’,brin,,,,,,,,,,
4,contente—,Monte,trente—six,couragement,mentevrai,couvent Brugnon,fontaine Sainte—Radegonde,contribù—,Sent,,,,,,
5,Viens,Sens,Tiens,bien—,Æmuie,Beviendront,etiens,Vieux,P‘,,,,,,
6,sa.—,hiçgt,M.—,ÏÊ,ta.—,T.—,,,,,,,,,
7,ANT,- —- Méohante,M.ÉCriant,siŒotant,gouaillant,mitan,Êçnt,An--,montagne blanche,,,,,,
8,Moi—,démo—,f,moi—-,morali—,expli—,Mole,choi—,,,,,,,
9,L’,D,ÎÊ-',I,l’,seUl’,,,,,,,,,
10,Er,Ah_æmvriers,"vieux ber—
ger",Perpétue,per labz‘a,ler,Ver—,Alerte-,Auberge,"J’,F——Er",Alger,,,,
11,char—,embar—,l‘embarras,Bemblay,-_'4‘1,goguenar—,,,,,,,,,
12,Cria,Rime,deuxièmemeht,"mme""",mêmE,M’aimeras,,,,,,,,,
13,vou—-,trou—,"P.Èg""e Boux",bou—,ajou—,déjeu—,boule—,boursi—,oui—,,,,,,
14,AuJourd’,.1-,aUjourD’,,,,,,,,,,,,
15,VÎLLACE,brillam—,VILLAGB,veillée,.»*'3,"J 
   
 
 
 J 
   
   
 

70 MON VILLAGE",,,,,,,,,
16,"reconnais—
o.",reconnais—,J,,,,,,,,,,,,
17,TOut,Tournez,mgr—{t,tour—,pour—,juré,entor—,jour—,concur—,cœur—,débour—,Tour,,,
18,N-.M,4-.-.,dﬁ,.m‘,,,,,,,,,,,
19,"Ver—

- ”\-",V::«-4«a«A. - - ' - 4,".-—-

-,",—- Tâche,- -,".-—-

-, ..",îw- @ \,Îî—“Là- ÇA,"per audi—

- -«","ba- -
*biller ma",,,,,
20,51,41—,J—3—“J.,J.;.,d—,"z.;,_f",,,,,,,,,
21,III 1:5,F,II,,,,,,,,,,,,
22,Palais—Royal,Vaise,Palais—,Poulains,Palais,J‘la,Palais—Îloyal,,,,,,,,
23,du Nord,.\,Ignore,Ordre-de—Non,Nord,"extraordi—
naire",orga—,Or‘ t“,Savoyard,,,,,,
24,._.“-—4,Çä,._.-,._,._-,——._,._—,._'d,,,,,,,
25,ména—,bague,bégueu—,baguénau—,guérir-a. _,M{r,,,,,,,,,
26,tîsserand,grande—,N,grande Jac£,grands—,.*rq,gran—,I‘::*7,masoarades,,,,,,
27,- ——,<,l«———a,_,s«—i,———-,,,,,,,,,
28,là',Voilà,ësflàz,Mevoilà,savoir—,Envoie,,,,,,,,,
29,Doro—,Rose n’,Rose,Bose,"Rose,.dit",roSe1,gros—,lﬁrosE,,,,,,,
30,ﬁelle',lﬁlle,"S
E",journelle—,Brünelle,—elle,Nﬁelles,n‘elle,Le soleil,trav aille1,el,Allez,CBLLIEB,Cela—,-4_
31,quatre—,quatre—vingts,S' ‘,reve—,Votre,,,,,,,,,,
32,Jean—,Jean—Glande,tran—,Jeanneton,Jean—Claude,,,,,,,,,,
33,calomnia—,Cachez,ca,Car—,calme—,caba—,,,,,,,,,
34,"J 
 AH 
 
 
 
 J 
 
 
 
 
 AH 
 AH","AH 
 X",AH,v-,"AH 
 

-","AH 
 
 
 X","AH 
 AH",aH=,"AH 
 AH 
   
   
 X 
 
 
 
 AH 

206 mon",,,,,,
35,demi—mal,MADAME,Maman,Armandine,mAman—,Manot,,,,,,,,,
36,Nom—de—Non,répon—,Toinon,pré Brugnon,n—,non—,Nonﬁssons,chacun—,,,,,,,
37,hu-,lutaire,mairessc,Mai—.,Mai,AI,MAIBESSE,Jamais,,,,,,,
38,".,","F.,—.““.—",l.âiïJÏ.—.,,,,,,,,,,,,
39,-—.,l—,IL— —,Il—.,IL,"Bpse,{. _ m9il",P,,,,,,,,
40,C— -,C—,c—,,,,,,,,,,,,
41,l*épidémjg,W,ép!uché,P!.=,hé—»—,,,,,,,,,,
