cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21
0.0,vachœ,Cache,ca chœœ,,,,,,,,,,,,,,,,,,,
1.0,appré—,approdhæ d‘il,,,,,,,,,,,,,,,,,,,,
2.0,Combien,bien—,,,,,,,,,,,,,,,,,,,,
3.0,Aﬂﬁe;Un,pas-Aﬂﬁe;Un,,,,,,,,,,,,,,,,,,,,
4.0,traî—,traînéæ transparents,"traî—
nant",,,,,,,,,,,,,,,,,,,
5.0,MAis-,dEmain,aimais,,,,,,,,,,,,,,,,,,,
6.0,ﬁnesse,Laisse,,,,,,,,,,,,,,,,,,,,
7.0,Appela,Cela,rappelez—,,,,,,,,,,,,,,,,,,,
8.0,vnie,Châtaigniers,Hier,,,,,,,,,,,,,,,,,,,
9.0,lesfermer,Merci,,,,,,,,,,,,,,,,,,,,
10.0,Saint-Jean,Saint—Jean,La Saint-Jean,,,,,,,,,,,,,,,,,,,
11.0,28 MARIE—CLAIRE,120 MARIE—CLAIRE,"MARIE—CLAIRE

Je me trouvais",40 MARIE—CLAIRE,102 MARIE—CLAIRE,20 MARIE—CLAIRE,MARIE—CLAIRE 89,36 MARIE—CLAIRE,52 MARIE—CLAIRE,Marie—Claire,54 MARIE—CLAIRE,MARIE—CLAIRE I I,30 MARIE—CLAIRE,"MARIE—CLAIRE

Maintenant",56 MARIE—CLAIRE,8 MARIE—CLAIRE,MARIE—CLAIRE,100 MARIE—CLAIRE,48 MARIE—CLAIRE,24 MARIE—CLAIRE,44 MARIE—CLAIRE,106 MARIE—CLAIRE
12.0,Ismé-,Ismérie,Ismétie,,,,,,,,,,,,,,,,,,,
13.0,cherchai,marchais,cher—,,,,,,,,,,,,,,,,,,,
14.0,Chemineau la Bête,beau—,,,,,,,,,,,,,,,,,,,,
15.0,ombrE,Ombreﬁnat,,,,,,,,,,,,,,,,,,,,
16.0,Nﬁnis,Enﬁn,,,,,,,,,,,,,,,,,,,,
17.0,jusqu’,qu’,,,,,,,,,,,,,,,,,,,,
18.0,méﬁancre,conﬁancre,,,,,,,,,,,,,,,,,,,,
19.0,Méla-,La grosse Mélanie,grosse Mélanie,Méanie,Mélanie,La grosse,,,,,,,,,,,,,,,,
20.0,Moi,Auberge€,eniamber,Vierge,,,,,,,,,,,,,,,,,,
21.0,Sainte—Montagne,Saint—Montagne,Sainte-Montagne,,,,,,,,,,,,,,,,,,,
22.0,cestàpeine,restais,m’étaitinœnnu,Iosentais,,,,,,,,,,,,,,,,,,
23.0,réﬂécria,décro—,,,,,,,,,,,,,,,,,,,,
24.0,alors—,mrs—,mars—,mrs,,,,,,,,,,,,,,,,,,
25.0,æsayai,croyais,,,,,,,,,,,,,,,,,,,,
26.0,"vieille
Bibiche",Bibiche,,,,,,,,,,,,,,,,,,,,
27.0,Dit,Ahñnﬁpæditpadenœetseœdt‘eæaendiæﬂ,,,,,,,,,,,,,,,,,,,,
28.0,III 0 MARIE-CLAIRE,notre Marie-Claire,MARIE-CLAIRE,,,,,,,,,,,,,,,,,,,
29.0,dix—neuf,A‘-t-VOix—,Vois,Voilà,,,,,,,,,,,,,,,,,,
30.0,Villevieüle,Villevieille,Vülevieille,Ville-,Villevieﬂle,,,,,,,,,,,,,,,,,
31.0,Castle,Castille,,,,,,,,,,,,,,,,,,,,
32.0,le soleil,soleil,Le soleil s’,,,,,,,,,,,,,,,,,,,
33.0,indiffé—,brindülæ,,,,,,,,,,,,,,,,,,,,
34.0,recon—,répon—,rencon—,baron—,Non—,non—,,,,,,,,,,,,,,,,
35.0,MARIE—,Sœur Marie—Aime,Marie—Aime,Marie—Aimée,Aimée,Marie.—Aimée,"Marie—
Annee",Sœur Marie-Aimée lavit,,,,,,,,,,,,,,
36.0,aussi—,Aussitôt,aussi‘,,,,,,,,,,,,,,,,,,,
37.0,muﬂ Qu‘elle,—elle,ﬁelle,ellE,poche;elle,mademoiselle,qu‘au,,,,,,,,,,,,,,,
38.0,la terre,La Femme,,,,,,,,,,,,,,,,,,,,
39.0,arrê—,Arrête,,,,,,,,,,,,,,,,,,,,
40.0,agenouülée,Geneviève,sene,,,,,,,,,,,,,,,,,,,
41.0,attend—,com,Rome,comette,Bel-,,,,,,,,,,,,,,,,,
42.0,chauﬁer,funﬁer,conﬁer,puriﬁer,,,,,,,,,,,,,,,,,,
43.0,sais—,onne,Chicon,connais—,,,,,,,,,,,,,,,,,,
44.0,Deslois,ri Deslois,Sois,,,,,,,,,,,,,,,,,,,
45.0,Gué,"Gué-
Perdu",château du Gué Perdu,Gué Perdu,,,,,,,,,,,,,,,,,,
46.0,manche,la Blanche,Blanche,la manche,blan—,,,,,,,,,,,,,,,,,
47.0,bæucoup,Iesecouai,,,,,,,,,,,,,,,,,,,,
48.0,Elkreùtvæsmä,Elk www,,,,,,,,,,,,,,,,,,,,
49.0,—- Voyons,Brabant,Santons,,,,,,,,,,,,,,,,,,,
50.0,grand your,de France,Tirande,chmæithcbaæondelîæu,,,,,,,,,,,,,,,,,,
51.0,inﬂiger,lingerie,Anges,,,,,,,,,,,,,,,,,,,
52.0,aper—,ser—,,,,,,,,,,,,,,,,,,,,
53.0,Gaboret,vou—,labou—,,,,,,,,,,,,,,,,,,,
54.0,repous—,trou—,trous—,Rouge,,,,,,,,,,,,,,,,,,
55.0,Sologne,Sologne.ll,,,,,,,,,,,,,,,,,,,,
56.0,heur—,supérieure,heure—,,,,,,,,,,,,,,,,,,,
57.0,Tiens,rensei—,miens,,,,,,,,,,,,,,,,,,,
58.0,Désirée—des—Anges,Désirée,Dosirée—des-Anges,Sœur Désirée—des-Ange,Désirée—des—Ange,Désirée—des-Ange,des-Ange,Désirée-des-Ange,Désirée-des-Anges,,,,,,,,,,,,,
59.0,Quelquefoîs,Quelquefois,ques—,queie,Quelque,,,,,,,,,,,,,,,,,
60.0,Maintenant,Saintes Huiles,Sylvain,laSainte Table,las—.,porte n’,intri—,,,,,,,,,,,,,,,
61.0,kam—annE103,italiE,dimi—,Mlle Maximilienne,,,,,,,,,,,,,,,,,,
62.0,chan—,teintes chan—,Tes,,,,,,,,,,,,,,,,,,,
63.0,Ma1tine,art(1,Martine,Augustine,,,,,,,,,,,,,,,,,,
64.0,Jeune,Jaune,,,,,,,,,,,,,,,,,,,,
65.0,gagea,engage—,,,,,,,,,,,,,,,,,,,,
66.0,Es-tu malade,Bel-Œil,Es-tu folle,,,,,,,,,,,,,,,,,,,
67.0,Communs,commu—,,,,,,,,,,,,,,,,,,,,
68.0,trem—,remarquai,quan—,,,,,,,,,,,,,,,,,,,
69.0,nourri—,tour—,bour—,noux,nour—,,,,,,,,,,,,,,,,,
70.0,Douze,Dæuwwiouœ,entralna,alluma,"Eﬂeplumüt
douœment—",,,,,,,,,,,,,,,,,
71.0,Prends,repren—,,,,,,,,,,,,,,,,,,,,
72.0,regar—,par-,Paris,appar—,,,,,,,,,,,,,,,,,,
73.0,tournai,Jour,Jours,Journée,,,,,,,,,,,,,,,,,,
