cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27
0,vachœ,Cache,ca chœœ,,,,,,,,,,,,,,,,,,,,,,,,,
1,Aﬂﬁe;Un,pas-Aﬂﬁe;Un,,,,,,,,,,,,,,,,,,,,,,,,,,
2,traî—,traînéæ transparents,"«,-_-",entralna,"traî—
nant",,,,,,,,,,,,,,,,,,,,,,,
3,i’,I’,v-,,,,,,,,,,,,,,,,,,,,,,,,,
4,appré—,Appela,m-,Cela,approdhæ d‘il,rappelez—,,,,,,,,,,,,,,,,,,,,,,
5,Saint-Jean,Sylvain,Saint—Jean,La Saint-Jean,,,,,,,,,,,,,,,,,,,,,,,,
6,Ismé-,Ismérie,Ismétie,,,,,,,,,,,,,,,,,,,,,,,,,
7,Châtaigniers,cherchai,chauﬁer,Bibiche,marchais,cher—,,,,,,,,,,,,,,,,,,,,,,
8,l‘a,l.il\n.vîtl‘l,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Gaboret,regar—,horpmos,bobo,,,,,,,,,,,,,,,,,,,,,,,,
10,ombrE,brindülæ,Ombreﬁnat,,,,,,,,,,,,,,,,,,,,,,,,,
11,attend—,Nﬁnis,Enﬁn,,,,,,,,,,,,,,,,,,,,,,,,,
12,méﬁancre,conﬁancre,,,,,,,,,,,,,,,,,,,,,,,,,,
13,vnie,Méla-,La grosse Mélanie,grosse Mélanie,Méanie,la terre,La Femme,Mélanie,La grosse,,,,,,,,,,,,,,,,,,,
14,dix—neuf,mägréungﬂnd,Jeune,Eugène,Jaune,jE,,,,,,,,,,,,,,,,,,,,,,
15,Maintenant,Sainte—Montagne,Saint—Montagne,laSainte Table,mnt,Sainte-Montagne,intri—,,,,,,,,,,,,,,,,,,,,,
16,réﬂécria,décro—,So—,,,,,,,,,,,,,,,,,,,,,,,,,
17,alors—,mrs—,las—.,mars—,mrs,,,,,,,,,,,,,,,,,,,,,,,
18,aussi—,Aussitôt,I,aussi‘,,,,,,,,,,,,,,,,,,,,,,,,
19,Combien,Cobtœ,Communs,com,Rome,comette,bæucoup,commu—,Iesecouai,,,,,,,,,,,,,,,,,,,
20,trou—,W’,vou—,labou—,trous—,Rouge,,,,,,,,,,,,,,,,,,,,,,
21,esprit—,Dit,indiffé—,italiE,Ahñnﬁpæditpadenœetseœdt‘eæaendiæﬂ,dimi—,,,,,,,,,,,,,,,,,,,,,,
