cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26
0,Aﬂﬁe;Un,pas-Aﬂﬁe;Un,E,,,,,,,,,,,,,,,,,,,,,,,,
1,appré—,Appela,aper—,Cela,approdhæ d‘il,rappelez—,,,,,,,,,,,,,,,,,,,,,
2,Saint-Jean,Saint—Jean,La Saint-Jean,Santons,Psadzxyt,,,,,,,,,,,,,,,,,,,,,,
3,vachœ,Châtaigniers,cherchai,chan—,chauﬁer,Bibiche,Cache,marchais,ca chœœ,cher—,,,,,,,,,,,,,,,,,
4,l‘a,l.il\n.vîtl‘l,qu‘au,,,,,,,,,,,,,,,,,,,,,,,,
5,Gaboret,regar—,horpmos,bobo,,,,,,,,,,,,,,,,,,,,,,,
6,ombrE,brindülæ,Ombreﬁnat,,,,,,,,,,,,,,,,,,,,,,,,
7,dix—neuf,Jeune,Eugène,Jaune,jE,,,,,,,,,,,,,,,,,,,,,,
8,manche,Chemineau la Bête,la Blanche,largœ,la terre,La Femme,Blanche,la manche,La grosse,las—.,blan—,,,,,,,,,,,,,,,,
9,Maintenant,Sainte—Montagne,Uninsœnt,Saint—Montagne,laSainte Table,mnt,Sainte-Montagne,intri—,,,,,,,,,,,,,,,,,,,
10,réﬂécria,décro—,So—,,,,,,,,,,,,,,,,,,,,,,,,
11,alors—,mrs—,mars—,mrs,,,,,,,,,,,,,,,,,,,,,,,
12,Combien,"«,-_-",Cobtœ,Communs,com,Rome,comette,bæucoup,commu—,,,,,,,,,,,,,,,,,,
13,trou—,vou—,labou—,trous—,Rouge,,,,,,,,,,,,,,,,,,,,,,
14,Dit,indiffé—,italiE,Ahñnﬁpæditpadenœetseœdt‘eæaendiæﬂ,dimi—,D-,chmæithcbaæondelîæu,Mﬂ,,,,,,,,,,,,,,,,,,,
15,Villevieüle,"vieille
Bibiche",Villevieille,Vin,Vülevieille,Ville-,Mlle Maximilienne,Castille,Villevieﬂle,,,,,,,,,,,,,,,,,,
16,MAis-,dEmain,sais—,Laisse,restais,æsayai,aimais,Sylvain,connais—,croyais,Iesecouai,,,,,,,,,,,,,,,,
17,Ismé-,Ismérie,Ismétie,,,,,,,,,,,,,,,,,,,,,,,,
18,i’,I’,,,,,,,,,,,,,,,,,,,,,,,,,
19,Castle,le soleil,Orgueﬁleuse,n1,soleil,Le soleil s’,,,,,,,,,,,,,,,,,,,,,
20,tournai,Douze,Dæuwwiouœ,grand your,Jour,Jours,oui—,mouy—,Journée,,,,,,,,,,,,,,,,,,
21,recon—,répon—,baron—,Non—,n—,long—,Dfaçon,non—,,,,,,,,,,,,,,,,,,,
22,MARIE—,Sœur Marie—Aime,Marie—Aime,Marie—Aimée,Aimée,Marie.—Aimée,"Marie—
Annee",jy,Sœur Marie-Aimée lavit,,,,,,,,,,,,,,,,,,
23,28 MARIE—CLAIRE,120 MARIE—CLAIRE,"MARIE—CLAIRE

Je me trouvais",40 MARIE—CLAIRE,102 MARIE—CLAIRE,20 MARIE—CLAIRE,III 0 MARIE-CLAIRE,MARIE—CLAIRE 89,notre Marie-Claire,36 MARIE—CLAIRE,52 MARIE—CLAIRE,Marie—Claire,54 MARIE—CLAIRE,rir,MARIE—CLAIRE I I,30 MARIE—CLAIRE,"MARIE—CLAIRE

Maintenant",56 MARIE—CLAIRE,8 MARIE—CLAIRE,MARIE-CLAIRE,MARIE—CLAIRE,remarquai,100 MARIE—CLAIRE,48 MARIE—CLAIRE,24 MARIE—CLAIRE,44 MARIE—CLAIRE,106 MARIE—CLAIRE
24,vnie,Méla-,méﬁancre,La grosse Mélanie,grosse Mélanie,Méanie,Mélanie,ﬂanœ,,,,,,,,,,,,,,,,,,,
25,arrê—,Arrête,I',,,,,,,,,,,,,,,,,,,,,,,,
26,.-J.,.-—v,m”.-$‘.wæw-&,,,,,,,,,,,,,,,,,,,,,,,,
27,Gué,"Gué-
Perdu",château du Gué Perdu,Gué Perdu,,,,,,,,,,,,,,,,,,,,,,,
28,aussi—,Aussitôt,aussi‘,c—,,,,,,,,,,,,,,,,,,,,,,,
29,ﬁnesse,Enﬁn,kam—annE103,n‘se,onne,.ne,Geneviève,rensei—,sene,Iosentais,ser—,eniamber,,,,,,,,,,,,,,,
30,créa—,a—,üyadægædæmæpoæra—,sépa—,,,,,,,,,,,,,,,,,,,,,,,
31,lesfermer,ﬁxer,mêmE69,forCe,Merci,,,,,,,,,,,,,,,,,,,,,,
32,._,.—.—.___‘4-4,,,,,,,,,,,,,,,,,,,,,,,,,
33,Chicon,funﬁer,conﬁancre,conﬁer,puriﬁer,,,,,,,,,,,,,,,,,,,,,,
34,J’,m-,d’,j’,,,,,,,,,,,,,,,,,,,,,,,
35,Sologne,Sologne.ll,.l,,,,,,,,,,,,,,,,,,,,,,,,
36,reve—,heur—,supérieure,heure—,hurle—,,,,,,,,,,,,,,,,,,,,,,
37,bien—,s&ie,Tiens,I,miens,,,,,,,,,,,,,,,,,,,,,,
38,Désirée—des—Anges,mägréungﬂnd,Désirée,Dosirée—des-Anges,Sœur Désirée—des-Ange,Es-tu malade,Désirée—des—Ange,Tirande,Désirée—des-Ange,des-Ange,Anges,Désirée-des-Ange,Désirée-des-Anges,,,,,,,,,,,,,,
39,L-,Bel-Œil,beau—,Bel-,,,,,,,,,,,,,,,,,,,,,,,
40,Quelquefoîs,jusqu’,Quelquefois,ques—,queie,Quelque,qu’,quan—,,,,,,,,,,,,,,,,,,,
41,Nﬁnis,Moi,—- Voyons,A‘-t-VOix—,Deslois,buis,ri Deslois,Vois,Voilà,Sois,,,,,,,,,,,,,,,,,
42,par-,A,Paris,appar—,,,,,,,,,,,,,,,,,,,,,,,
43,T‘T‘r,,,,,,,,,,,,,,,,,,,,,,,,,,
44,cestàpeine,mam,Ma1tine,art(1,Martine,Augustine,,,,,,,,,,,,,,,,,,,,,
45,agenouülée,gagea,engage—,Eh,,,,,,,,,,,,,,,,,,,,,,,
46,traî—,traînéæ transparents,Brabant,—:-‘,entralna,de France,"traî—
nant",,,,,,,,,,,,,,,,,,,,
47,l’,L’,,,,,,,,,,,,,,,,,,,,,,,,,
48,attend—,esprit—,Saintes Huiles,teintes chan—,porte n’,Tes,,,,,,,,,,,,,,,,,,,,,
49,inﬂiger,Hier,.:;‘J,Auberge€,lingerie,®hwÿeœäxwàmmmduvükdthiæge,Vierge,,,,,,,,,,,,,,,,,,,,
50,muﬂ Qu‘elle,W’,—elle,alluma,Elk www,ﬁelle,Es-tu folle,ellE,poche;elle,mademoiselle,,,,,,,,,,,,,,,,,
51,m’étaitinœnnu,m’,,,,,,,,,,,,,,,,,,,,,,,,,
52,nourri—,tour—,bour—,noux,nour—,,,,,,,,,,,,,,,,,,,,,,
53,trem—,repous—,rencon—,Pauvre,Elkreùtvæsmä,Prends,"Eﬂeplumüt
douœment—",enfin—,repren—,,,,,,,,,,,,,,,,,,
54,Ils’,s’,,,,,,,,,,,,,,,,,,,,,,,,,
55,v-,AH,AHﬁS,,,,,,,,,,,,,,,,,,,,,,,,
