cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27
0,Ma1tine,cestàpeine,m’étaitinœnnu,I,esprit—,Martine,Augustine,Cobtœ,,,,,,,,,,,,,,,,,,,,
1,Mﬂ,bæucoup,AHﬁS,qu’,.—.—.___‘4-4,réﬂécria,Eh,,,,,,,,,,,,,,,,,,,,,
2,Moi,m’,reve—,J’,Auberge€,ca chœœ,las—.,,,,,,,,,,,,,,,,,,,,,
3,Vois,A‘-t-VOix—,Castle,Voilà,,,,,,,,,,,,,,,,,,,,,,,,
4,porte n’,com,a—,Combien,commu—,Communs,comette,,,,,,,,,,,,,,,,,,,,,
5,dEmain,Maintenant,long—,Sylvain,,,,,,,,,,,,,,,,,,,,,,,,
6,Ahñnﬁpæditpadenœetseœdt‘eæaendiæﬂ,hurle—,Es-tu malade,attend—,,,,,,,,,,,,,,,,,,,,,,,,
7,dix—neuf,Iesecouai,,,,,,,,,,,,,,,,,,,,,,,,,,
8,chmæithcbaæondelîæu,traînéæ transparents,traî—,"traî—
nant","Eﬂeplumüt
douœment—",entralna,A,I’,décro—,,,,,,,,,,,,,,,,,,,
9,.:;‘J,Vierge,Châtaigniers,Hier,vnie,,,,,,,,,,,,,,,,,,,,,,,
10,recon—,répon—,baron—,Merci,Non—,largœ,non—,,,,,,,,,,,,,,,,,,,,,
11,L’,L-,n‘se,sépa—,,,,,,,,,,,,,,,,,,,,,,,,
12,ellE,mademoiselle,ombrE,Es-tu folle,muﬂ Qu‘elle,ﬁelle,poche;elle,—elle,regar—,m”.-$‘.wæw-&,æsayai,,,,,,,,,,,,,,,,,
13,manche,La Femme,la Blanche,s’,Blanche,la manche,la terre,blan—,So—,,,,,,,,,,,,,,,,,,,
14,AH,jusqu’,Eugène,,,,,,,,,,,,,,,,,,,,,,,,,
15,Désirée-des-Anges,bobo,Désirée—des-Ange,Désirée,Sœur Désirée—des-Ange,Désirée—des—Ange,Désirée—des—Anges,mägréungﬂnd,sene,._,pas-Aﬂﬁe;Un,des-Ange,Dosirée—des-Anges,Désirée-des-Ange,Anges,,,,,,,,,,,,,
16,T‘T‘r,I',Bel-Œil,forCe,oui—,Dæuwwiouœ,n1,,,,,,,,,,,,,,,,,,,,,
17,ﬂanœ,rappelez—,—:-‘,Appela,appré—,approdhæ d‘il,v-,appar—,,,,,,,,,,,,,,,,,,,,
18,Orgueﬁleuse,Ombreﬁnat,ﬁxer,créa—,d’,Dit,,,,,,,,,,,,,,,,,,,,,,
19,m-,Saintes Huiles,l.il\n.vîtl‘l,Saint-Jean,laSainte Table,Saint—Jean,La Saint-Jean,,,,,,,,,,,,,,,,,,,,,
20,Rome,Cela,Pauvre,mêmE69,,,,,,,,,,,,,,,,,,,,,,,,
21,conﬁancre,Chicon,méﬁancre,Psadzxyt,repous—,,,,,,,,,,,,,,,,,,,,,,,
22,tour—,nour—,noux,jy,bour—,mam,nourri—,Gaboret,,,,,,,,,,,,,,,,,,,,
23,.l,"«,-_-",italiE,.-J.,,,,,,,,,,,,,,,,,,,,,,,,
24,Mélanie,La grosse,brindülæ,Méla-,grosse Mélanie,Arrête,ﬁnesse,D-,La grosse Mélanie,Méanie,,,,,,,,,,,,,,,,,,
25,Brabant,Santons,art(1,,,,,,,,,,,,,,,,,,,,,,,,,
26,Prends,rencon—,.-—v,repren—,jE,rensei—,,,,,,,,,,,,,,,,,,,,,,
27,engage—,gagea,agenouülée,,,,,,,,,,,,,,,,,,,,,,,,,
28,tournai,Jour,Journée,Jours,,,,,,,,,,,,,,,,,,,,,,,,
29,aper—,ser—,Vin,cher—,,,,,,,,,,,,,,,,,,,,,,,,
30,Dfaçon,üyadægædæmæpoæra—,c—,,,,,,,,,,,,,,,,,,,,,,,,,
31,mouy—,beau—,château du Gué Perdu,Gué Perdu,"Gué-
Perdu",Gué,,,,,,,,,,,,,,,,,,,,,,
32,i’,Ils’,inﬂiger,Uninsœnt,,,,,,,,,,,,,,,,,,,,,,,,
33,Nﬁnis,n—,,,,,,,,,,,,,,,,,,,,,,,,,,
34,conﬁer,puriﬁer,chauﬁer,funﬁer,,,,,,,,,,,,,,,,,,,,,,,,
35,trou—,Jeune,trous—,Rouge,,,,,,,,,,,,,,,,,,,,,,,,
36,onne,Douze,kam—annE103,Mlle Maximilienne,,,,,,,,,,,,,,,,,,,,,,,,
37,44 MARIE—CLAIRE,Marie—Claire,24 MARIE—CLAIRE,MARIE—CLAIRE 89,120 MARIE—CLAIRE,III 0 MARIE-CLAIRE,30 MARIE—CLAIRE,"MARIE—CLAIRE

Je me trouvais","MARIE—CLAIRE

Maintenant",28 MARIE—CLAIRE,36 MARIE—CLAIRE,54 MARIE—CLAIRE,20 MARIE—CLAIRE,106 MARIE—CLAIRE,56 MARIE—CLAIRE,48 MARIE—CLAIRE,MARIE-CLAIRE,MARIE—CLAIRE,notre Marie-Claire,l‘a,100 MARIE—CLAIRE,52 MARIE—CLAIRE,MARIE—CLAIRE I I,40 MARIE—CLAIRE,102 MARIE—CLAIRE,.ne,trem—,8 MARIE—CLAIRE
38,arrê—,quan—,Tes,s&ie,chan—,teintes chan—,intri—,rir,,,,,,,,,,,,,,,,,,,,
39,Elkreùtvæsmä,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Sois,ri Deslois,Bel-,enfin—,Deslois,mnt,,,,,,,,,,,,,,,,,,,,,,
41,"Marie—
Annee",Marie—Aime,Sœur Marie—Aime,Marie.—Aimée,MARIE—,Aimée,Marie—Aimée,Sœur Marie-Aimée lavit,,,,,,,,,,,,,,,,,,,,
42,lingerie,heur—,supérieure,heure—,,,,,,,,,,,,,,,,,,,,,,,,
43,Quelque,queie,Quelquefois,vachœ,Quelquefoîs,eniamber,ques—,,,,,,,,,,,,,,,,,,,,,
44,Castille,j’,Vülevieille,Geneviève,Villevieüle,Villevieﬂle,Villevieille,Ville-,"vieille
Bibiche",alluma,,,,,,,,,,,,,,,,,,
45,Tiens,bien—,miens,indiffé—,,,,,,,,,,,,,,,,,,,,,,,,
46,W’,alors—,remarquai,mrs—,E,mars—,,,,,,,,,,,,,,,,,,,,,,
47,Aussitôt,aussi‘,aussi—,Enﬁn,Aﬂﬁe;Un,,,,,,,,,,,,,,,,,,,,,,,
48,Bibiche,mrs,Chemineau la Bête,Cache,cherchai,,,,,,,,,,,,,,,,,,,,,,,
49,Le soleil s’,le soleil,soleil,dimi—,,,,,,,,,,,,,,,,,,,,,,,,
50,Sainte—Montagne,Saint—Montagne,Jaune,Sainte-Montagne,,,,,,,,,,,,,,,,,,,,,,,,
51,de France,grand your,Tirande,,,,,,,,,,,,,,,,,,,,,,,,,
52,Laisse,MAis-,marchais,Iosentais,sais—,restais,aimais,connais—,croyais,,,,,,,,,,,,,,,,,,,
53,horpmos,Elk www,Paris,par-,,,,,,,,,,,,,,,,,,,,,,,,
54,Sologne,Sologne.ll,,,,,,,,,,,,,,,,,,,,,,,,,,
55,®hwÿeœäxwàmmmduvükdthiæge,labou—,vou—,,,,,,,,,,,,,,,,,,,,,,,,,
56,Ismé-,qu‘au,Ismérie,Ismétie,,,,,,,,,,,,,,,,,,,,,,,,
57,—- Voyons,l’,buis,lesfermer,,,,,,,,,,,,,,,,,,,,,,,,
