cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0.0,DRESDEN,Willesden,,,,,,
1.0,Luretia,Lucretia,Loretto,Lueretia,,,,
2.0,Venice,Munich,Phoenix,,,,,
3.0,Studcaster,Study,Lancaster,,,,,
4.0,Kingdom,King,The Kingdom of France,Moorish kingdom,,,,
5.0,Field,Yielding,Oriel,field11,,,,
6.0,Prison,Iobson,,,,,,
7.0,Saxon,Saxony,,,,,,
8.0,Regent,Colleges,accent-,,,,,
9.0,Barcelona,Cellars,"Barn
von H-t",Colonies,Babylon,,,
10.0,Ferdinand,China,Inferno,,,,,
11.0,Taper,Opera,Apei,,,,,
12.0,Liverpool,the Lock Pool,Lawgiver,,,,,
13.0,the Persian Empire,Persia,,,,,,
14.0,Embassy,Ambassa-,Cambridge,,,,,
15.0,Milbanks,MILLBANK,Mill,Millbankites,Milbank,Millbank,"Walked
Millbank",
16.0,Varter,earth,Waterloo,Froissart,,,,
17.0,Slough,Louis Qua-,Borough,,,,,
18.0,Athens,Thebes,,,,,,
19.0,Hellingsley,Iellingsley,Helingsley,,,,,
20.0,woodland,Midland,midland,midland county,,,,
21.0,Watteau,Moffatt,Gazette,,,,,
22.0,Nile,Vile,,,,,,
23.0,Ermengarde,Aldermen,Scarlet Gardens,,,,,
24.0,Phillippics,Philip,Millions,Aquatics,,,,
25.0,Coningsby,Coningsby ta,Coningsbyl,,,,,
26.0,Sparta,Charta,Spain,,,,,
27.0,Arlington Street,Downing Street,Parliamentasy,Wellington,Berlin,,,
28.0,paris,Parish,Paris,,,,,
29.0,Benumanoir,Anon,Germany,Manhood,Trautsmandorff,,,
30.0,Sidonia,Mental Sidonia,Monsieur Sidonia's,Sidonias,Bigonia,Naples Sidonia,Monsieur Sidonia,iSidonia
31.0,Heroes,here3,Jeremiads,here2,,,,
32.0,Shabbyton,Melton,Seaton,Sea,Wotton,Brighton,,
33.0,Westmoreland,Ireland,ireland,,,,,
34.0,Hall,Nuneham,Whitehall,white bait,,,,
35.0,Wavelets,Poets,,,,,,
36.0,the Venetian Republic,the Republic of Paris,Venetian Republic,,,,,
37.0,"Salt
Hill",Salt HIll,Jerusalem,Ill,,,,
38.0,tin2,tinualy,Palestine,,,,,
39.0,Hindostan,London,Richmond,Clarendon,,,,
40.0,Irish Secretaryship,Hippocrates,Ladyship,Friendship,,,,
41.0,Hansard,Hanover,Sovereigns,,,,,
42.0,Scotland,the Holy Land,Highland,Chudleigh,Tamerlane,Roxalana,Monkey Island,Poland
43.0,Wimbledon,Limb,Toledo,,,,,
44.0,Bacchantes,Canterbury,Derby,,,,,
45.0,Lancashire,Berkshire,Hertfordshire,Leicestershire,Yorkshire,Blankshire,,
46.0,Italy,Southern Italy,Monmouth,South,,,,
47.0,Darlford,Bradford,Oxford,Brazils,,,,
48.0,Cottage,Carriage,,,,,,
49.0,ENgland,England l'',England,england,,,,
50.0,Laid,Maidenhead,Blenheim,Providence,,,,
51.0,Author,Thou,,,,,,
52.0,Torquamada,Madame B. de R-d,Dame,,,,,
53.0,brook,Pembroke,BOoK VIII,,,,,
54.0,invite2,Rigbyites,adore2,Rigby,,,,
55.0,Daring,Everingham,Birmingham,Nottingham,,,,
56.0,absent2,the San Absent,"the San
Bent",the Spanish Peninsula,,,,
57.0,Desert,Hades,,,,,,
58.0,"St.
Petersburg",Augsburg,St. Petersburg,Edinburgh,,,,
59.0,NEW GENERAL0N.,New General-,,,,,,
60.0,Duchess,Manchester,the Manchester Guide,,,,,
61.0,Learning,Kissing,Learnt,,,,,
62.0,Jamaica,Notice Africa,Africa,America,,,,
63.0,Tamworth,North,Northern,the Northern Sea,Northamptonshire,,,
64.0,Estates,the United State,the United Provinces,the United Kingdom,,,,
65.0,Swine,Uwins,,,,,,
66.0,the Rue Tronchet,"the Rue
le Revolt",the British Isles,,,,,
67.0,Throne,Lazaroni,Byron,,,,,
68.0,Coldness,Sydney,Silver Sydney,Silver,INjury Sydney,,,
69.0,"St. Genevievel
coNINGSBY",St. Genevieve,St. Genevievel,Geneva,,,,
70.0,the green mountains,Ministry,Austria,Greece,the green district,,,
71.0,Windsor rang,Windsor,"Windsor
Park",,,,,
72.0,Mauritania,Neapolitan,,,,,,
73.0,Realm,Palmerston,Lyndhurst,Amersham,,,,
74.0,Grand,Grand Cairo,Strand,Strand Coffee-,,,,
75.0,Melbourne,Luxembourg,,,,,,
76.0,Westminster,West,Western Europe,West India,,,,
77.0,Russia,Rossendale,Sussex,Caucasus,,,,
78.0,the Moslems Arabs,Arabia,tnnbibia,,,,,
79.0,Wesleyans,Mademoiselle Flora,Wellesley,,,,,
80.0,East,Castle,Newcastle,,,,,
81.0,Counting,the County of -,the County Chronicle,,,,,
82.0,Christian-,Isthmus,Christchurch,,,,,
83.0,France,Frankfurt,,,,,,
84.0,Culloden,Lucca,Lucullus,,,,,
85.0,Villebeeque,dishabille,Seville,,,,,
86.0,Belgium,Europe,Monte,Leontium,,,,
87.0,Nebuchadnezzar,Sacha,Astrachan,,,,,
88.0,Walpole,Alps,Paradise,Valparaiso,,,,
89.0,oL. J.,St. James's,St. James',Thames,St. John's,St. James,Nemesis,St. John
90.0,Principle,Naples,Temple,,,,,
91.0,Hyde Park Place,the Lower Park,Park,the Upper Park,"the Upper
Park",,,
92.0,this Cuabinet of Medio-,Arrange,Mediterranean,,,,,
93.0,Frenchmen,Rome,Frenchwomen,,,,,
94.0,Brennus,Vienna,,,,,,
95.0,St. Paul,St. Gone-,Infirmary,Marquess,St. Mary's,St.,,
