cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
0,Luretia,Lucretia,Watteau,Pagan,Lueretia,,,,,,,,,
1,Venice,Munich,Phoenix,,,,,,,,,,,
2,Kingdom,Pitt,King,Blenheim,The Kingdom of France,Kissing,Moorish kingdom,,,,,,,
3,Field,Yielding,Oriel,Moffatt,field11,,,,,,,,,
4,Embassy,wi,Pembroke,Luxembourg,Lyndhurst,,,,,,,,,
5,Barcelona,London,Colonies,Babylon,,,,,,,,,,
6,Loretto,Phryne,adore2,,,,,,,,,,,
7,Estates,Hippocrates,Waterloo,,,,,,,,,,,
8,Hellingsley,Wesleyans,Iellingsley,Wellington,Helingsley,,,,,,,,,
9,Ermengarde,Hansard,Aldermen,,,,,,,,,,,
10,Coningsby,Coningsby ta,brook,Leontium,Coningsbyl,,,,,,,,,
11,Varter,Sparta,Spain,Realm,Froissart,,,,,,,,,
12,Arlington Street,Greece,Downing Street,Co.,Berlin,,,,,,,,,
13,Daring,Pah1,paris,Parish,Paris,,,,,,,,,
14,Benumanoir,Desert,Anon,Germany,Manhood,MR,,,,,,,,
15,Heroes,here3,Jeremiads,here2,,,,,,,,,,
16,Opera,Europe,,,,,,,,,,,,
17,Shabbyton,Saxon,Melton,Seaton,Sea,Palmerston,Wotton,Borough,,,,,,
18,woodland,Ferdinand,Midland,Westmoreland,midland,Ireland,Scotland,the Holy Land,Highland,Tamerlane,Roxalana,ireland,Monkey Island,Poland
19,the Venetian Republic,inn,the Republic of Paris,Venetian Republic,,,,,,,,,,
20,"Salt
Hill",Phillippics,Philip,Salt HIll,Egypt,Jerusalem,,,,,,,,
21,Russia,Taper,the Persian Empire,Persia,Rome,,,,,,,,,
22,tin2,tinualy,Palestine,Mexico,,,,,,,,,,
23,Colleges,Cellars,Mademoiselle Flora,Madame B. de R-d,Wellesley,,,,,,,,,
24,Irish Secretaryship,Ladyship,Friendship,BOoK VIII,,,,,,,,,,
25,DRESDEN,Culloden,Maidenhead,Providence,"L 2
22",Scarlet Gardens,,,,,,,,
26,Hall,Whitehall,invite2,white bait,Rigbyites,Mediterranean,,,,,,,,
27,Lancashire,Berkshire,Hertfordshire,Leicestershire,Yorkshire,Blankshire,Northamptonshire,,,,,,,
28,Sydney,Sedgwick,Silver Sydney,Thou,INjury Sydney,,,,,,,,,
