cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0,Marion,Mnrion,Kilmarnock,Murion,"ribbon,-I",MIarion,Mn,Patriok,Paris
1,Britain,Agrippina,Iritain,Spain,Great Britain,hitherta,,,
2,Canada,quad-,china,anl,,,,,
3,Wigton,TORONTO,wi,,,,,,
4,London,onee,incidont,Lonis,Throngh,,,,
5,Tn,Laurs Mor-,moro,evor,Modorn,Rosemount,moi le,woro,mo
6,Portobello,"Porto-
bello",,,,,,,
7,Israel,el,Mlelton,Melton,Kelso,,,,
8,De Cres-,"Louis De
Crespigny",Louis de Cres-,Louis,,,,,
9,LBRARY,Clara,Olara,GLAsGOW,"L.60,000",las,Bt Clara,,
10,thun,Dunbar,thein,Thug,,,,,
11,Edinburgh,Edinburgl,,,,,,,
12,hce,Providence,whiceh,provo,Finden,,,,
13,St Cecilia,Australia,kecp,,,,,,
14,De Crespignyl'',Orespigny,ny,Urespigny,Yorkshire,,,,
15,Ernest,Agnes,Agnes Dunbar,"Agnes
hnd",el Agnes,Agnes.,,,
16,MIoODERN FILIRTATIONS,NODEBN,LIRTATION,MIonsieur Fesceati,,,,,
17,Befoe,Oxford,boe,boeforo,Oeh,beforo,Ms Penfokd's,,
18,Abbey,Abbc,the Abbed Mordsunt,,,,,,
19,Constantinople,Jacob,Courant,Geranium,Pnt,Surah,,,
20,dol,Ireland,Iroland,"ever,-and",England,Seotland,Shetland,TF,
21,Granville,Clara GranvilleI,"Clara Gran-
ville","Olara
GranvilleI",Clara Granville,Riehard Granville,Clara Granville's,"Clara
Granville",Clarn Granville
22,Holyrood,Thou,us,Holyrood House,,,,,
23,America,Lndy Doncaster,Docaster,Tattersall,Doncaster,,,,
24,Hebe,Scubeach,Beaujolie,Saul,beaux,,,,
25,nile,Fiile,Fife,,,,,,
26,Carolino,deelined1,Caroline,Curoline,,,,,
27,Towereliffo,nswers mo,Limeriek,wherc,howeyer,wero,,,
28,Duhlin,lifa,blishmont,inn,Dublin,,,,
29,United Ser-,pitech,Sea,luetre,MisE,sete,,,
30,Chevalien-Bayard,Argyleshire,Bibles,Hearl,Charles,,,,
31,"St
John's Lodge",slvep,juve-,palo,Olara Novello,Love,,,
32,deeeit,Leeds,Speetaeles,tlem,Queensferry,peaee,tlee,battlc,
