cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0,Caroline,deelined1,Dublin,Duhlin,Curoline,Carolino,,,,
1,Great Britain,Britain,Spain,Iritain,,,,,,
2,Providence,provo,hce,Finden,,,,,,
3,De Cres-,Louis de Cres-,"Louis De
Crespigny",Louis,,,,,,
4,Fiile,Fife,nile,,,,,,,
5,tlee,battlc,tlem,Leeds,deeeit,,,,,
6,Oeh,boe,whiceh,,,,,,,
7,juve-,slvep,Love,"St
John's Lodge",palo,,,,,
8,Olara Novello,LBRARY,Clara,Bt Clara,Olara,,,,,
9,Clara Granville's,"Clara Gran-
ville","Olara
GranvilleI",Mn,Clarn Granville,Clara GranvilleI,Clara Granville,Granville,"Clara
Granville",Riehard Granville
10,Wigton,Mlelton,Melton,,,,,,,
11,boeforo,beforo,Oxford,evor,woro,Ms Penfokd's,TORONTO,Befoe,,
12,Holyrood,Holyrood House,Thou,,,,,,,
13,MIonsieur Fesceati,NODEBN,MIoODERN FILIRTATIONS,LIRTATION,Tn,,,,,
14,Shetland,Seotland,Ireland,"ever,-and",luetre,Iroland,England,,,
15,Edinburgl,Edinburgh,,,,,,,,
16,"ribbon,-I",Murion,MIarion,Kilmarnock,Marion,Mnrion,"L.60,000",Patriok,Paris,
17,Dunbar,thun,Thug,,,,,,,
18,America,Limeriek,,,,,,,,
19,Hearl,Sea,peaee,MisE,sete,,,,,
20,GLAsGOW,las,,,,,,,,
21,United Ser-,pitech,kecp,,,,,,,
22,quad-,anl,Canada,,,,,,,
23,Pnt,Courant,Constantinople,Jacob,Surah,Geranium,,,,
24,Lonis,incidont,London,Throngh,onee,dol,,,,
25,Hebe,Abbey,Abbc,the Abbed Mordsunt,wi,,,,,
26,Charles,Argyleshire,Yorkshire,Bibles,,,,,,
27,Lndy Doncaster,Doncaster,Docaster,,,,,,,
28,Modorn,Rosemount,blishmont,mo,moi le,moro,,,,
29,Ernest,Agnes,Agnes.,"Agnes
hnd",el Agnes,Agnes Dunbar,,,,
30,hitherta,thein,wherc,,,,,,,
31,Saul,Scubeach,Beaujolie,beaux,TF,,,,,
32,"Porto-
bello",Portobello,,,,,,,,
33,De Crespignyl'',Orespigny,ny,Urespigny,,,,,,
34,howeyer,Towereliffo,lifa,,,,,,,
35,Kelso,Speetaeles,Israel,el,,,,,,
36,St Cecilia,Chevalien-Bayard,us,Australia,,,,,,
37,Tattersall,Queensferry,Laurs Mor-,wero,nswers mo,,,,,
38,Agrippina,inn,china,,,,,,,
