cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0.0,Carolino,Caroline,Curoline,,,,,,
1.0,Melton,Mlelton,Wigton,,,,,,
2.0,Towereliffo,howeyer,lifa,wero,,,,,
3.0,the Abbed Mordsunt,Abbey,Rosemount,Abbc,,,,,
4.0,Marion,Paris,Kilmarnock,boe,MIarion,Murion,Mnrion,Patriok,
5.0,Thug,Love,thun,,,,,,
6.0,Yorkshire,Argyleshire,,,,,,,
7.0,Fiile,nile,,,,,,,
8.0,Australia,Chevalien-Bayard,St Cecilia,,,,,,
9.0,TORONTO,Throngh,woro,moro,,,,,
10.0,Orespigny,De Crespignyl'',Urespigny,"Louis De
Crespigny",,,,,
11.0,Clarn Granville,"Clara
Granville",Riehard Granville,Clara Granville,Clara GranvilleI,"Clara Gran-
ville","Olara
GranvilleI",Clara Granville's,Granville
12.0,thein,hitherta,wherc,,,,,,
13.0,Louis de Cres-,De Cres-,Louis,,,,,,
14.0,Agnes.,Agnes,"Agnes
hnd",Ernest,Agnes Dunbar,el Agnes,,,
15.0,deelined1,deeeit,,,,,,,
16.0,Tattersall,battlc,,,,,,,
17.0,Edinburgh,Edinburgl,,,,,,,
18.0,Surah,Constantinople,Courant,Geranium,,,,,
19.0,Finden,provo,Providence,,,,,,
20.0,Charles,Hearl,,,,,,,
21.0,tlem,Leeds,tlee,,,,,,
22.0,Agrippina,china,,,,,,,
23.0,Spain,Britain,Iritain,Great Britain,,,,,
24.0,America,Limeriek,,,,,,,
25.0,Doncaster,Lndy Doncaster,Docaster,,,,,,
26.0,Bibles,Israel,Speetaeles,,,,,,
27.0,Duhlin,blishmont,Dublin,,,,,,
28.0,"Porto-
bello",Portobello,,,,,,,
29.0,Lonis,incidont,London,,,,,,
30.0,England,Iroland,Shetland,Ireland,Seotland,"ever,-and",,,
31.0,las,GLAsGOW,,,,,,,
32.0,Bt Clara,Olara,Olara Novello,Clara,,,,,
33.0,Scubeach,Beaujolie,beaux,,,,,,
34.0,NODEBN,MIonsieur Fesceati,MIoODERN FILIRTATIONS,LIRTATION,,,,,
35.0,nswers mo,Laurs Mor-,,,,,,,
36.0,Befoe,Oxford,boeforo,beforo,,,,,
37.0,pitech,United Ser-,,,,,,,
38.0,Holyrood,Dunbar,Thou,Holyrood House,,,,,
