cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0,Caroline,deelined1,Dublin,peaee,Duhlin,Curoline,Carolino,,,,
1,Lonis,St Cecilia,Oeh,tlem,Love,Canada,ny,,,,
2,Great Britain,Britain,Spain,Iritain,mo,,,,,,
3,Wigton,Mlelton,Melton,Edinburgh,,,,,,,
4,"ribbon,-I",kecp,,,,,,,,,
5,Charles,Speetaeles,boe,Argyleshire,Bibles,lifa,,,,,
6,De Cres-,Louis de Cres-,Fiile,Saul,"St
John's Lodge",Finden,inn,Tn,Louis,,
7,Dunbar,Chevalien-Bayard,GLAsGOW,anl,,,,,,,
8,incidont,London,blishmont,TORONTO,Jacob,,,,,,
9,tlee,Fife,Thug,,,,,,,,
10,De Crespignyl'',Hearl,Orespigny,"Louis De
Crespigny",Agrippina,Queensferry,Urespigny,,,,
11,Pnt,LBRARY,whiceh,,,,,,,,
12,United Ser-,Kelso,thun,Ms Penfokd's,dol,,,,,,
13,Clara,luetre,Bt Clara,Olara,Leeds,,,,,,
14,Clara Granville's,"Clara Gran-
ville","Olara
GranvilleI",NODEBN,Clarn Granville,Clara GranvilleI,Clara Granville,Granville,"Clara
Granville",evor,Riehard Granville
15,Providence,boeforo,beforo,Oxford,woro,Befoe,moro,,,,
16,Holyrood,Holyrood House,,,,,,,,,
17,MIonsieur Fesceati,howeyer,juve-,Tattersall,MIoODERN FILIRTATIONS,Throngh,LIRTATION,Constantinople,wi,TF,
18,Murion,MIarion,Modorn,Marion,Mnrion,Patriok,Paris,,,,
19,battlc,Rosemount,Courant,"L.60,000",palo,hce,Limeriek,Geranium,,,
20,Edinburgl,us,onee,,,,,,,,
21,quad-,las,moi le,Australia,,,,,,,
22,MisE,,,,,,,,,,
23,Lndy Doncaster,Doncaster,Docaster,,,,,,,,
24,Ernest,Agnes,Agnes.,"Agnes
hnd",el Agnes,Agnes Dunbar,,,,,
25,provo,Hebe,pitech,Abbey,Abbc,,,,,,
26,Mn,Scubeach,Beaujolie,beaux,sete,,,,,,
27,Shetland,Seotland,Ireland,"ever,-and",Sea,Iroland,England,wherc,,,
28,Thou,nile,Yorkshire,china,,,,,,,
29,Towereliffo,wero,deeeit,nswers mo,,,,,,,
30,hitherta,Laurs Mor-,the Abbed Mordsunt,thein,,,,,,,
31,Kilmarnock,el,,,,,,,,,
32,Olara Novello,slvep,Israel,"Porto-
bello",Portobello,,,,,,
33,America,Surah,,,,,,,,,
