cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5
0.0,Routledge,Title,ROUTLEDGE,Beatitudes,,
1.0,Phantom Ship,Antwerp,Isfahan,,,
2.0,Beaumont,Rougemont,Montrose,Richmond,,
3.0,master’ll,Zoroaster,,,,
4.0,Aldgate,Waterloo,Donated,Steel Plates,,
5.0,AINSWORTH,Spain,Wort,Perth,Kenilworth,
6.0,Marked,Mark,,,,
7.0,Wakefield,Fields,Field,,,
8.0,Regent,25th Regiment,Serpentine,,,
9.0,Elia,Amelia,penetralia,,,
10.0,Munster Festivals,Minus,Westminster,Leicestershire,scaly sea-monster,
11.0,Ovingdean Grange,Granada,Grafton,Abingdon,,
12.0,"St.
George’s",St. Peter,Cesar Borgia,St.,,
13.0,ANTIQUARIES,St. James’ss,"Saint
James's-square",Saint,Thames,
14.0,Inn-lane,Inn,,,,
15.0,metheglin,"Queen
Elizabeth’s time",Quebec,,,
16.0,O’Brien,Rienzi,,,,
17.0,South-,Southwark,,,,
18.0,Hyde Park,,,,,
19.0,Woodstock,Stowe,"Hollywood Es
Hall",Rookwood,,
20.0,Boscobel,Belvoir,,,,
21.0,Park-street,Park,King-street,,,
22.0,London Stone,LONDON,Old London,Old Bailey,London,
23.0,Stepney-green,Ostend,Reeks,,,
24.0,Los Moratorium,Tlosiage,Morse,,,
25.0,Cardiff,EDWARDS,the Black Dwarf,,,
26.0,Albany,Millbank,Elba,,,
27.0,Calabria,the Alabama,,,,
28.0,Eastcheap,Unleash,,,,
29.0,KronuEIM,gaborone,Byron,Blenheim,,
30.0,America,Lammermoor,Hermetic,,,
31.0,HESSE,Mackintoshes,Packet,Wintry,,
32.0,Whitefriars,Diary,Whitehall,,,
33.0,Watts,FITTS,,,,
34.0,Godolphin,china,Chico,,,
35.0,Highlands,oie Highlands,,,,
36.0,HYDE PARK,,,,,
37.0,Bavaria,Marion,Santa Maria,Santa,,
38.0,Forest Days,nearest kinsman,,,,
39.0,Scotland,The Inland Sea,England,,,
40.0,Sea Lions,Japhet inSearchofaFather,Sea,,,
41.0,Olla Florida,Florida,Sheridan,,,
42.0,laurel,Monsieur Violet,AURIOL,scagliola,,
43.0,Venice,Oak Openings,Grinding,,,
44.0,Wyandotte,Rotterdam,Vignettes,Damocles,,
45.0,Charing,Charles,Holbein,Farquhar,Harvey,
46.0,thou,Author,Thou,,,
47.0,France,Strand,Fra,,,
48.0,Paris,Paradiso,Clara,,,
49.0,ROSICRUCIAN,anon,Cristiano,,,
50.0,Warsaw,Cinq Mars,Mars,,,
51.0,Portrait,Forum,Oxford,fort,Beaufort,
52.0,Vanbrugh,Ivanhoe,,,,
53.0,New Type,NEW YORK,,,,
54.0,vol,Vol,,,,
55.0,Jaden,Dryden,,,,
56.0,Billington,Washington,Lowell,Kensington,Wellington,
57.0,River,Italy,verde,,,
58.0,Rome,ROME,,,,
59.0,Pictures,Turk,,,,
60.0,Bastille,Cornhill,Achilles,,,
61.0,Waltham,Pelham,Haliburton,Nottingham,Hamburg,Burbot
62.0,Colours,Lyndhurst,,,,
63.0,Finsbury,Drury,Midlothian,Canterbury,Lothbury,
