cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0,ROME,Pompeii,crowne,Rome,,,,,,,,
1,Field,Wakefield,Fields,,,,,,,,,
2,HYDE PARK,Hyde Park,Park,,,,,,,,,
3,Regent,Havre,25th Regiment,Ve're,,,,,,,,
4,Rookwood,Woodstock,"Hollywood Es
Hall",,,,,,,,,
5,ROUTLEDGE,Title,Tlosiage,Routledge,Xp 1/6,,,,,,,
6,Santa,Italy,Santa Maria,Phantom Ship,Tasso,ANTIQUARIES,Ww,Swan,Isfahan,Satan,,
7,c.g.,F. C.,,,,,,,,,,
8,South-,Southwark,,,,,,,,,,
9,O’Brien,Rienzi,Calabria,,,,,,,,,
10,Florida,Sheridan,Olla Florida,Los Moratorium,,,,,,,,
11,Turk,Jun.,Pictures,Loftus,,,,,,,,
12,fort,Beaufort,Forest Days,Cesar Borgia,Forum,Oxford,,,,,,
13,HESSE,Unleash,Sea,Morse,The Inland Sea,Seto,Sea Lions,Eastcheap,Japhet inSearchofaFather,sepulchre,Peak,Beatitudes
14,Aldgate,Steel Plates,Vignettes,Stepney-green,Temple-bar,,,,,,,
15,Wyandotte,LONDON,Bacon,Old London,London,Curzon,London Stone,Richmond,anon,Abingdon,Donated,
16,Chico,Achilles,Damocles,Cornhill,china,Bastille,IL,,,,,
17,Venice,Dryden,JT,Jaden,DR,TX,,,,,,
18,oie Highlands,Scotland,Highlands,England,bds.,Vanbrugh,,,,,,
19,Perth,Hermetic,Lammermoor,ER,Antwerp,Fexh,River,Serpentine,America,Waterloo,verde,Rotterdam
20,NEW YORK,New Type,,,,,,,,,,
21,Granada,France,Fra,Strand,Ovingdean Grange,,,,,,,
22,W.H.,FITTS,Watts,,,,,,,,,
23,UK,,,,,,,,,,,
24,Packet,the Black Dwarf,EDWARDS,the Alabama,,,,,,,,
25,Midlothian,Canterbury,Lothbury,Finsbury,Burbot,Drury,,,,,,
26,Montrose,Beaumont,Rougemont,Emm,,,,,,,,
27,Munster Festivals,Zoroaster,master’ll,scaly sea-monster,Leicestershire,Tn,nearest kinsman,Westminster,Ostend,,,
28,Oak Openings,Harvey,Charles,Charing,Grinding,Farquhar,Nottingham,,,,,
29,Hamburg,St. James’ss,Pelham,Thames,Waltham,,,,,,,
30,Minus,Zanni,Inn,in’t,Holbein,Inn-lane,,,,,,
31,Haliburton,Kensington,Washington,Billington,Wellington,Grafton,Lowell,,,,,
32,AINSWORTH,Kenilworth,Wort,Portrait,,,,,,,,
33,Cinq Mars,Clara,Mark,Cardiff,Mars,Warsaw,Marion,Marked,,,,
34,Albany,Millbank,Elba,,,,,,,,,
35,Whitehall,Whitefriars,Diary,,,,,,,,,
36,"Saint
James's-square",Mackintoshes,Wintry,Spain,Saint,Fairfax,,,,,,
37,laurel,scagliola,AURIOL,Monsieur Violet,,,,,,,,
38,King-street,Park-street,Reeks,,,,,,,,,
39,Blenheim,Byron,gaborone,KronuEIM,,,,,,,,
40,"you,—‘Ll",Ivanhoe,Thou,thou,Author,,,,,,,
41,Belvoir,Old Bailey,Vol,Bivouac,Godolphin,Colours,8vo,vol,,,,
42,metheglin,Quebec,’s,"Queen
Elizabeth’s time",,,,,,,,
43,Bavaria,f—-,Mississippi,Paradiso,Isle of Skye,Cristiano,Paris,Trigce,,,,
44,"St.
George’s",St. Peter,STATUE,Stowe,Lyndhurst,St.,,,,,,
45,Nigel,Amelia,penetralia,L. EL.,ROSICRUCIAN,Boscobel,Elia,,,,,
