cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0,Aldgate,Steel Plates,Seto,Isle of Skye,Waterloo,Donated,,,,
1,Field,Wakefield,Fields,,,,,,,
2,HYDE PARK,L. EL.,Bivouac,Dryden,Paradiso,Hyde Park,Cesar Borgia,Park,Park-street,
3,Regent,ER,FITTS,Serpentine,25th Regiment,vol,,,,
4,Granada,France,Rome,Tasso,Grafton,Strand,Ovingdean Grange,Satan,,
5,ROUTLEDGE,South-,Title,Routledge,Zanni,TX,Trigce,,,
6,HESSE,Santa,Ivanhoe,Antwerp,Phantom Ship,ANTIQUARIES,,,,
7,Haliburton,Old Bailey,Whitehall,Mississippi,F. C.,Burbot,,,,
8,c.g.,Montrose,Beaumont,Rougemont,Richmond,IL,,,,
9,LONDON,Old London,London,London Stone,’s,8vo,,,,
10,Florida,Sheridan,Olla Florida,Los Moratorium,,,,,,
11,Bavaria,Santa Maria,Calabria,Whitefriars,Marion,Paris,Loftus,,,
12,Tlosiage,,,,,,,,,
13,"Saint
James's-square",St. James’ss,New Type,Rienzi,Thames,America,sepulchre,,,
14,Cinq Mars,Inn,Mars,Warsaw,,,,,,
15,Unleash,Turk,f—-,,,,,,,
16,Italy,W.H.,Vol,Watts,,,,,,
17,Munster Festivals,Zoroaster,master’ll,scaly sea-monster,Leicestershire,Jaden,Westminster,Eastcheap,Swan,
18,oie Highlands,Clara,Scotland,Morse,Highlands,England,The Inland Sea,Xp 1/6,bds.,Inn-lane
19,fort,Beaufort,Portrait,Beatitudes,,,,,,
20,Midlothian,Minus,ROSICRUCIAN,Cristiano,Ww,,,,,
21,Packet,the Black Dwarf,in’t,EDWARDS,the Alabama,,,,,
22,Chico,"you,—‘Ll",Godolphin,china,Temple-bar,,,,,
23,Canterbury,Lothbury,Finsbury,Drury,,,,,,
24,Bacon,Quebec,STATUE,Vanbrugh,,,,,,
25,Southwark,Mark,Fairfax,Marked,Boscobel,,,,,
26,Venice,Perth,AINSWORTH,Blenheim,Kenilworth,Wort,,,,
27,Damocles,Harvey,Charles,Farquhar,,,,,,
28,nearest kinsman,Forest Days,Forum,Pictures,Oxford,,,,,
29,Cardiff,,,,,,,,,
30,Lammermoor,laurel,Curzon,Fexh,Diary,,,,,
31,scagliola,AURIOL,Monsieur Violet,,,,,,,
32,King-street,Oak Openings,Charing,Grinding,Abingdon,,,,,
33,Kensington,Washington,Billington,Tn,Wellington,,,,,
34,Rookwood,Stowe,Woodstock,verde,"Hollywood Es
Hall",,,,,
35,metheglin,Hermetic,Sea,Sea Lions,Japhet inSearchofaFather,Lowell,,,,
36,ROME,Mackintoshes,Wintry,Spain,Saint,Ve're,,,,
37,Hamburg,Jun.,NEW YORK,Pelham,Emm,Waltham,Nottingham,,,
38,Pompeii,Havre,Ostend,Stepney-green,Reeks,,,,,
39,Fra,Colours,Lyndhurst,,,,,,,
40,Achilles,Cornhill,Albany,Bastille,Millbank,Elba,,,,
41,Belvoir,UK,Byron,anon,Holbein,gaborone,KronuEIM,,,
42,Thou,thou,Author,,,,,,,
43,Wyandotte,crowne,Vignettes,DR,Rotterdam,,,,,
44,Nigel,JT,River,Peak,Isfahan,,,,,
45,O’Brien,"St.
George’s",St. Peter,St.,,,,,,
46,Amelia,penetralia,"Queen
Elizabeth’s time",Elia,,,,,,
