cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
0,Field,Wakefield,Fields,,,,,,,,,,,
1,Regent,"St.
George’s",Blenheim,Havre,25th Regiment,Ve're,,,,,,,,
2,ROUTLEDGE,Title,Tlosiage,Routledge,,,,,,,,,,
3,Santa,Santa Maria,Antwerp,Phantom Ship,Tasso,Satan,,,,,,,,
4,Wyandotte,LONDON,Bacon,Old London,London,Curzon,London Stone,Richmond,Byron,anon,Grafton,gaborone,KronuEIM,Donated
5,O’Brien,Rienzi,Calabria,,,,,,,,,,,
6,Florida,Sheridan,Olla Florida,Los Moratorium,,,,,,,,,,
7,Turk,UK,STATUE,Lyndhurst,Pictures,Loftus,,,,,,,,
8,Aldgate,Italy,Whitehall,Whitefriars,"Hollywood Es
Hall",,,,,,,,,
9,AINSWORTH,fort,Beaufort,Kenilworth,Forest Days,Wort,Portrait,Forum,Oxford,,,,,
10,HESSE,Unleash,Sea,Morse,The Inland Sea,Tn,Seto,Sea Lions,Eastcheap,Japhet inSearchofaFather,sepulchre,Peak,Beatitudes,
11,Belvoir,Vol,Bivouac,Godolphin,Holbein,8vo,vol,,,,,,,
12,Old Bailey,Jun.,Chico,Achilles,Cornhill,china,Charles,Xp 1/6,Bastille,IL,,,,
13,Dryden,Jaden,DR,Drury,,,,,,,,,,
14,oie Highlands,Scotland,Highlands,England,Vanbrugh,,,,,,,,,
15,Perth,Hermetic,Lammermoor,ER,River,Serpentine,America,verde,Rotterdam,,,,,
16,NEW YORK,New Type,,,,,,,,,,,,
17,Venice,Granada,France,Fra,Strand,Ww,Ovingdean Grange,,,,,,,
18,FITTS,Watts,Waterloo,Swan,,,,,,,,,,
19,Haliburton,Kensington,Washington,Billington,Wellington,Abingdon,,,,,,,,
20,ROME,Pompeii,f—-,crowne,Rome,,,,,,,,,
21,Midlothian,Canterbury,Lothbury,Finsbury,TX,Burbot,,,,,,,,
22,Montrose,Beaumont,Rougemont,Emm,,,,,,,,,,
23,Cinq Mars,W.H.,Mark,Mars,Marion,Park,Marked,,,,,,,
24,Munster Festivals,Zoroaster,Steel Plates,master’ll,St. Peter,scaly sea-monster,Leicestershire,Vignettes,Stowe,nearest kinsman,Westminster,Ostend,St.,
25,metheglin,Hamburg,St. James’ss,Pelham,Damocles,Thames,Waltham,Nottingham,the Alabama,,,,,
26,Minus,Oak Openings,Zanni,Grinding,Inn,in’t,Inn-lane,,,,,,,
27,Rookwood,Woodstock,,,,,,,,,,,,
28,HYDE PARK,Hyde Park,,,,,,,,,,,,
29,Albany,Millbank,Elba,,,,,,,,,,,
30,c.g.,F. C.,,,,,,,,,,,,
31,"Saint
James's-square",Mackintoshes,Wintry,Spain,Saint,,,,,,,,,
32,South-,Southwark,"you,—‘Ll",Ivanhoe,Thou,thou,Author,,,,,,,
33,laurel,scagliola,Colours,AURIOL,Monsieur Violet,,,,,,,,,
34,the Black Dwarf,Cardiff,Warsaw,bds.,EDWARDS,,,,,,,,,
35,Clara,Harvey,Cesar Borgia,Fairfax,Diary,ANTIQUARIES,Temple-bar,Farquhar,Isfahan,,,,,
36,King-street,Packet,Stepney-green,Park-street,Reeks,,,,,,,,,
37,JT,Quebec,’s,"Queen
Elizabeth’s time",,,,,,,,,,
38,Bavaria,Mississippi,Paradiso,Fexh,Charing,Isle of Skye,Cristiano,Paris,Trigce,,,,,
39,Nigel,Amelia,penetralia,L. EL.,ROSICRUCIAN,Lowell,Boscobel,Elia,,,,,,
