cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0,manchester,Barton,mannar.,Manchester,tn,Inn,chester,hesse
1,Halifax,CALIFORNIA,palin,,,,,
2,the United States,Waterloo,Yates,Nc,noiselesaly,,,
3,Davenport,wy,sf ks,,,,,
4,ns nevar,Canada,u mOrn,mn,"na pa
ut",,,
5,ny,us,me1,aden,,,,
6,Needs,Samaritan,mars,Infirmary,inn,pasrl,,
7,Wild,nhl,wi,,,,,
8,Lancashire,"Wild
east",england,blanca.,,,,
9,lille,Liverpool,,,,,,
10,ITem,erie,,,,,,
11,"L
II",el,beenme,,,,,
12,thou,Sturgis,morn-,Thou,Thon,,,
