cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0,thou,Thou,tn,Thon,,,,
1,Manchester,Waterloo,chester,erie,manchester,hesse,nhl,Sturgis
2,sf ks,mn,,,,,,
3,wy,"L
II",,,,,,
4,Lancashire,blanca.,england,Nc,Canada,,,
5,beenme,aden,me1,Needs,,,,
6,inn,Inn,,,,,,
7,lille,Wild,"Wild
east",wi,,,,
8,mannar.,Barton,mars,Samaritan,ns nevar,Infirmary,,
9,the United States,ITem,Yates,,,,,
10,u mOrn,morn-,Davenport,,,,,
11,ny,,,,,,,
12,noiselesaly,us,el,,,,,
13,CALIFORNIA,Halifax,pasrl,Liverpool,"na pa
ut",palin,,
