cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14
-1,Davenport,us,Canada,Nc,ny,erie,"L
II",sf ks,lille,nhl,wy,mn,tn,Liverpool,Sturgis
0,Lancashire,england,blanca.,,,,,,,,,,,,
1,beenme,aden,me1,,,,,,,,,,,,
2,Infirmary,Needs,Barton,Samaritan,mars,mannar.,ns nevar,,,,,,,,
3,pasrl,"na pa
ut",,,,,,,,,,,,,
4,Halifax,CALIFORNIA,palin,,,,,,,,,,,,
5,morn-,u mOrn,,,,,,,,,,,,,
6,the United States,ITem,Waterloo,Yates,,,,,,,,,,,
7,chester,Manchester,noiselesaly,manchester,hesse,el,,,,,,,,,
8,Thon,Thou,thou,,,,,,,,,,,,
9,Inn,inn,,,,,,,,,,,,,
10,"Wild
east",wi,Wild,,,,,,,,,,,,
