cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0,lille,Wild,"Wild
east",wi,,,,,,
1,"L
II",mn,us,,,,,,,
2,thou,Thou,Thon,,,,,,,
3,wy,nhl,,,,,,,,
4,ns nevar,Barton,Samaritan,mannar.,mars,Infirmary,tn,,,
5,ny,el,noiselesaly,,,,,,,
6,Canada,Lancashire,Nc,england,blanca.,,,,,
7,Inn,inn,,,,,,,,
8,manchester,the United States,Waterloo,Yates,Manchester,Sturgis,chester,ITem,hesse,erie
9,Davenport,u mOrn,sf ks,morn-,,,,,,
10,Needs,me1,aden,beenme,,,,,,
11,Halifax,CALIFORNIA,"na pa
ut",pasrl,Liverpool,palin,,,,
