cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33
0,crivit,ssouvit,Privilge,Crivent,Vive,cricr,Autorit,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Percepteur,Recepteur,22I,Prcepteur,percut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Iussonnet,Iu,baionnetles,Hussonne,Iussonnct,Hussonnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Democratie,mocratie,La Democratie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,E35,I35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,coles,decoraitles,Lesurques,Coles,nole,arles,pont d'Arcole,bles,Colot,cole peut-tre,,,,,,,,,,,,,,,,,,,,,,,,
6,Isle,isle,eclatsle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MI,Mince,MIme,MIis,mimi?n,ami.n,Milo,Mignot,amiel,,,,,,,,,,,,,,,,,,,,,,,,,
8,-  Ah,-  A,"n
- Ah",l a,-  Ohl,-  Bah,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Lheure,lhc,l'Heure,P,xL,Heures,langoureux,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"jaun
blanches",lachete,chette,Lacet,Tache,as achete,n,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,l1l',l108,1L,L'E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,sailles,Milles,Sainville,Canaille,volaille,musee de Versailles,Versailles,gilles,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Ecoutez,Ecoutez-,aout,coucou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Palais-Royal,"Palais-
Royal",pont Royal,palais-loyal,Palais,Laval,galais,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,".,s-i'",I',II',si',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,jura,Turc,Mlurchux,Turcs,turquie,Fecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,du Nord,Dunod,ligne du Nord,D,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
