cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56
0,sorl,New-Yorl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Nouvelle-France,Nouvelle-Frnce,Nouvelle-Orleans,Nouvelle-Orl6ans,Nouveau-,Nouvelle-Hollande,Nouvelle-lFrance,Nouvelle-Fance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,alle,Alle,alluma,paallele,- Allonsl,P,allezl,Allez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"1A
I.I",I.1,"1I
I.I",Pſ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,zzE,zzz:35-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,----,".-:---,C-",cr---Prc,e:----.--------,gi-'--------------------------------------------------,.-------.-,r-.----L-,"E.:y,:P----rrre-ree",s---=-ee,Lt2-e---:-------,rs.a---.-,L---E---L,LAn------:-L,L.LL-----,"P' ``,-
----G--","C----ii
ECCa-CGd
7o",.'---;--------c=.-,LL-ar-------,CL:---,--------ah,"II
I

HIII
W

---
-.---------------",LL--------,CCC----------=,L-----1,sesare-ev-err'`r---------------a----------------------,--=--=---====-5,"AAtsi-'.5.C-2C:--::-----A----e-::=-a--

1l",r7:--,T----Gae,"F-,----P--,-irPe","i:::--.---------:------------:a
- Mlon",L----,Ea--,---7----a--------ea----------e------'-1,t.----------F-L.a,"I
W.
3Gla--","k2--
26",Na---,"----1--
zGE",C----L.',.L.L .L-----eL,.reasr''.--3- ---------5--a--axaF;:E,"t:.---
L",cF---------e=,--z--,--a,-----ecxxz,Y---,y---------gee-e,"t-.----:sxereeEesaa-e
-
--s-.-`.-
'
l",g-----5-,a---------------=-----,--------.-,Lr:--a,"I
A.,
-
300
x---i","I
H.
2R
---a-

IL",--'1
6,.CL,.C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Rameau-d'O,Ramneau-d'Or,Raumeau-d,Rameau-d'Or,Rmenu-d'O,Rameau-d'O.,Rameau-,Rameau-d',Raieau-d'Or,Rameu-d'O,IRameau-d'O,Eau-Jaune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,faitel,- Faites,Parfait,maitesse,faix,vitel,retaitel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,xEZIE,ZIE,"xEZIE

l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,yeux7,euxs,auixyeux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Louisl,Louisl Notez,Louis3,Louisiane,-1Louis,Louislt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,amour-popre,amoureuxl,popre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Quoi7,Moi7,1(0,guoi,- Pourquoi7,Quoil,lroquois,.qu',poulquoi,"quoi7
I
Aa
E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ia,ra-aZ-iahf,cvria-l,Iace,Iagon,diane,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,rFF3r;(Frc,Prc,rc,MW,- Grce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,s-L,M,s-3,zs-r,Ou'as-lu,dins-la l...,-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,hospilalitel,hospitalit6,Iacilite,Ponce-Pilate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,HH,hha,F1N,"W
HH3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Iv,Arive,Vive,- Ariverons,ariver,copaguie de rigny m'eel arive,arive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,penetrer,irentrer,penetra,Mattre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,pemiere,premiere,R1IERE,pemier,avrche dupemier hoe,Iin limier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Sans-Pisle,celasans,Sans-Piste,eflechissant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Indien,Dieppe,cinIndiens,Dinwidie,L'Indien sourit,toldos indiens,Indiens,Idiens,Indiennes,Lesindividus,L'Indien,L'indifferenee,pseudo-Indien,Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,L-,g3i,Vil-,LL-,BL-,.L-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,cavalie,lieiu d'etre,ecoliers,lIe,IE,pilosoplie%,Julie,bandouliere,LIE IIECI1,Inliens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,IWI,G¬,IW,Wi,IWG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"E

R

I
Z","egee-sc

R


I

:II",r7-,"HR

I","E
E

R

I
Z",".L

I
z
2.-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,i arrete,srete,reteni,teni,etendus,conteni,repete,entreteni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,fourrue,fourr6s,drue,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,terrass6,verrasl,Rassure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Duquesne,FORT DUQUESNE,auques,Duquese,"H,/g",Chuque,Iort Duquesne,fort Duquesnel,fort Duquesne,"fort
Duquesne",fot Duquesne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Mnis,- Suis,visge,Y7,Is,maquise,Fancis,.Puis,Agis,pise,Sois,mavkawis,IS,"IS

LU",Z0,E IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,taces,Tacy,Enlaces,Pace,grace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Allehany,Alleghanys,ghany,Alleghany,e’,monts Alleghanys,rivieres Alleghany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,6viter.-,profitera-t-il7,"6viter.-
- Heinl",serviteuen,svit,ouvit,hesiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
