cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0,Avez,Comprenez,Venez,Devinez,Relevez,colonne Vendôme,,,,,,
1,Agréez,répondez,Désirée,Bérénice,,,,,,,,
2,B,,,,,,,,,,,
3,Charité,Garde-les,Clarisse,gars Denis,Paris,Carrière-Fondue,buis,Palais-Royal,Savoyard,Parisien,parigot,Parisiens
4,Sois,MOISSON,Bonsoir,Adonc,Monte,Toinon,,,,,,
5,pré Brugnon,couvent Brugnon,,,,,,,,,,
6,Où,Poulains,Morlincourt,Pour,Tournez,Pourvu,Tour,boursicaut,,,,
7,franciers,la France,Alger,Franciers,Céran,de France,Cellier,,,,,
8,bras-le-corps,Perpétue,Las,As-tu,Sens-tu,calme-toi,Hommes-sans-Têtes,T'arrêteras-tu,Crois-tu,,,
9,Allez,Auriez,Écoutez,Riez,brin,,,,,,,
10,Chacun,Tâche,Crachez,Cachez,,,,,,,,
11,Manot,Armandine,Dizy,Vermand,Maman,,,,,,,
12,Bien,petiote,Reviendront,Retiens,Votre,Tiens,,,,,,
13,V',,,,,,,,,,,
14,Jean-Claude,Bonnets,Jeanneton,Jeacquet,,,,,,,,
15,Frotte,Bassette,Favette,Basset,,,,,,,,
16,Faut,Pauvre,pau,,,,,,,,,
17,J'ai,SOUHAITS,J',,,,,,,,,
18,Rose,réserve de monsieur,réserve de la Rose,réserve des furolles,Devise,,,,,,,
19,État,mitan-côte,Artaban,Satané,,,,,,,,
20,Voilà,Le soleil,Habile,per labia,,,,,,,,
21,Médor,Nord,Norine,Sortez,du Nord,Morlinval,Or,,,,,
22,Craintifs,Lambin,Saint-Brunelle,Sylvain,gouaillant,cabaretière de Saint-Brunelle,Saint-Quentin,fontaine Sainte-Radegonde,,,,
23,Malicieuse,couseuses,Vénus,,,,,,,,,
24,Vierge,Vieux,fieux,VI,FRUCTUEUX,queue-leu-leu,,,,,,
25,Sitôt,Cassiopée,Assis,,,,,,,,,
