cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0,Garde-les,B,bras-le-corps,mitan-côte,Lambin,Voilà,Dizy,queue-leu-leu
1,Comprenez,Venez,Faut,Auriez,Devinez,Relevez,calme-toi,
2,Sois,MOISSON,Riez,per labia,,,,
3,répondez,Carrière-Fondue,VI,,,,,
4,Nord,Norine,du Nord,,,,,
5,Charité,Clarisse,Paris,pau,Parisien,parigot,Satané,Parisiens
6,Avez,Perpétue,Pauvre,Frotte,,,,
7,pré Brugnon,couvent Brugnon,Toinon,,,,,
8,Médor,Las,Désirée,Morlinval,Or,,,
9,franciers,Écoutez,la France,Franciers,Céran,de France,,
10,Tâche,Crachez,Cachez,Alger,,,,
11,Allez,Saint-Brunelle,cabaretière de Saint-Brunelle,Saint-Quentin,Bérénice,Cellier,,
12,Bien,Vierge,Reviendront,Monte,Devise,,,
13,État,petiote,Retiens,Votre,Tiens,,,
14,Où,Palais-Royal,Sortez,,,,,
15,V',couseuses,SOUHAITS,,,,,
16,Jean-Claude,colonne Vendôme,Bonnets,Savoyard,Jeanneton,Favette,Jeacquet,
17,Chacun,buis,Rose,Artaban,Habile,,,
18,Agréez,Adonc,,,,,,
19,gars Denis,réserve de monsieur,réserve de la Rose,réserve des furolles,,,,
20,As-tu,Sens-tu,Hommes-sans-Têtes,T'arrêteras-tu,Crois-tu,,,
21,Morlincourt,Pour,Tournez,Pourvu,Tour,boursicaut,,
22,Poulains,Craintifs,Sylvain,Le soleil,gouaillant,fontaine Sainte-Radegonde,,
23,Malicieuse,Vieux,fieux,FRUCTUEUX,,,,
24,Bassette,Sitôt,Basset,Cassiopée,Assis,J',,
25,Bonsoir,brin,J'ai,Vénus,,,,
26,Manot,Armandine,Vermand,Maman,,,,
