cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6
0.0,Malicieuse,couseuses,,,,,
1.0,Charité,Chacun,,,,,
2.0,Comprenez,Venez,,,,,
3.0,Sois,MOISSON,Bonsoir,,,,
4.0,Manot,Maman,,,,,
5.0,Nord,du Nord,,,,,
6.0,Clarisse,Paris,Parisien,parigot,Parisiens,,
7.0,Norine,brin,,,,,
8.0,Morlincourt,Morlinval,,,,,
9.0,Jean-Claude,mitan-côte,Satané,,,,
10.0,Vierge,Reviendront,Cellier,,,,
11.0,Écoutez,Sortez,,,,,
12.0,Devinez,Devise,,,,,
13.0,Tournez,Tour,,,,,
14.0,As-tu,Sens-tu,Hommes-sans-Têtes,T'arrêteras-tu,Crois-tu,,
15.0,Pour,Pauvre,Pourvu,,,,
16.0,Auriez,Riez,,,,,
17.0,Avez,Relevez,,,,,
18.0,pré Brugnon,couvent Brugnon,,,,,
19.0,Tâche,Crachez,Cachez,,,,
20.0,colonne Vendôme,Bonnets,Jeanneton,,,,
21.0,Poulains,Palais-Royal,Savoyard,,,,
22.0,Bien,petiote,Retiens,Tiens,,,
23.0,Agréez,Désirée,,,,,
24.0,franciers,Franciers,,,,,
25.0,Frotte,Bassette,Favette,Basset,,,
26.0,calme-toi,Toinon,,,,,
27.0,gars Denis,Rose,réserve de monsieur,réserve de la Rose,réserve des furolles,,
28.0,Allez,Carrière-Fondue,Saint-Brunelle,Artaban,cabaretière de Saint-Brunelle,,
29.0,Faut,boursicaut,,,,,
30.0,Armandine,pau,Vermand,,,,
31.0,répondez,Craintifs,Sylvain,Le soleil,Monte,Saint-Quentin,fontaine Sainte-Radegonde
32.0,Vieux,fieux,FRUCTUEUX,,,,
33.0,la France,Céran,de France,,,,
34.0,Cassiopée,Assis,,,,,
35.0,Perpétue,Habile,per labia,,,,
36.0,Garde-les,bras-le-corps,Jeacquet,queue-leu-leu,,,
