cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24
-1,Monte,Carrière-Fondue,Céran,VI,Reviendront,gouaillant,gars Denis,bras-le-corps,Vénus,FRUCTUEUX,Artaban,répondez,Jeacquet,SOUHAITS,Adonc,B,Allez,Où,V',Dizy,Sitôt,Savoyard,petiote,Frotte,Perpétue
0,réserve de la Rose,Rose,réserve des furolles,réserve de monsieur,,,,,,,,,,,,,,,,,,,,,
1,Auriez,Riez,,,,,,,,,,,,,,,,,,,,,,,
2,pré Brugnon,couvent Brugnon,,,,,,,,,,,,,,,,,,,,,,,
3,Votre,Voilà,,,,,,,,,,,,,,,,,,,,,,,
4,Toinon,calme-toi,,,,,,,,,,,,,,,,,,,,,,,
5,Morlinval,Morlincourt,,,,,,,,,,,,,,,,,,,,,,,
6,Crachez,Cachez,Tâche,,,,,,,,,,,,,,,,,,,,,,
7,Franciers,franciers,,,,,,,,,,,,,,,,,,,,,,,
8,de France,la France,,,,,,,,,,,,,,,,,,,,,,,
9,Palais-Royal,J'ai,J',,,,,,,,,,,,,,,,,,,,,,
10,Armandine,Vermand,,,,,,,,,,,,,,,,,,,,,,,
11,Manot,Maman,,,,,,,,,,,,,,,,,,,,,,,
12,Bérénice,pau,Pauvre,,,,,,,,,,,,,,,,,,,,,,
13,Sortez,Écoutez,,,,,,,,,,,,,,,,,,,,,,,
14,Or,Médor,,,,,,,,,,,,,,,,,,,,,,,
15,Désirée,Agréez,,,,,,,,,,,,,,,,,,,,,,,
16,couseuses,Malicieuse,,,,,,,,,,,,,,,,,,,,,,,
17,Norine,brin,,,,,,,,,,,,,,,,,,,,,,,
18,du Nord,Nord,,,,,,,,,,,,,,,,,,,,,,,
19,Las,Lambin,,,,,,,,,,,,,,,,,,,,,,,
20,Habile,Le soleil,per labia,,,,,,,,,,,,,,,,,,,,,,
21,Bassette,Favette,Basset,,,,,,,,,,,,,,,,,,,,,,
22,Relevez,Avez,,,,,,,,,,,,,,,,,,,,,,,
23,Chacun,Charité,,,,,,,,,,,,,,,,,,,,,,,
24,Devise,Devinez,,,,,,,,,,,,,,,,,,,,,,,
25,Cassiopée,Assis,,,,,,,,,,,,,,,,,,,,,,,
26,Clarisse,Parisien,parigot,Parisiens,Paris,,,,,,,,,,,,,,,,,,,,
27,Bien,Tiens,Retiens,,,,,,,,,,,,,,,,,,,,,,
28,Comprenez,Venez,,,,,,,,,,,,,,,,,,,,,,,
29,queue-leu-leu,Garde-les,,,,,,,,,,,,,,,,,,,,,,,
30,Bonsoir,buis,MOISSON,Sois,,,,,,,,,,,,,,,,,,,,,
31,Crois-tu,As-tu,Hommes-sans-Têtes,T'arrêteras-tu,Sens-tu,,,,,,,,,,,,,,,,,,,,
32,Bonnets,colonne Vendôme,Jeanneton,,,,,,,,,,,,,,,,,,,,,,
33,mitan-côte,Jean-Claude,,,,,,,,,,,,,,,,,,,,,,,
34,Satané,État,,,,,,,,,,,,,,,,,,,,,,,
35,Faut,boursicaut,,,,,,,,,,,,,,,,,,,,,,,
36,fieux,Vieux,,,,,,,,,,,,,,,,,,,,,,,
37,Cellier,Vierge,Alger,,,,,,,,,,,,,,,,,,,,,,
38,Tournez,Tour,,,,,,,,,,,,,,,,,,,,,,,
39,Pour,Pourvu,,,,,,,,,,,,,,,,,,,,,,,
40,Sylvain,Poulains,,,,,,,,,,,,,,,,,,,,,,,
41,Craintifs,Saint-Quentin,fontaine Sainte-Radegonde,,,,,,,,,,,,,,,,,,,,,,
42,Saint-Brunelle,cabaretière de Saint-Brunelle,,,,,,,,,,,,,,,,,,,,,,,
