cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27
-1,Monte,Las,Bérénice,Carrière-Fondue,Reviendront,gouaillant,gars Denis,bras-le-corps,Vénus,FRUCTUEUX,Artaban,répondez,fontaine Sainte-Radegonde,Palais-Royal,Jeacquet,SOUHAITS,Adonc,B,Allez,Où,V',Lambin,Dizy,Sitôt,Savoyard,petiote,Frotte,Perpétue
0,Bonnets,colonne Vendôme,Jeanneton,,,,,,,,,,,,,,,,,,,,,,,,,
1,mitan-côte,Jean-Claude,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Satané,État,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Comprenez,Venez,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tournez,Tour,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Pour,Pourvu,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sylvain,Poulains,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Craintifs,Saint-Quentin,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Saint-Brunelle,cabaretière de Saint-Brunelle,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Faut,boursicaut,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Habile,Le soleil,per labia,,,,,,,,,,,,,,,,,,,,,,,,,
11,fieux,Vieux,,,,,,,,,,,,,,,,,,,,,,,,,,
12,VI,Cellier,Vierge,Alger,,,,,,,,,,,,,,,,,,,,,,,,
13,queue-leu-leu,Garde-les,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Devise,Devinez,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Bonsoir,buis,MOISSON,Sois,,,,,,,,,,,,,,,,,,,,,,,,
16,Crois-tu,As-tu,Hommes-sans-Têtes,T'arrêteras-tu,Sens-tu,,,,,,,,,,,,,,,,,,,,,,,
17,Cassiopée,Assis,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Clarisse,Parisien,parigot,Parisiens,Paris,,,,,,,,,,,,,,,,,,,,,,,
19,Bien,Tiens,Retiens,,,,,,,,,,,,,,,,,,,,,,,,,
20,Chacun,Charité,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Désirée,Agréez,,,,,,,,,,,,,,,,,,,,,,,,,,
22,couseuses,Malicieuse,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Bassette,Favette,Basset,,,,,,,,,,,,,,,,,,,,,,,,,
24,Relevez,Avez,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Norine,brin,,,,,,,,,,,,,,,,,,,,,,,,,,
26,du Nord,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Or,Médor,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Sortez,Écoutez,,,,,,,,,,,,,,,,,,,,,,,,,,
29,pau,Pauvre,,,,,,,,,,,,,,,,,,,,,,,,,,
30,J'ai,J',,,,,,,,,,,,,,,,,,,,,,,,,,
31,Armandine,Vermand,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Manot,Maman,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Crachez,Cachez,Tâche,,,,,,,,,,,,,,,,,,,,,,,,,
34,Morlinval,Morlincourt,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Franciers,franciers,,,,,,,,,,,,,,,,,,,,,,,,,,
36,de France,Céran,la France,,,,,,,,,,,,,,,,,,,,,,,,,
37,Toinon,calme-toi,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Votre,Voilà,,,,,,,,,,,,,,,,,,,,,,,,,,
39,pré Brugnon,couvent Brugnon,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Auriez,Riez,,,,,,,,,,,,,,,,,,,,,,,,,,
41,réserve de la Rose,Rose,réserve des furolles,réserve de monsieur,,,,,,,,,,,,,,,,,,,,,,,,
