cluster,elem_0,elem_1,elem_2,elem_3,elem_4
0.0,fort,North,comfort,,
1.0,INDIA,India,,,
2.0,the Sea Queen,"the Sea
Queen","birds,—(several sea",,
3.0,Hasty,Easter,,,
4.0,Artist,Christ,Paris,,
5.0,Seville,Villa,Llangwillan,New,
6.0,Providence,Prove-,Sweden,Benevolence,"promise,—if"
7.0,Elizabethan,Handing,Harding,,
8.0,Percy?—let,Percy,Perry,,
9.0,Rose,Euphrosyne,,,
10.0,Essie,Faintness,STORY.—A CONFESSION,,
11.0,Samboese,Heroes,,,
12.0,Highland,Moorlands,Landor,Ireland,Scotland
13.0,Lelly,Ellen,,,
14.0,Glamorgan,England,Old England,,
15.0,Helen,Cheltenham,Hamiltou,,
16.0,thou,,,,
17.0,Lowood,Earth,Oakwood,,
18.0,Oxford,Melford,,,
19.0,Atlantic,the Fire Islands,the Shetland Isles,Wales,
20.0,New York,Devonshire,Yorkshire,,
21.0,Harcourt,London,Edinburgh,Ashburton,"itself,—Morton"
22.0,Bricuriy,British America,"South
America",,
23.0,Germany,germany,,,
24.0,Portsmouth,Truth,Plymouth,,
25.0,LONDON,Italy,italy,,
26.0,Scotsmen,moment”—she,,,
27.0,Nurse Languor,Languor,,,
28.0,LiBRARY,Library,,,
29.0,Swansea,Torrington,Seaton,,
30.0,Thou,,,,
