cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
-1,Atlantic,MR,Sweden,Scotsmen,Glamorgan,Halifax,n’t,"birds,—(several sea",&c.,T—.,"promise,—if",MS,Artist,Pembroke,Us,moment”—she
0,Germany,germany,,,,,,,,,,,,,,
1,Lowood,Oakwood,,,,,,,,,,,,,,
2,Library,LiBRARY,,,,,,,,,,,,,,
3,me?—oh,Picks,,,,,,,,,,,,,,
4,Hasty,Easter,,,,,,,,,,,,,,
5,Perry,Percy,Percy?—let,,,,,,,,,,,,,
6,Italy,italy,,,,,,,,,,,,,,
7,Devonshire,Yorkshire,New York,myrtle,New,,,,,,,,,,,
8,Thou,thou,,,,,,,,,,,,,,
9,London,LONDON,,,,,,,,,,,,,,
10,Cecil,Lady,Madeira,deceit,,,,,,,,,,,,
11,Harcourt,Edinburgh,,,,,,,,,,,,,,
12,Psalm,Sabbath,Elizabethan,,,,,,,,,,,,,
13,Handing,Harding,,,,,,,,,,,,,,
14,INDIA,India,,,,,,,,,,,,,,
15,Christ,Paris,,,,,,,,,,,,,,
16,Euphrosyne,Caroline,Rose,,,,,,,,,,,,,
17,"South
America",British America,Bricuriy,,,,,,,,,,,,,
18,Ashburton,"itself,—Morton",,,,,,,,,,,,,,
19,the Sea Queen,"the Sea
Queen",,,,,,,,,,,,,,
20,Swansea,Torrington,Seaton,,,,,,,,,,,,,
21,Plymouth,Portsmouth,Truth,,,,,,,,,,,,,
22,Samboese,Heroes,,,,,,,,,,,,,,
23,North,fort,comfort,Earth,,,,,,,,,,,,
24,Melford,Oxford,,,,,,,,,,,,,,
25,Cheltenham,Hamiltou,Lelly,Helen,Ellen,,,,,,,,,,,
26,Prove-,Providence,Benevolence,,,,,,,,,,,,,
27,STORY.—A CONFESSION,Faintness,Essie,,,,,,,,,,,,,
28,Esq,Wales,,,,,,,,,,,,,,
29,Villa,Seville,Llangwillan,,,,,,,,,,,,,
30,Languor,Nurse Languor,,,,,,,,,,,,,,
31,England,Old England,Scotland,,,,,,,,,,,,,
32,the Fire Islands,the Shetland Isles,,,,,,,,,,,,,,
33,Highland,Landor,Ireland,Moorlands,,,,,,,,,,,,
