cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0,Portsmouth,fort,myrtle,North,comfort,Oxford,Melford,,,,
1,New York,Us,Yorkshire,New,,,,,,,
2,Artist,Harcourt,Christ,Earth,Paris,,,,,,
3,Rose,Prove-,Euphrosyne,Pembroke,"promise,—if",,,,,,
4,Esq,Essie,Samboese,Heroes,MS,Faintness,Wales,MR,,,
5,the Sea Queen,"the Sea
Queen",,,,,,,,,
6,London,Devonshire,LONDON,STORY.—A CONFESSION,,,,,,,
7,n’t,&c.,,,,,,,,,
8,Seville,Villa,Llangwillan,Lady,,,,,,,
9,Caroline,LiBRARY,Library,,,,,,,,
10,Germany,germany,,,,,,,,,
11,T—.,,,,,,,,,,
12,INDIA,Handing,Harding,India,Edinburgh,,,,,,
13,Truth,thou,Hamiltou,Plymouth,Sabbath,Thou,,,,,
14,Lowood,Oakwood,,,,,,,,,
15,Madeira,Providence,deceit,Cecil,,,,,,,
16,Elizabethan,the Fire Islands,the Shetland Isles,moment”—she,,,,,,,
17,me?—oh,Bricuriy,Picks,British America,"South
America",,,,,,
18,Psalm,Halifax,Italy,italy,,,,,,,
19,Percy?—let,Percy,Perry,,,,,,,,
20,Helen,Sweden,Lelly,Benevolence,Cheltenham,Scotsmen,Ellen,,,,
21,Hasty,Easter,,,,,,,,,
22,"birds,—(several sea",Swansea,Torrington,Ashburton,Seaton,"itself,—Morton",,,,,
23,Atlantic,Glamorgan,Nurse Languor,Highland,England,Moorlands,Languor,Old England,Landor,Ireland,Scotland
