cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0,the Sea Queen,"the Sea
Queen","birds,—(several sea",moment”—she,,,,
1,Plymouth,Portsmouth,Truth,,,,,
2,Italy,Psalm,italy,,,,,
3,Thou,Hamiltou,Sabbath,thou,,,,
4,Handing,Harding,Elizabethan,Edinburgh,,,,
5,Prove-,Sweden,Providence,Benevolence,,,,
6,the Fire Islands,Highland,England,Glamorgan,Landor,Ireland,Old England,Moorlands
7,Library,LiBRARY,,,,,,
8,MR,Hasty,Halifax,Easter,,,,
9,Germany,germany,,,,,,
10,Languor,Nurse Languor,,,,,,
11,Melford,Oxford,North,fort,myrtle,"itself,—Morton",comfort,
12,Cecil,Madeira,deceit,,,,,
13,&c.,MS,,,,,,
14,INDIA,India,,,,,,
15,Lady,Villa,Seville,Llangwillan,,,,
16,Devonshire,Picks,Yorkshire,,,,,
17,Atlantic,Scotsmen,the Shetland Isles,Scotland,,,,
18,London,LONDON,,,,,,
19,Perry,Percy,Percy?—let,,,,,
20,STORY.—A CONFESSION,Faintness,Esq,Wales,Essie,,,
21,Christ,Paris,Harcourt,Artist,Earth,,,
22,n’t,Caroline,T—.,New York,New,,,
23,Euphrosyne,Samboese,"promise,—if",Heroes,Pembroke,Rose,,
24,me?—oh,"South
America",Us,British America,Bricuriy,,,
25,Swansea,Torrington,Ashburton,Seaton,,,,
26,Lowood,Oakwood,,,,,,
27,Cheltenham,Lelly,Helen,Ellen,,,,
