cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27
-1,MR,Sweden,Swansea,Scotsmen,me?—oh,Lady,Psalm,Sabbath,Glamorgan,Halifax,n’t,"birds,—(several sea",&c.,Caroline,T—.,Torrington,"promise,—if",Picks,myrtle,Harcourt,MS,Artist,Pembroke,Us,Elizabethan,Seaton,Edinburgh,moment”—she
0,the Sea Queen,"the Sea
Queen",,,,,,,,,,,,,,,,,,,,,,,,,,
1,the Fire Islands,the Shetland Isles,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Highland,Landor,Ireland,Moorlands,,,,,,,,,,,,,,,,,,,,,,,,
3,Atlantic,England,Old England,Scotland,,,,,,,,,,,,,,,,,,,,,,,,
4,Villa,Seville,Llangwillan,,,,,,,,,,,,,,,,,,,,,,,,,
5,Languor,Nurse Languor,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Cheltenham,Hamiltou,Lelly,Helen,Ellen,,,,,,,,,,,,,,,,,,,,,,,
7,Prove-,Providence,Benevolence,,,,,,,,,,,,,,,,,,,,,,,,,
8,Euphrosyne,Rose,,,,,,,,,,,,,,,,,,,,,,,,,,
9,STORY.—A CONFESSION,Faintness,Essie,,,,,,,,,,,,,,,,,,,,,,,,,
10,Esq,Wales,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Samboese,Heroes,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Ashburton,"itself,—Morton",,,,,,,,,,,,,,,,,,,,,,,,,,
13,North,fort,comfort,Earth,,,,,,,,,,,,,,,,,,,,,,,,
14,Melford,Oxford,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Plymouth,Portsmouth,Truth,,,,,,,,,,,,,,,,,,,,,,,,,
16,"South
America",British America,Bricuriy,,,,,,,,,,,,,,,,,,,,,,,,,
17,Christ,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Handing,Harding,,,,,,,,,,,,,,,,,,,,,,,,,,
19,INDIA,India,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Cecil,Madeira,deceit,,,,,,,,,,,,,,,,,,,,,,,,,
21,London,LONDON,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Thou,thou,,,,,,,,,,,,,,,,,,,,,,,,,,
23,New York,New,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Devonshire,Yorkshire,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Italy,italy,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Hasty,Easter,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Perry,Percy,Percy?—let,,,,,,,,,,,,,,,,,,,,,,,,,
28,Library,LiBRARY,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Lowood,Oakwood,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Germany,germany,,,,,,,,,,,,,,,,,,,,,,,,,,
