cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17
0,crois,EH,Roi-Louis,Croquerat,Voix,Trois-Mares,moi,RRO A,Crott,Ro-,,,,,,,,
1,Es,Barbes,.$eS,pothes,sesavoir,Sèvres,Athènes,ôrmes,estan,pides,ES,ajones,,,,,,
2,sais-tu,trouves-tu,sais,Sais-tu,,,,,,,,,,,,,,
3,Ou,Coup,Rouen,utou,caoutchoues,s’assoupir,toujoürs,jous-r’,Sou-,Vouset,,,,,,,,
4,cher,Corniche,He,c0chér,"courant d' air
du porche",Gouche,pôche,E,la manche,"bouche
erté",,,,,,,,
5,Faire,Lemaire,l'Empire,Lire,,,,,,,,,,,,,,
6,ogne,champagne,Cigogne,Cologne,cognac,,,,,,,,,,,,,
7,Réponds,Répondez,rémonie,u%,A84,,,,,,,,,,,,,
8,Chinoiïs,ÏS,kB,,,,,,,,,,,,,,,
9,ine,Jardin,la Seine,Ÿ,La plaine,Jeinne,Romäines,e’,Ù,Ilne,Madeleines,Chine,,,,,,
10,Étre,Notre-Dame du Gros-Ventre,Autrefois,Étretat,Apôtres,trembier,étremoral,,,,,,,,,,,
11,jusqu’,bosquet,qu’,Qué,Océan jusqu’,squ,,,,,,,,,,,,
12,Yport,artit,| Yport,poür,Évaporée,,,,,,,,,,,,,
13,rs-,rs,rs-accourait,Æt,s’as-,,,,,,,,,,,,,
14,Rosalie,t Rosalie,,,,,,,,,,,,,,,,
15,Tai,Capitaine,Était-,,,,,,,,,,,,,,,
16,CE,s’'enfoncer,Grèce,b,Sace,,,,,,,,,,,,,
17,Ilécrivit,rivige,,,,,,,,,,,,,,,,
18,uillon,taillis dépouillés,ILON,Couillon,,,,,,,,,,,,,,
19,"| |

Hauts",Là-haut,Ts,,,,,,,,,,,,,,,
20,Chambre-aux-Demoiselles,d2,moiselle de la Roche-Aubert,Ellé,Elle,Ellerentrait,el,Puiselle,tonnelle,Elle-s’,Ellesse,"|

- Elle",Éternelle,javelle,,,,
21,É,amazone,z0n€,ner son amazone,Æ,m’,,,,,,,,,,,,
22,vallon sauvage d'Ota,"rue
Sauvage",rue du Sauvage,golfe de Sagone,,,,,,,,,,,,,,
23,tanda’,iand,Piana,Hollande,uand,Ia,,,,,,,,,,,,
24,venirs,Provence,È,Providence,J,,,,,,,,,,,,,
25,Lu,alluma,U— Plus,lu,t-luis,,,,,,,,,,,,,
26,Ltorturée,Ée,ublée,gônflée,Enchaînée,Chicorées,mélée,changée,Béelzébuth,halées,,,,,,,,
27,recut,Î,sen,Religion,ren,Reminil,surgirent.de,Florence,cütrenoncé,,,,,,,,,
28,au Havre,du Havre,e Havre,le Havre,collège du Havre,1 Havre,rue du Havre,,,,,,,,,,,
29,Batteviile,Batte-,Batteville,,,,,,,,,,,,,,,
30,Lac,LAS,Lastique,|,Las,Gela,Adélaïde,,,,,,,,,,,
31,mariez-les,Quittez-le,Pourriez-,Mèlez-,F,apportez-les-moi,,,,,,,,,,,,
32,naie,blaient,Oriental,Impatienté,Bientôt,,,,,,,,,,,,,
33,I,v’'la,V’,,,,,,,,,,,,,,,
34,Cargèse,anca,calmé,Ca,Cana,ca,Cany,calme-toi,caleçon,dénonca,,,,,,,,
35,tricotani,bécota,Picot,,,,,,,,,,,,,,,
36,Tolbiac,bé Tolbiac,,,,,,,,,,,,,,,,
37,Savez,Faven-,Avez,àvec,seulavec,,,,,,,,,,,,,
38,Coutelier,UT,Écoutez,Comptez,,,,,,,,,,,,,,
39,fa-,Ma-,Fa,,,,,,,,,,,,,,,
40,souleva,Poulet,Voulez,Paulet,piéds;. Poulet,,,,,,,,,,,,,
41,Océan,Jeanné,EtJeannes’,éanne,nne,Jéanne,,,,,,,,,,,,
42,Gette,Vaucotte,Côte,droïte,Te,,,,,,,,,,,,,
43,Tassit,Ôt,Sitôt,LH nuit,,,,,,,,,,,,,,
44,ieau,Verneuil,"couvent

de Versailles",hameau de Verneuil,,,,,,,,,,,,,,
45,M'sieu,obséquieux,Hieux,deuxijouts,,,,,,,,,,,,,,
46,S,Afrique,Quelquefois,Amérique,L'Amérique,l'Afrique,,,,,,,,,,,,
47,Normand,Normandie,Hôtel de Normandie,Normande,"hôtel de

Normandie",,,,,,,,,,,,,
48,A comtesse,comtesse Gilberte,Gilberte,GO Gp,,,,,,,,,,,,,,
49,Ajaccio,R,Ci,"É
3 Æ",Cité,,,,,,,,,,,,,
50,Ilsne,Ils’,ls,LS,lsblouse,,,,,,,,,,,,,
51,ournée,Bourse,Dour,Fourville,Four-,Four,Coursil,Livourne,,,,,,,,,,
52,fl,"col
fl",Coco,,,,,,,,,,,,,,,
53,Fr bornme,Mornes,"el
morne",alaternes,,,,,,,,,,,,,,
54,Mâdame,Damas,Mädame,Pyrame,A,,,,,,,,,,,,,
55,Corse,La Corse,t-la Corse,,,,,,,,,,,,,,,
56,Jui,nu-bras,Juï,Ju-,au-,jura,,,,,,,,,,,,
57,P,mer par-dessus,"HE 3

La mer immobile",mer r bleu À,mer invisible,,,,,,,,,,,,,
58,Brise-,riseville,qü’,Briseville,Surprise,gare de Beuzeville,Brisseville,,,,,,,,,,,
59,phare de Fécamp,la Jampe,Camp,Fécamp,,,,,,,,,,,,,,
60,noblésse,Lés,Sobrés,,,,,,,,,,,,,,,
61,ferme d’Életot,Fe di,FE,Fe,Fection,,,,,,,,,,,,,
62,Bonsoir,maïns,"sa-
ns",ns,Tiens,Fans,sapins,,,,,,,,,,,
63,ge,ongeur,sson,Songe,Sonna,,,,,,,,,,,,,
64,pays qu’,"pays de
L tout parsemée",pau,pays de Caux,,,,,,,,,,,,,,
