cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18
0,CE,Î,Grèce,Sace,,,,,,,,,,,,,,,
1,tont,Étouvent,Remontée,Pontet,cntra,mont Riboudet,Tongs,Toüt,Saint-Léonard,,,,,,,,,,
2,comtesse Gilberte,A comtesse,Ù,GO Gp,Gilberte,,,,,,,,,,,,,,
3,haron,aipardonna,Haït,Le.baron,"ba-
ron",habitué,A,,,,,,,,,,,,
4,Méditerranée,la-Méditerranée,,,,,,,,,,,,,,,,,
5,ed’,d’,,,,,,,,,,,,,,,,,
6,ner son amazone,amazone,,,,,,,,,,,,,,,,,
7,Écoutez,UT,u%,Coutelier,Comptez,,,,,,,,,,,,,,
8,sson,"É
3 Æ",Songe,s’assoupir,Sonna,Lison,Bonsoir,,,,,,,,,,,,
9,Italie,Tassit,d'Italie,Oriental,Rosalie,s’,Était-,t Rosalie,Cuitaux,,,,,,,,,,
10,itemps,entemps,"Er
Etlentement",Impatienté,Dentu,emps,entru,s’'augmentent,,,,,,,,,,,
11,Mâdame,Pyrame,Damas,Mädame,,,,,,,,,,,,,,,
12,sais-tu,b,Sais-tu,É,sais,trouves-tu,,,,,,,,,,,,,
13,Lheure,Eure,Impureté,heuressans,heurta,Ieures,ongeur,,,,,,,,,,,,
14,L'Amérique,Mé-,Amérique,l'Afrique,Afrique,,,,,,,,,,,,,,
15,obséquieux,Hieux,M'sieu,,,,,,,,,,,,,,,,
16,Er,quiéter,s’exalter,Alber-,ner,ler,rêver,vert-de-gris,Goder-,ER,Verneuil,,,,,,,,
17,U— Plus,lu,Lu,alluma,,,,,,,,,,,,,,,
18,Tolbiac,Bolbec,A84,bé Tolbiac,,,,,,,,,,,,,,,
19,ns,Tiens,"sa-
ns",maïns,sapins,Fans,,,,,,,,,,,,,
20,e Havre,au Havre,du Havre,le Havre,"| |

Hauts",rue du Havre,collège du Havre,1 Havre,,,,,,,,,,,
21,d2,"pays de
L tout parsemée",pays de Caux,Thysbé,pays qu’,Lys,qu’,,,,,,,,,,,,
22,bosquet,Qué,squ,Océan jusqu’,jusqu’,,,,,,,,,,,,,,
23,jura,Juï,Jui,LH nuit,,,,,,,,,,,,,,,
24,Jeinne,Ilne,ine,Sainte-Hélène,Jardin,Madeleines,Capitaine,Romäines,la Seine,Reminil,Chine,,,,,,,,
25,Rollebosc,Flle,D,olle,lle,Allemagne,Bassolle,alle,Folle,|,Île,Mèlez-,élle,,,,,,
26,Laisse-,dain,m'’aimer,naie,aimais,hümains,Encaissée,maison,N'ai-je,"Tue
oo Mais ta mère n’",alaise,Tai,,,,,,,
27,FE,Fe di,Fer,Fection,Fe,,,,,,,,,,,,,,
28,taillis dépouillés,Varneville,d’aiguille,Vrillette,Fourville,ille,Courville,Ile,Greilles,Barville,fille;Elle,lille,Goderville,Ileutmème,Vrilleite,Marseille,"couvent

de Versailles",cueillie,ieille
29,poür,Ltorturée,apportez-les-moi,Yport,artit,| Yport,Évaporée,,,,,,,,,,,,
30,dormeuse,meuse,honteuse,Vouset,"Écu-
meuse",émus,us,lsblouse,,,,,,,,,,,
31,au-,mon-beau-frère,ieau,Ju-,nu-bras,pau,Là-haut,,,,,,,,,,,,
32,Sobrés,noblésse,S,Lés,,,,,,,,,,,,,,,
33,i,Chinoiïs,Ïl,ÏS,,,,,,,,,,,,,,,
34,ournée,Ur,Four,e’,Livourne,Pourriez-,Four-,Coursil,Dour,Bourse,rs-accourait,,,,,,,,
35,Ci,Cité,Ajaccio,,,,,,,,,,,,,,,,
36,Sacristi,Cri-,P'Angle-,kB,Crisange,crispé,Lisan,Sacré-Cœur,,,,,,,,,,,
37,Brise-,Æt,Ilécrivit,riseville,Brisseville,Briseville,Surprise,,,,,,,,,,,,
38,Lo,uillon,Couillon,ILON,Londres,Niolo,on.se,,,,,,,,,,,,
39,mignonne,Mignonne,lign,I,qü’,,,,,,,,,,,,,,
40,He,"bouche
erté",c0chér,cher,pôche,Corniche,Gouche,,,,,,,,,,,,
41,Penples,Blesséos,Péuples,mariez-les,Naples,Iles s’,Îles,Les,Iles,Lest.partout,EH,Le,,,,,,,
42,Ellesse,javelle,Éternelle,tonnelle,Elle-s’,Elle,Puiselle,"|

- Elle",eleis,Ellerentrait,Chambre-aux-Demoiselles,el,Ellé,,,,,,
43,ren,Florence,cütrenoncé,surfabeno,sen,recut,surgirent.de,,,,,,,,,,,,
44,Palais-Royal,valetsen,Val,val,eval,S’,Vauds,galo,val d'Ota,dévala,"air
du Val",val d’Ota,,,,,,,
45,"Rue

Dès",el hourrue,Rue,reparue,Quelquefois,,,,,,,,,,,,,,
46,anca,calmé,Ca,ca,Fécamp,Cargèse,Cana,Camp,dénonca,caleçon,calme-toi,Cany,,,,,,,
47,tricotani,Picot,bécota,Coco,Vaucotte,,,,,,,,,,,,,,
48,"col
fl",gônflée,fl,,,,,,,,,,,,,,,,
49,-.Je',Jet,jeta,Etil,,,,,,,,,,,,,,,
50,ls,Ils’,Ilsne,LS,,,,,,,,,,,,,,,
51,"Co |

Dè rares",Madère,Dè,,,,,,,,,,,,,,,,
52,j’,F7,R,,,,,,,,,,,,,,,,
53,sesavoir,halées,Athènes,ajones,.$eS,Sèvres,Chicorées,ôrmes,ES,Jambes,sernaiñes,Es,pides,pothes,estan,,,,
