cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16
0,alle,alluma,Flle,Be,élle,Allemagne,b,lle,,,,,,,,,
1,au Havre,rivige,du Havre,e Havre,le Havre,collège du Havre,1 Havre,Dè,rue du Havre,,,,,,,,
2,sais-tu,sais,Sais-tu,,,,,,,,,,,,,,
3,Verneuil,S,sernaiñes,hameau de Verneuil,IS,on.se,rêver,alaternes,m’,,,,,,,,
4,Es,Iles s’,Blesséos,Ileutmème,Ca,Te,Ile,Ilne,Les,Fa,Iles,,,,,,
5,Toüt,He,,,,,,,,,,,,,,,
6,Réponds,Répondez,,,,,,,,,,,,,,,
7,P,Étre,"sa-
ns",Ajaccio,Étretat,étremoral,,,,,,,,,,,
8,2 Li,jusqu’,bosquet,Lomme,qu’,Coco,Océan jusqu’,squ,,,,,,,,,
9,Yport,Ltorturée,droïte,| Yport,Jambes,Évaporée,Dis,J,,,,,,,,,
10,ferme d’Életot,Fe di,Lys,ÿ Xi,àvec,Fans,ôrmes,,,,,,,,,,
11,ucune,Ci,Juï,lune,,,,,,,,,,,,,
12,ieau,EH,yme,mon-beau-frère,rémonie,Madère,Ts,,,,,,,,,,
13,Tai,Niolo,Ma-,Capitaine,Était-,,,,,,,,,,,,
14,Jardin,Lac,R,el,aipardonna,Saint-Léonard,,,,,,,,,,,
15,uillon,taillis dépouillés,ILON,F7,habitué,Couillon,,,,,,,,,,,
16,venirs,Étouvent,"couvent

de Versailles",trouves-tu,,,,,,,,,,,,,
17,Chambre-aux-Demoiselles,moiselle de la Roche-Aubert,Ellé,Elle,Religion,jeta,Ôt,Ellerentrait,Puiselle,tonnelle,Elle-s’,Ellesse,"|

- Elle",fille;Elle,L’,Éternelle,javelle
18,rs-,Damas,amazone,rome,ner son amazone,ajones,,,,,,,,,,,
19,vallon sauvage d'Ota,"rue
Sauvage",rue du Sauvage,t’,"Rue

Dès",,,,,,,,,,,,
20,tanda’,iand,Hollande,uand,,,,,,,,,,,,,
21,crois,Croquerat,Quelquefois,Crott,,,,,,,,,,,,,
22,Savez,Faven-,Avez,s’,LS,seulavec,N'ai-je,,,,,,,,,,
