cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14
0.0,CoiSa,in coiee,oeisa ro,COIsa,,,,,,,,,,,
1.0,Braga,Praga,braga,fraga,,,,,,,,,,,
2.0,Commercial,"Est
incommodada",Praia Commiercial,commercio,"re-
commenlago",Merc,commietier,Encommendaram-m,,,,,,,
3.0,Maus,Pausa,Australias,,,,,,,,,,,,
4.0,i loja do ourives,chamma do fogo,loj,pa  do irmio,im do mundo,,,,,,,,,,
5.0,Parece-me,Parecen-lhe,Pareceu-me,Pirecen,Prece-me,Apparece,,,,,,,,,
6.0,Umanoite,Anoitecer,Doshumano,,,,,,,,,,,,
7.0,Desconfio,confian,"d desconhe
cia",coniescondi,Desculpa,,,,,,,,,,
8.0,ande l,DE IR,"Poi
ande la",Ande,"chi
de los",,,,,,,,,,
9.0,Almas,Alma,,,,,,,,,,,,,
10.0,Carinhos,Carinhosa,Carinho,,,,,,,,,,,,
11.0,Jose Fortuna,Jose Fortunalo tambem-,Jose Fon-,,,,,,,,,,,,
12.0,ltichard,isue,Ktichard-e,"Ri-
chard",Multic,,,,,,,,,,
13.0,Uusmeralas,tralaste,peusmenus,,,,,,,,,,,,
14.0,ILI INGLEZA,"Cata-
ria
0 velho inglez",INGLEZA,"AMBI INGLEZA
t3",A1 RAILI INGLEZA1,i  ing,i  ii,1E inglez,PILH INGLEZA,"FMILI INGLEZA
3s
p",,,,,
15.0,gute,Aviutes,Trutenlo,,,,,,,,,,,,
16.0,estueacto,Costumo,estudar0o,Ouea,nomeacto,,,,,,,,,,
17.0,padre,joven padre,Padre,Padre-nosso,,,,,,,,,,,
18.0,Raras,csbarrar,Claras,cara0 c0n,Ras,Mascaras,Praeurarci,"s6

ara",,,,,,,
19.0,Prata,pRata,crato d,Praia,,,,,,,,,,,
20.0,Culos,"i
Culos",L0 Culos,ie Culos,Culos.-Me,Ando Culos,"Culos ol-
tou",ca rculo,Culo,,,,,,
21.0,Liverpool,VIveris,verpool,Declive,,,,,,,,,,,
22.0,hAs tres da tarde,tos da ca,"es
rma cios della",pos g,tos do vaso,,,,,,,,,,
23.0,impossivel fa-,Impossiveis,0R SYMPOAAS,iavisivel,Imposi,L Fi,,,,,,,,,
24.0,"estado do
z::t",estado i vista,estado do discipulo,estado,,,,,,,,,,,
25.0,Inglaterra,inglaterra,lateraes,,,,,,,,,,,,
26.0,AILIA INGLEZA,"AILIA INGLEZA
E3",AILIA COLERA,ILHA INGLEZA,PAILIA ALTEZA,leqio,"AILIA INGLEZA
Exercera",,,,,,,,
27.0,men chapeo,chatpeo,"sen ces
sar absorvilos",r. Ch,chap,Apetite,,,,,,,,,
28.0,tahem,Polyphemo,cahec,Hem,sahes,,,,,,,,,,
29.0,Poss Crescia,Crescia?-,Pois Crescia,"Crescia
Calos",Crescia,Eu2l-perguntou Crescia,Crescia-,Descia  amp,NEo2-interrogou Crescia,Queira sentar-se-disse Crescia,Ilesciai,Fazia rir Crescia,senhor?-Balbuciou Crescia,Descia,Entre Crescia
30.0,"felicidade de
ce Snuihleld",Snuihleld,,,,,,,,,,,,,
31.0,Calado,Lado,calis,,,,,,,,,,,,
32.0,Fronteiras,Fronte,"nilo
le hontem","fronte feridas.-E
has",Traz-os-Montes,ue byron,Fronte d'ella,monte Mim,,,,,,,
33.0,Ohl,"Ohl
ra",,,,,,,,,,,,,
34.0,illuminair,illudia,Cosme illus-boas,acudia,pullulra,,,,,,,,,,
35.0,aes,cereaes,obrigaes,sociaes,"aes
ruaS",taes,Aesr,caes,immemoriaes,,,,,,
36.0,MAnoel Sentindo,Sentindo,Manoel Sentindo,Fingindo,,,,,,,,,,,
37.0,en mulher-,en m,,,,,,,,,,,,,
38.0,lOndres,londres,l.londres,"lOndres
Culos",Londres,,,,,,,,,,
39.0,Exquisita,ITA,Italia,Coitado,Capital,Fita,,,,,,,,,
40.0,Livros,ros,Medroso,evoeiros,cr de ros,Tiros,"Pagem
ssaros",pinheiros,generoso0,,,,,,
41.0,Assumpto,assumpto,assumptos,,,,,,,,,,,,
42.0,Ate,Bate,Katel,atealilis,Vate,,,,,,,,,,
43.0,sei auxilio,i.i aG,,,,,,,,,,,,,
44.0,vigilia da vespera,Espere,esperangas,Especie,espera0 d ra humana,Respeile,,,,,,,,,
45.0,Jonny,Jonny-,mon ue Jony,,,,,,,,,,,,
46.0,.ii.g,Lia.ii,,,,,,,,,,,,,
47.0,st mnhi,Est muito ben,,,,,,,,,,,,,
48.0,Ingl-,"Fiel-
ing",INGL,INGLESA,Inglez,INGLRIA,,,,,,,,,
49.0,oeeveygg,soeeg,DEve,,,,,,,,,,,,
50.0,Paizes Si-,mis sica,Si-,Paiz,,,,,,,,,,,
51.0,Iazer,Iazer-Ih,iazer,Prazeres,,,,,,,,,,,
52.0,"MA FAMILIA INGLEZA
I1",MA FAMILIA IN6VEZ,"MA FAMILIA IIILEZIA
heroina",MA FAMILIA GALERIA,MA FAMILIA INGLEZA,UmA FAMILIA ING.ELA,MA FAMILIA ING.ERA,,,,,,,,
53.0,"pe
quela cas terre",daquelle,n'aquelle,quelle,Naquelle,Aquelle,aquelle,bairro de Cedofeita aquelle,Falle-e n'aquelle,Trata-se n'aquelle,Aquela,Aquell,t'aquelles,,
54.0,Concordo,Recordo-me,Gordo,,,,,,,,,,,,
55.0,Sens,"sen
ale",Sena,iorcesnsens,,,,,,,,,,,
56.0,Nocemeee,Wocemeee,,,,,,,,,,,,,
57.0,Nen un s6,Nenhum,MIr,nen  en-,,,,,,,,,,,
58.0,Curvas,Invas,Curvei,,,,,,,,,,,,
59.0,"Antoieps
G","Antoieps
G..i",,,,,,,,,,,,,
60.0,Cito,exercito da Saia,Repito-o,,,,,,,,,,,,
61.0,Lishos,"Lishos
sio s",,,,,,,,,,,,,
62.0,Sejam,Desejava,Vejam,,,,,,,,,,,,
63.0,aalluenci,Silencio-,luet,"Ias
dosenenci",nistcncis,,,,,,,,,,
64.0,Viegas,veigas,Piegas,gas d,,,,,,,,,,,
65.0,i.aniarioliio,nia,iniai,nia o er,calumnia,"es
lioie n niago",nia  is,virginia,,,,,,,
66.0,vig es,La est,la Iti,"i es
in","p es 
gen",la rai,sa es e.,,,,,,,,
67.0,adivinhads,adiviDb,Adivinha,Vinha,Adivi-,Adivinho-0,,,,,,,,,
68.0,Exultava,somma avultada,Melitava,Sultao,Faltava,,,,,,,,,,
69.0,Vae,"t
vae",vae,,,,,,,,,,,,
70.0,tmbei,beijos,vantajosamehte,Cujos,,,,,,,,,,,
71.0,casado-eu,casa.-,voi.-eU,Irrorisado,,,,,,,,,,,
72.0,L'cia,caricias,Grecia,Ncia,fluciaar,Cianos,,,,,,,,,
73.0,Alegre,alegre,segred,Alegr-te,Alegrar,,,,,,,,,,
74.0,isso0,Porisso,Alm d'isso,d'isso,"isso0
nes valeu",isso-A,,,,,,,,,
75.0,l'aqui,ii d'aqui,Aquillo,Quinze,equivoco,,,,,,,,,,
76.0,us tamhem,tamhem,tamhem a0,"Emilia
tamhem...",tmhem,Tamhem,perd0e-se tamhem so pude,,,,,,,,
77.0,Credo,Acredita,Acredita-me,meditagoes,Acredite-me,,,,,,,,,,
78.0,passeiar,Classes,lemhrasse,Passos,passeiand,,,,,,,,,,
79.0,N'este,Esteiro,VIer agreste's sublimes,estado n'este s0,oi m'este,N'este sitio,Esteve,Celeste-,N'este genero,"sisude in
n'este","N'este
cr",,,,
80.0,"pre-
ferencia",Incoherencia.as,serena,"e-
i",,,,,,,,,,,
81.0,Cecilii,Tanilii,Ccecilin,Ceeilii,Alvoro,Liic::c,Cec-,Cecilias,Cecilial Confesso-te,,,,,,
82.0,Convento,Vento,Inconvenientes,inventm,,,,,,,,,,,
83.0,liberaes,moraes,coraes,Moraes,,,,,,,,,,,
84.0,occasioes,occasi,ni casimiro,jusuilcas s,occasi.-,occaso,,,,,,,,,
85.0,Fugira,Exigir,Emile Fugir,,,,,,,,,,,,
86.0,Quentino,"Mande
Quentino",Quente,Quentino.-,Quentino;t,Quontine,Entin,Quentinho-que,,,,,,,
87.0,Aggei,nencdmnigeiei,,,,,,,,,,,,,
88.0,Imaginar,Imagine,imaginaco,Imagine-sc,"meses,-urrsvsrim de imagine",,,,,,,,,,
89.0,Foriunato,Fortunto,Fortunato,Fortuna,los Fortunato,Fartunato,Tortunatol,Jaspe Fortunato,,,,,,,
90.0,Ios,Ios.-,Iosle,Labios,,,,,,,,,,,
91.0,Sonuiol E,El el el...,ymn ol  i,,,,,,,,,,,,
92.0,Quaes,quaes,ima das quaes,,,,,,,,,,,,
93.0,impaciencia,"re-
sciencia",Impaciente-me,impaci,"pa
dos de impaciencia",,,,,,,,,,
94.0,ro-,Adoro-a,,,,,,,,,,,,,
95.0,Europa,Futuro,Ns Europa,,,,,,,,,,,,
96.0,jardim de S. Lazaro,"x. LA:.It.:1
.I",torre de s. rcio,,,,,,,,,,,,
97.0,XXIV-,XXI-0,,,,,,,,,,,,,
98.0,Figurava-se-lhe,Preparava-se-lhe,augmentando0-se-lhe,,,,,,,,,,,,
99.0,ingenoe,ingenle,nova aia,,,,,,,,,,,,
100.0,Dias,"r 
iii- sitio dias",Podia,Ias,,,,,,,,,,,
101.0,Fiz-te,Cl-te,,,,,,,,,,,,,
102.0,bRica,America,Africa,America do Norte,,,,,,,,,,,
103.0,DISTRAC,Estranha,Campanha,Estranhaya-a,acanhado,,,,,,,,,,
104.0,Limiar,Fiar,berlim.-,LiMites-,,,,,,,,,,,
105.0,Parou,Par,Para,apparigio,Paris,,,,,,,,,,
106.0,theatro,"theatro est
elle contos de reis","theatro
lyrico",theatro de S. Ido,,,,,,,,,,,
107.0,morr lan,Lan,LAN6,lan-,lang4I,,,,,,,,,,
108.0,Minha,"uI
rapa da minha idade","ci
adinha",rio sr s minha,Cosinha,escerivaninha,Tinham-me,,,,,,,,
109.0,ir-so-ia qae aquellas,apreciar naquella,aquella,"andar unido
aquella",aquella noile,Aquella,Aquellas,facticio n'aquella,,,,,,,
110.0,Victoria,victoria da paix,victoria,victoria da primeira,victoria cera,,,,,,,,,,
111.0,Guarda-a,Cardeal-,"mu
dea",encardenagi5es,,,,,,,,,,,
