cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28
0,Ia,Gia,Hussia,Siaial,Ias,Hia,hoquiaberto,nova aia,ialleneia,Fazia,Fiar,Lia.ii,Dias,"di
zia",Podia,Iiana,IA,,,,,,,,,,,,
1,Forte,"Forte tol
- E elle entro",Norte,Foz,desfortll,Fort-,Forte-,,,,,,,,,,,,,,,,,,,,,,
2,Tenho,Tenha,tEnho,Venham,nhou,Envergonho-me,Nenhum,,,,,,,,,,,,,,,,,,,,,,
3,sa es e.,"p es 
gen",B,e.,,,,,,,,,,,,,,,,,,,,,,,,,
4,Zes,"Fa-
zes-me",Fazes,Vezes,Paizes Si-,,,,,,,,,,,,,,,,,,,,,,,,
5,alegre,segred,Alegr-te,Alegre,Alegrar,,,,,,,,,,,,,,,,,,,,,,,,
6,cilia,Cocilia,vigilia,Debilit,Pobre Cocilial,Cncilia,Biblia,Alto Ili,Concili,Cscilial,PAILIA ALTEZA,FIILIA TINHA,Concilia,AILIA COLERA,,,,,,,,,,,,,,,
7,Culos,ie Culos,"i
Culos",Culas,Culo,L0 Culos,ca rculo,Ando Culos,Cujos,Culos.-Me,"Culos ol-
tou",,,,,,,,,,,,,,,,,,
8,Sens,Tens,Virgens,iorcesnsens,Defensa,"pes-
sen",Sena,Pensar,Ensino teI0,comensacao,Vens,sinuagens,ilsanens,,,,,,,,,,,,,,,,
9,Butterfl,Butterfly,Bu,,,,,,,,,,,,,,,,,,,,,,,,,,
10,victoria da primeira,victoria,vale Theoriasl,victoria cera,victoria da paix,Victoria,,,,,,,,,,,,,,,,,,,,,,,
11,Incendiar,Accendia,India,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Bonito,Bonito R,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ge,Fogem,"Ge:,2",Aggei,,,,,,,,,,,,,,,,,,,,,,,,,
14,CORR,soccorro d,O3,Correu,correr0r,correndo0,,,,,,,,,,,,,,,,,,,,,,,
15,Ins,ins,Bebamosl-insistiu o cro,Rins,Ns,"instn.-
tes",,,,,,,,,,,,,,,,,,,,,,,
16,Quinze,l'aqui,L',ii d'aqui,Aquillo,equivoco,,,,,,,,,,,,,,,,,,,,,,,
17,Pois,Ilopois,Expoirou,pois0s,Poi,L3i'pois,scondas dos pois0s,DEpois,,,,,,,,,,,,,,,,,,,,,
18,IM1,imp,M1,,,,,,,,,,,,,,,,,,,,,,,,,,
19,lucta,E33,Yoct,Lucta,,,,,,,,,,,,,,,,,,,,,,,,,
20,Io,situagio,io,tionheei,Iorga,peior,i.aniarioliio,Iiomemn,Eiio,leqio,Ioriiles,io naie,"g
Gio",,,,,,,,,,,,,,,,
21,ande l,bandeira lusitana,Ande,Luzia de Lamunermoor,"chi
de los","Poi
ande la",,,,,,,,,,,,,,,,,,,,,,,
22,sta,Custa-me,n'sta,Estais,ere0sta0s,Estao,Vista,Boa Vista,cs,Basta,,,,,,,,,,,,,,,,,,,
23,u-,Tu-,Iu-,"Repou-
s0",,,,,,,,,,,,,,,,,,,,,,,,,
24,Ceia,Ei,receiava,Ceil,CeIa,Ceil Teem-me,aceio,,,,,,,,,,,,,,,,,,,,,,
25,Terra Enlandl,enla,Terra Enlandl 0h,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Tranquila,tranquillisar,tranquillisar ningu,suavisar,,,,,,,,,,,,,,,,,,,,,,,,,
27,emilia,Emilia,"nada,-acudiu Emilia",Emile Fugir,Emilia augmentaya,Emilia-repetiu Carlos,"Emilia
tamhem...","gA
emilia",MIL1AI,passagem Emilia,en Emilia,,,,,,,,,,,,,,,,,,
28,Snr,snr mui,snr,snlt,,,,,,,,,,,,,,,,,,,,,,,,,
29,Ir,luzir,Exigir,MIr,Simphireol,Pedir,IR,DE IR,rir,Yorkshire,Bairro,,,,,,,,,,,,,,,,,,
30,Ria,Iria,"u2-
recairi",Suhiria,,,,,,,,,,,,,,,,,,,,,,,,,
31,ess,sesssie,i-o ii  esseir,olss,concess0es,press6es de alImento,d'essa,Cessara,lEsse,repellir ess es,,,,,,,,,,,,,,,,,,,
32,XXI-0,XXXYII-,XI,XXIV-,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Lishos
sio s",3I,Lishos,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Viegas,veigas,gas d,Piegas,,,,,,,,,,,,,,,,,,,,,,,,,
