cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28
0,El,Telo,Feliz,El el el...,Fazel-al,Mel,tarelas,vel0s,Del,rela6,,,,,,,,,,,,,,,,,,,
1,le,leqio,3E,iterroleu,lem-,reflexaa,lE,colletle,souleds,Leio-o,1r,,,,,,,,,,,,,,,,,,
2,Vae,aetol,Invas,vae,"t
vae",vacea,Ae,,,,,,,,,,,,,,,,,,,,,,
3,Precisarei,Precisei,dislfuarear,pa preciso'et,Share,Precisa,,,,,,,,,,,,,,,,,,,,,,,
4,pe,Pedir,"pe
neGdnnr",to  pe,"pe
ncipe",perlou-me,"pe
lo",peior,peri,peripecis,peatin,peco,,,,,,,,,,,,,,,,,
5,s6 d'elles,perfeito modelo d'ess bella mobilia,s6,submersa d'elles,casa d'elle,,,,,,,,,,,,,,,,,,,,,,,,
6,nia,Agonia,iniai,Nidn,"nio
transmittiam",iallaria assini,nia  is,Anionia,calumnia,a3,IanIleni,virginia,nia o er,,,,,,,,,,,,,,,,
7,Dores,Dores de christo,ores d irnai,Arvoredo,presen do lillo,Recordo-me,Yorkshire,Gordo,Chores,Flores,TraiDor,,,,,,,,,,,,,,,,,,
8,N0,N06s,B,,,,,,,,,,,,,,,,,,,,,,,,,,
9,America do Norte,RIo do you do,i loja do ourives,im do mundo,"estado do
z::t",Serra do Pior,chamma do fogo,estado do discipulo,pa  do irmio,rio douro,Sentido Dourado,8I,,,,,,,,,,,,,,,,,
10,Aquelle,Naquelle,n'aquelle,Trata-se n'aquelle,F,daquelle,Falle-e n'aquelle,aquelle,quelle,bairro de Cedofeita aquelle,psssnvmn naquele mnento.-Fallou de Ponto,t'aquelles,aquella noile,,,,,,,,,,,,,,,,
11,somma avultada,Faltava,Falt-nos,Salta,Exultava,,,,,,,,,,,,,,,,,,,,,,,,
12,Bxchange,chap,Fechar,men chapeo,Ha,Fechou,chavena,2E,chatpeo,,,,,,,,,,,,,,,,,,,,
