cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16
0,quaes,Ma,Qualicr,Quaes,ima das quaes,Ae,Ma-,,,,,,,,,,
1,DEve,oeeveygg,Me,,,,,,,,,,,,,,
2,Achilles,MA,"escudo de
Achilles",gg,Cachimbo,,,,,,,,,,,,
3,nia,"Gi,,g",Agonia,i.aniarioliio,iniai,"es
lioie n niago",Anlonia,nia  is,Anionia,calumnia,virginia,nia o er,,,,,
4,cilia,FIILIA TINHA,Cncilia,Pobre Cocilial,vigilia,Concilia,MA WILIA AINDA,Concili,Cacilda,Cscilial,Cocilia,,,,,,
5,Simphireol,imp,Yorkshire,,,,,,,,,,,,,,
6,Ins,"instn.-
tes",Rins,ins,,,,,,,,,,,,,
7,Elvira,Viram l0,Pira,Fugira,,,,,,,,,,,,,
8,Queres,Querido,Querem,Queren's Ten-,Quero,"Queren
E Mr. Branca",,,,,,,,,,,
9,illudia,Cosme illus-boas,illuminair,pullulra,acudia,,,,,,,,,,,,
10,Aggei,nencdmnigeiei,,,,,,,,,,,,,,,
11,perfeito modelo d'ess bella mobilia,Debilit,disnanibilidude,L,Alto Ili,acrolithio,,,,,,,,,,,
12,bibliotheca,Lio,solio,l,sei auxilio,cnraelio,,,,,,,,,,,
13,Ihula,Mlularam,Culas,ue,,,,,,,,,,,,,
14,Servida,Te,L6vida,Servi,Ser,,,,,,,,,,,,
15,Tenho,Venham,G.DE.2,Nenhum,Tenha,tEnho,,,,,,,,,,,
16,erguer1,Perguntara,Pa,ceu Rodrigues,hurgueza,,,,,,,,,,,,
17,accusou,lrl,accusaio,souleds,olss,,,,,,,,,,,,
18,Tudo,Comtudo,m-,udo,,,,,,,,,,,,,
19,Iormulou,Formular,louv,,,,,,,,,,,,,,
20,Usava,Pousava,Escusava,l-,,,,,,,,,,,,,
21,fAllo,Falle,ds,Fallei,Fallo,psssnvmn naquele mnento.-Fallou de Ponto,Allyon,,,,,,,,,,
22,N'era,N'ella,M.ELLA,n'ella,fallasle n'ella,encurreg-me d'ella,Appellava,raio n'ella,depositara n'ella,L',,,,,,,
23,Santa Catharina,Catharina,lE,"Santa Ca
adriana",Sinta Catharina,Santa Casa,santiago,iiehari,i,,,,,,,,
24,aquella,apreciar naquella,ir-so-ia qae aquellas,Aquella,Aquellas,Aquela,Aquell,"andar unido
aquella",facticio n'aquella,aquella noile,,,,,,,
25,L'cia,fluciaar,Cianos,Ncia,caricias,Ruy,Jo-,negocia6es,A8,,,,,,,,
