cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0.0,Bien,Combien,,,,,,,
1.0,Estimez,Est,,,,,,,
2.0,Voyez,Payez-les-moi,croyez,,,,,,
3.0,Tréchauderie,Tréchanderin,réchauff,,,,,,
4.0,Meunet-sur-,Meunet,,,,,,,
5.0,mademoiselle,Mesdemoiselles,,,,,,,
6.0,Solango,Solango ost là-bas,Solange,,,,,,
7.0,Regardez,rEgardez,Aidez,,,,,,
8.0,choirs,chosc,,,,,,,
9.0,ferme des Ormeaux,kermesse,tairie des Ormeaux,Ormeaux,,,,,
10.0,attondu,endureît,,,,,,,
11.0,los vendre,Flandre,Los io,,,,,,
12.0,Isauro,Isaure,,,,,,,
13.0,servieo,SERVICE,,,,,,,
14.0,dEmain,maine,Sylvain,Île capitaine,,,,,
15.0,tout.—C',Écoutez,licou,,,,,,
16.0,ENFANCR,KNFANCE,,,,,,,
17.0,Nannette,Nannotte,Nannetto,Mettez,Nannetie,Ettu,nankin,,
18.0,Louisc,buis,Oui,,,,,,
19.0,do Joanne,JRANNE,Joanne,,,,,,
20.0,Pppris,Apprenez,meprie,,,,,,
21.0,maman,Maman,,,,,,,
22.0,Sainte-Solange,sainte-Solange,Sainte-S-,,,,,,
23.0,"Pierres-
Folles",Pierres-,,,,,,,
24.0,Margue-,guerito,,,,,,,
25.0,vendange,ange,cEpendant,,,,,,
26.0,Saint-Jean,Saint-Pierre,"Saint-
Jean",sainte,,,,,
27.0,seraiont,scrai,sèvrerai,Jusserand,,,,,
28.0,MERE,Merci,blämer,,,,,,
29.0,Guillaumt,juil,Jui,,,,,,
30.0,"au-
tres",au-,"au-
trefois",,,,,,
31.0,Le Curé,Tes,Hautes-,Ri-haut,Hautes-Rose,Hautes-Rose s.,,,
32.0,la Périnnerie,Bordinerie,Périnnerie,,,,,,
33.0,crois-tu,Crois,Crois-tu,Sais-tu,Es-tu,,,,
34.0,Gathorino,éorire,Séatino,,,,,,
35.0,"93

Sennne",Jennne,porsonne,Jeunne,,,,,
36.0,veines,psine,,,,,,,
37.0,sou,Inourables d'Issoudun,gonoux,Issoudun,col des chemises d'homme,,,,
38.0,la France,de France,frant,,,,,,
39.0,Vois,Voie,Voilà,,,,,,
40.0,En Bretagne,Bretagne,,,,,,,
41.0,Voulez,ÉpauLe',,,,,,,
42.0,Berrÿ,Berry,,,,,,,
43.0,Par-,Paris,Écris,,,,,,
44.0,Vatan,vatre,Autre,veux-tu dtre.ma,,,,,
45.0,Sois,Soit-,,,,,,,
46.0,lesempêcher,huche,Blanche,Cher,cher,du Cher,Achetez,"département du
Cher",
47.0,église n’,la Grise,Grise,,,,,,
48.0,pée,cupées,,,,,,,
49.0,Cinquante,Entends-tu,Entends-,Attends,,,,,
50.0,nir,garniront,,,,,,,
51.0,votra,meitras,,,,,,,
52.0,"Porte s.

—",Porte s.,porte de la eure,porto,,,,,
53.0,Lompes,compugnie,,,,,,,
54.0,Laisse,valût,valais,,,,,,
55.0,Tiens,miens,Souviens,,,,,,
56.0,hôpital de Bourges,Iubourer,Bourges,,,,,,
57.0,Astu,Saistu,,,,,,,
58.0,Embrasse,bracelst,,,,,,,
59.0,QUe Veux,Quelques-,Afrique,,,,,,
60.0,aimais-tu,n'’ôtais,aimais,MaIs,maiS,,,,
61.0,Jugez,beurrée,euré,rougeur,,,,,
62.0,éveailla Jeanne de bon matn,grenier;-car Jeanne,champ de Jeanne,Jeantié,JEANNE VEUVE,Jeanue,Jeanno,"ai

Jeanne",
63.0,Coupez,occupez,,,,,,,
64.0,Tixier,Maitro Tixior,n'’aidait,,,,,,
65.0,mall Aves,Avez,Savez,Sauvez,avea,,,,
66.0,Monge,Allons,monsieur,,,,,,
67.0,chandes,"marchand d' -
toffes",chand,,,,,,
68.0,PARTIE,QUATRIÈNE PARTIR,"-

 6TROISIÈME PARTIE",,,,,,
69.0,lune,,,,,,,,
70.0,"PETITE JEANNE

LE DEVOIR",etil,petite Jeanue,petite Jeanne,Petite Jeanne,,,,
71.0,ellE,Mapauvrefille,eelle,élle,clle,,,,
72.0,la somme,Ormenux,gâtenux de ta femme,,,,,,
73.0,tempr,brune,,,,,,,
74.0,Grand-Bas,nuigre,"Grand-
Bail",Grand,Grand-Il,Grand Bail,Grand-Bail,Grand-Bal,Grand-
75.0,Etchacun,"char-

- gée du ménage",charrue,,,,,,
