cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50
-1,Jeanno,Le Curé,viluin,Etchacun,Astu,porsonne,endureît,S,Monge,Mapauvrefille,Jeanue,yerx,scrai,attondu,tôte,la somme,ge,mounière,Île capitaine,col des chemises d'homme,nankin,provins,Grand Bail,"marchand d' -
toffes",compugnie,monsieur,etil,Es-tu,ange,BAh,meprie,QUe Veux,Cinquante,éveailla Jeanne de bon matn,Sais-tu,- ai,Iui,gonoux,broc,église n’,vendange,Tes,Apprenez,Jeantié,Saistu,Jusserand,veux-tu dtre.ma,JEANNE VEUVE,tempr,cEpendant,Payez-les-moi
0,M,D,N2,@t,A,L’,s’,c.,SL,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,N-,Où,I,E,j’,+,S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,J1,ça?A,L,a6,Ïl,m-,e’,Îà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,En Bretagne,Bretagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ca,Ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,maman,Maman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SERVICE,servieo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,nir,garniront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Maitro Tixior,Tixier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
