cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
0,Solango,Solange,Monge,Où,la somme,ge,sainte-Solange,ange,Sainte-Solange,vendange,Solango ost là-bas,,,,,
1,Regardez,rEgardez,Aidez,forez,,,,,,,,,,,,
2,Entends-,Attends,Entends-tu,cEpendant,,,,,,,,,,,,
3,Coupez,occupez,Écoutez,licou,râpe,,,,,,,,,,,
4,choirs,chosc,mrs,,,,,,,,,,,,,
5,"au-
tres","au-
trefois",Autre,au-,,,,,,,,,,,,
6,sou,Soit-,Issoudun,tout.—C',mounière,pou,Ou-,So-,Oui,Inourables d'Issoudun,gonoux,ÉPQOUSE,,,,
7,brune,Ïl,Meunet,m-,lune,Meunet-sur-,,,,,,,,,,
8,L,e’,crois-tu,Crois-tu,Es-tu,Sais-tu,Crois,broc,,,,,,,,
9,Combien,Bien,Tiens,Souviens,miens,@t,Tixier,,,,,,,,,
10,MaIs,n'’aidait,dEmain,Laisse,scrai,sèvrerai,aimais,maine,aimais-tu,Maitro Tixior,- ai,N2,n'’ôtais,Saistu,maiS,valais
11,Pppris,Isaure,Écris,Is,Isauro,la Grise,jamüis,Louisc,buis,église n’,Grise,Paris,SL,,,
12,SERVICE,servieo,+,,,,,,,,,,,,,
13,viluin,Jugez,Jui,juil,nuigre,D,Iui,Guillaumt,,,,,,,,
14,Nannotte,Nannetie,Nannette,Ettu,Nannetto,Mettez,,,,,,,,,,
15,Porte s.,porte de la eure,"Porte s.

—",I,porto,,,,,,,,,,,
16,avea,Sauvez,Savez,Sa,Avez,mall Aves,,,,,,,,,,
17,endureît,Los io,los vendre,Flandre,,,,,,,,,,,,
18,J1,En Bretagne,Bretagne,Apprenez,,,,,,,,,,,,
19,Le Curé,Îà,cüré,euré,Prévôt,monsieur,beurrée,|,,,,,,,,
20,Ri-haut,Hautes-,Hautes-Rose s.,Tes,S-,Hautes-Rose,,,,,,,,,,
21,Estimez,Astu,Est,Lompes,A,,,,,,,,,,,
22,a6,Jo-,N-,JRANNE,Joanne,do Joanne,José-,,,,,,,,,
23,Ormenux,col des chemises d'homme,ferme des Ormeaux,gâtenux de ta femme,tairie des Ormeaux,Ormeaux,kermesse,,,,,,,,,
24,ca,Ca,,,,,,,,,,,,,,
25,guerito,la Périnnerie,Périnnerie,Bordinerie,meprie,Tréchauderie,,,,,,,,,,
26,blämer,Merci,mêmE,MERE,CI,,,,,,,,,,,
27,seraiont,Saint-Jean,Sainte-S-,tôte,"Saint-
Jean",sainte,Cinquante,tempr,,,,,,,,
28,réchauff,Etchacun,chandes,attondu,"marchand d' -
toffes",charrue,chand,Tréchanderin,"char-

- gée du ménage",,,,,,,
29,éorire,compugnie,nir,garniront,,,,,,,,,,,,
30,Voie,Vois,Voilà,Sois,,,,,,,,,,,,
31,Margue-,E,maman,Maman,,,,,,,,,,,,
32,Jeanno,champ de Jeanne,Jeanue,"PETITE JEANNE

LE DEVOIR",etil,petite Jeanue,éveailla Jeanne de bon matn,Petite Jeanne,petite Jeanne,"ai

Jeanne",Jeantié,JEANNE VEUVE,,,,
33,QUe Veux,Quelques-,qu’,Afrique,,,,,,,,,,,,
34,Vatan,valût,vatre,veux-tu dtre.ma,,,,,,,,,,,,
35,M,L’,,,,,,,,,,,,,,
36,Berrÿ,Saint-Pierre,"Pierres-
Folles",Berry,Pierres-,,,,,,,,,,,
37,Voulez,croyez,S2,Voyez,s’,Payez-les-moi,,,,,,,,,,
38,Gathorino,psine,J loin,Séatino,Sylvain,Île capitaine,nankin,provins,In,veines,,,,,,
39,Mesdemoiselles,Mapauvrefille,clle,élle,bâle,ÉpauLe',eelle,Allons,ellE,mademoiselle,,,,,,
40,porsonne,"93

Sennne",Je,grenier;-car Jeanne,Jeunne,Jennne,,,,,,,,,,
41,ça?A,Grand-Bas,Grand-Il,S,Grand-,Grand Bail,Grand,BAh,"Grand-
Bail",Jusserand,Grand-Bail,Grand-Bal,,,,
42,Par-,Pas,"-

 6TROISIÈME PARTIE",QUATRIÈNE PARTIR,PARTIE,,,,,,,,,,,
43,hôpital de Bourges,rougeur,Iubourer,Bourges,,,,,,,,,,,,
44,KNFANCE,ENFANCR,de France,frant,la France,bracelst,,,,,,,,,,
45,c.,,,,,,,,,,,,,,,
46,votra,Dit,Embrasse,meitras,,,,,,,,,,,,
47,cher,yerx,huche,"département du
Cher",ler,Blanche,du Cher,j’,Chétif-,Achetez,lesempêcher,Cher,,,,
48,cupées,pée,,,,,,,,,,,,,,
