cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26
0,Laisse,Laisse-,laissantvide,Palais-Royal,Laisseles,Encaissee,,,,,,,,,,,,,,,,,,,,,
1,premiere,ceremonie,remieres ereatures,"or-
nierela",ereux,Reminil,Lepremier,,,,,,,,,,,,,,,,,,,,
2,aMais,implora;mais,E1,Maie,Hc,S,iamais,I maiaon,"ta
maisoen",Maisy,,,,,,,,,,,,,,,,,
3,len',Cen',"propriet
lene",Ellen',Sainte-Helene,,,,,,,,,,,,,,,,,,,,,,
4,Voil,Voilh,Vois-tu,Evoie,voitre,0hl,Bravo,,,,,,,,,,,,,,,,,,,,
5,Napoleonl,onle,Leopold-,Saint-Leonard,nl,I,,,,,,,,,,,,,,,,,,,,,
6,mequlon,qulon,,,,,,,,,,,,,,,,,,,,,,,,,
7,manche,jetee blanche,nr',la manche,France,,,,,,,,,,,,,,,,,,,,,,
8,Dlait,Adlatde,voyaiti,consolait:-,vaitueet,llait dovant,faitl,"complai-
nce",,,,,,,,,,,,,,,,,,,
9,"Iy
I

M",Iy,,,,,,,,,,,,,,,,,,,,,,,,,
10,Lllesentit,entie-.-,"n
Lllesentit",Iressentit,,,,,,,,,,,,,,,,,,,,,,,
11,pays de Caux,Lpays,"au-
I
L
214
UNE vIE
tour de cette chair inanimee",golfe de Sagone,Pas de lune,,,,,,,,,,,,,,,,,,,,,,
12,auraitbesoin,Aucunbesoin,01C1,Ilaurait,,,,,,,,,,,,,,,,,,,,,,,
13,Vousne,Etusnd,Voius vous resignez,,,,,,,,,,,,,,,,,,,,,,,,
14,PuIs,Puis,gs,Puiselle,mhquis,Puison,buis,,,,,,,,,,,,,,,,,,,,
15,aeil,seio,EI,obeir,nmeil.s',Meis,eeil,,,,,,,,,,,,,,,,,,,,
16,Italie,d'Italie,,,,,,,,,,,,,,,,,,,,,,,,,
17,Parfois,Paris,Fartois,.88,Pois,Quelquefois,enlaceesparfois,parois,,,,,,,,,,,,,,,,,,,
18,bosquet,sa`easquette,Lrsque,bosgquet,,,,,,,,,,,,,,,,,,,,,,,
19,uand,candelabres,guand,Quanl,estauand,,,,,,,,,,,,,,,,,,,,,,
20,accoutumee,savanceer,aspeet,Ee,I94,cmpeene,Drnee,.::EE,secouee,Iiee,convulsee,Beelzebuth,EE,abimee,saleequi,enveloppee,,,,,,,,,,,
21,Darriere,barriereblanehe auxpiliersde hrique,lesoitriers,Darriere blanche,arras,barriere,,,,,,,,,,,,,,,,,,,,,
22,leuse,meuse,honteuse,Yauseotte,us,,,,,,,,,,,,,,,,,,,,,,
23,Mamanln,maman,Ma-,Flamands,Wt,Divine Mansue-,Damas,etluidemana,amazone,,,,,,,,,,,,,,,,,,
24,ettout,tourh,Touraine,toutou,fToute,tomb6,outle,Etouvent,toul,gttout,Laroute,jou,,,,,,,,,,,,,,,
25,L'Ocean,lOcean,l'Ocean,,,,,,,,,,,,,,,,,,,,,,,,
26,Lbarone,haron,haronne,"ba-
ron",Ibaronne,labaronne,eonn,Lehron,,,,,,,,,,,,,,,,,,,
27,Ilne,Iln',Ledlner,Ln,rai-LNE VE,,,,,,,,,,,,,,,,,,,,,,
28,Tolbiac,abbe Tolbiac,Tolbias,,,,,,,,,,,,,,,,,,,,,,,,
29,oach6,ch6e,,,,,,,,,,,,,,,,,,,,,,,,,
30,Quittez-le,apportez-les-moi,mariez-les,nmari,Pourriez-,Mariez-les,,,,,,,,,,,,,,,,,,,,,
31,.l,"I

L.0",.L.,,,,,,,,,,,,,,,,,,,,,,,,
32,"II
I
N","II
I","I
I
rsII","ii
ii",,,,,,,,,,,,,,,,,,,,,,,
33,ns,Tiens,IQans,ns',mons,Lapons,sapins,onsulte,,,,,,,,,,,,,,,,,,,
34,-  As,- Ah,,,,,,,,,,,,,,,,,,,,,,,,,
35,entemps,nOuirent,Ientlans,Uiente,Dentu,Bientot,Iesnter,Roeuent,Oriental,luienayantlinterdit,,,,,,,,,,,,,,,,,
36,Lh-bas,la-bas,".,-",aa-bas,lh-bas,,,,,,,,,,,,,,,,,,,,,,
37,voyagela,O,Agee,exageree,gagea,,,,,,,,,,,,,,,,,,,,,,
38,Pyrame,Madlame,Madame.on,Nadame,e.,,,,,,,,,,,,,,,,,,,,,,
