text,cluster
gne,0
resignee,0
sogne,0
champagne,0
Cologne,0
Fhne,0
G55,0
rGn,0
accompagnees,0
Cigogne,0
Grece,1
pibece,1
recut,1
gre,1
grace,1
souenir,2
Llouvenit,2
Sou-,2
venirs,2
Rouen,2
nir,2
uand,3
estauand,3
N,3
Quanl,3
guand,3
Mediterranee,4
"Me-
literrannee",4
"t

.E.
2

t",5
.-.E,5
e.,5
Dn,5
5Z,5
L'Ocean,6
France,6
lOcean,6
l'Ocean,6
revolteo,7
revolta,7
Taisez,8
etais,8
e,8
Etretat,8
Mtais,8
taillis,8
"ta
maisoen",8
detail,8
Omme,9
Ashomnme,9
Comment es-tu,9
Lomme,9
Commecette,9
Lhomme,9
gemeht,9
commeune,9
lanmme,9
Dnimmense,9
Coment,9
Iis,10
oiIS,10
MIis,10
Is,10
Iisoslie,10
Pis,10
Lttot,11
A,11
aott,11
Lt,11
Tot,11
.88,12
Permette,12
tE,12
tete,12
cettelarve,12
teut,12
Ila  Petite,12
jetee,12
tenfs,12
".,-",12
bete crispee,12
tete egaree,12
hotel,12
C0te  cbte,12
teten,12
cbte,12
Inquiete,12
C0te,12
gaiete,12
fetes,12
utte,12
tetes,12
betes,12
Cettepauvre,12
Ia tete,12
Etes,12
tete  labri,12
Comptez,12
bete,12
bosquet,13
oset,13
bosgquet,13
Lrsque,13
I.I,13
sa`easquette,13
Quelquefois,13
Ls,14
Malgre,14
Mals,14
alluma,14
Lereste,15
Angleterre,15
histeire,15
alaternes,15
atterres,15
hesiter,15
bruyeres,15
Ladultere,15
ns  terre,15
Leestendres,15
ceuir a des mysteres,15
Uiente,16
entie-.-,16
Iesnter,16
nOuirent,16
Sainte-Helene,16
entemps,16
Bientot,16
Dentu,16
luienayantlinterdit,16
L176,16
"W
E",17
-  As,17
-  Pas,17
- Ah,17
Lrsquon,18
qulon,18
onsulte,18
mequlon,18
Londres,18
desole,19
Les,19
isolees,19
Ryales,19
ayssnsimpaesiblesIa,19
attelees,19
lesoitriers,19
Maleleines,19
Naples,19
ILes,19
fecondee,20
Ee,20
mas ruinee,20
Drnee,20
aspeet,20
EE,20
glacee,20
eeil,20
Beelzebuth,20
accoutumee,20
abimee,20
reel,20
.::EE,20
aims,21
aid6,21
ai eu froid,21
d6-,21
Midi,21
Iii:.i,22
Iit,22
II,22
"ai

ii",22
"ii
ii",22
E5s,22
rII,22
IIL,22
G,22
ricaner:-  Parbleu,23
barriere,23
Darriere,23
barriereblanehe auxpiliersde hrique,23
arras,23
cherie,23
Wt,23
Bnfn,23
Darriere blanche,23
severement enfermee,24
seveiller,24
severe,24
Sevres,24
tvers,24
serrure,24
seve,24
Lhiver,24
rev6s,24
servee,24
"uneaie tete de
poule  huppe blanche",25
jetee blanche,25
Pas de lune,25
golfe de Sagone,25
dormante de cetle,25
"au-
I
L
214
UNE vIE
tour de cette chair inanimee",25
Lieille,26
eperle  Narseille,26
Yersailles,26
ille,26
Ileut,26
Fourville,26
laveille,26
defaillir,26
Ioille,26
Ile,26
ouville,26
Marseille,26
Vrillette,26
VWrillette,26
amille,26
Varneville,26
Barville,26
loreille,26
Batteville,26
mobile,26
fmille,26
cueillie,26
Puis,27
Puiselle,27
buis,27
Puison,27
Puais,27
mhquis,27
PuIs,27
Ildemeura,28
Soiceur,28
dureie,28
Iature,28
Deur,28
ereux,28
eure,28
Sacre-Coeurelle,28
ceurs,28
I94,28
uneeure,28
demeuree,28
jeur,28
heuressans,28
yiheuar,28
ooeur,28
Varfleur,28
fSacre-Ceur,28
courbaturee,28
Paree,29
maree,29
ar-,29
Mreare,29
cambree,29
Mars,29
laant remarue,29
rusl cbaree,29
calme-toi,30
le-I,30
E-,30
Me-,30
vert-de-gris,30
be-,30
Rriseville,31
Briseville,31
Brise-,31
Viloise,31
Chambre-aux-Demoiselles,31
"Batteville.29
UNE VIE
Puis",31
Brisseville,31
Ellerentrait,32
ent est-elle tombo,32
Lllesentit,32
Ellecontinuait:-,32
"n
Lllesentit",32
Iressentit,32
Llenfant,32
Jeahne,33
-  Jeanne,33
tJeanne,33
Teanne,33
Ieanne,33
Or Jeanne,33
Jeannel,33
gane,33
E.isembla a Jeanne,33
EtJIeanne,33
t le soleil,34
tle ui,34
EIle,34
Le soleil,34
Leopold-,34
soleil surle galet,34
le soleil,34
Cana,35
pays de Caux,35
Fecamp,35
Cany,35
ca,35
Ca,35
F6camp,35
sCa,35
renonc6,36
frolement,36
Rentrons,36
bete eventree,36
Roeuent,36
Entrezl,36
Inntre,36
cntra,36
sentr',36
Notre-Dame du Gros-Ventre,36
concentree,36
Is traversbrent,36
Gilberte,37
Gilherte,37
Roche-Aubert,37
comtesse Gilberte,37
g85,37
alleroir,38
allee,38
alle,38
Rlle,38
lle,38
Allemagne,38
Folle,38
Bassolle,38
Llle,38
Blle,38
lle apercut,38
collee,38
Rollebose,38
sapins,39
ns,39
mons,39
ns',39
IQans,39
Lapons,39
Asraions,40
Niolo,40
Io,40
"io
 Eg",40
Ajaccio,40
Religion,40
Iowr,40
mariez-les,41
Mariez-les,41
Quittez-le,41
apportez-les-moi,41
nmari,41
Pourriez-,41
G',42
CG',42
I140,42
rai-LNE VE,43
Ledlner,43
Ilne,43
Iln',43
Ln,43
eroire,44
01C1,44
loinUNIE,44
Oh2,44
Loir,44
Aloin,44
Oiqu',44
choire,44
"loi,-la",44
BOir,44
soiree,44
bir,44
Qrti,45
artit,45
Iabattit,45
rto  IT1,45
I,45
marmiton,45
Couillon,46
uelqe troit vallon oh,46
Allons,46
Allonsl,46
allongeaitjusqu,46
"moi.n

marguisese",47
miserieorde,47
Leglise,47
se6-,47
Lison,47
repise ar n psesant,47
alIS,47
nousaviserons,47
SesCiSea,47
Lise,47
lEglise,47
fSurprise,47
pise,47
amollis,47
auxeglises,47
tiede,48
B,48
Iiee,48
Bien,48
yIE,48
"Ies genoux:  Voici, ma chere amie",48
iE,48
Mie,48
gie,48
liemasi-e,48
Pieot,48
Maie,48
Ies,48
YIE,48
nnie,48
Tiens,48
piece,48
Ieras,48
une306,49
Ljeune,49
NE YIE,49
ieune,49
aueun,49
lune,49
abbe,50
Thysbe,50
labbe,50
abestan,50
sbbe?s,50
psrt,51
Yport,51
nr',51
Ykport,51
h Yport,51
RRoi-Louis,52
Roi-Louis,52
E,52
baptisa  Massacre,53
Aassacre,53
Aa,53
Chinois,54
0hl,54
Inchit,54
-  Hein,54
In,54
ostinee,54
Romaines,54
Aucunbesoin,54
"rue
inclinee",54
Chine,54
la Seine,54
Soudain,54
tina,54
Seine,54
hargee,55
Cargese,55
"dejia
hargee",55
echangee,55
ongeur,56
boulangere,56
Songe,56
ssison,56
Ptrange,56
conge,56
Songez,56
Ilbalbutia,57
Bastia,57
balbutiont,57
"complai-
nce",58
Laisse-,58
Encaissee,58
grosse gaiete,58
Laisse,58
Laisseles,58
laissantvide,58
torturee daneoisse,58
extreme,59
"or-
nierela",59
greniern,59
Kg,59
Lepremier,59
premiere,59
remieres ereatures,59
Reminil,59
l'Empire,59
ceremonie,59
Bourse,60
secouee,60
Coursil,60
I petite Corse,60
La Corse,60
Corse,60
convulsee,60
rs,60
la Corse,60
Aors,60
Corsel,60
Corse d'Evisa,60
l-bas en Corse,60
Qestla Corse,60
la-Vierge,61
vieomte,61
vVIE,61
VIE,61
Yontivilliers,61
detNE viE.,61
lavie,61
Ilreviendra,61
yetx,62
Fuyez,62
YE,62
Croyez-,62
"y.

YE",62
Voyez,62
yecu,62
Leperthuis,63
eperdus,63
Reponds,63
Lepere,63
-  Querepondras-tu,63
Elerecut,63
ler,63
colere,63
peut-etre7,64
attiree peut-etre,64
Qr eombattre,64
Attiree,64
"nereeonnis
i petite mre",64
Normandie,65
rm,65
Normand,65
ormir,65
Normande,65
"R.:I


E
i.
t.A
I",66
"Iy
I

M",66
Iy,66
Nadame,67
Madame.on,67
Madlame,67
Pyrame,67
gagea,68
voyagela,68
exageree,68
Agee,68
soulevee,69
enveloppee,69
avee,69
Avee,69
Savez,69
rn1y,70
Versneuf,70
Verneuil,70
Veu-tu,70
S,71
gs,71
v1E,71
declara-UNE V1E,71
chteau,72
noueau,72
le chteau,72
au chteau,72
Vauds,72
nouveau-nes piaulants,72
teauqui,72
au-,72
beaudoup,72
hameau de,72
rue du Sauvage,73
bois du siege,73
bois bruni,73
siege,73
hoisie,73
jura,74
mourpra,74
CCPur,74
murmura,74
Jeannemurmura,74
murmura:-,74
liAes,75
"LI

N",75
LlIe,75
blie,75
oubli6,75
TLI,75
qtlil,75
LI,75
erli,75
LIL,75
aC',76
vecu,76
eC',76
aec,76
d'Italie,77
O,77
Rosalie,77
calinerie,77
Italie,77
Rosaliel,77
Oriental,77
as304,78
surla,78
Jas,78
nola,78
Las,78
la-bas,78
Lastique,78
Elas,78
Adlatde,79
deide,79
candelabres,79
I e deida,79
bade,79
Adelaide,79
iraide,79
pides,79
aideo,79
deelara,79
considera,79
Autrot,80
sasrrot,80
Crott,80
Ro-,80
trot,80
mota,80
Corniche,81
Hc,81
caleche,81
ch6e,81
lche,81
empecher,81
meche,81
calm6,82
Ial,82
val,82
Alez,82
Palais-Royal,82
apparaltre,82
AL,82
Asaln,82
Val,82
R,83
"AI
-",83
"I
Cux",83
"E
E'
I
l",83
"I
N
A",83
"II
I",83
"II
I
N",83
"I
I
rsII",83
"I
L",83
"I
a3
2
L
Wit",83
javelle.n,84
nelle,84
len',84
aelle,84
eantelle,84
oelle,84
mis.elle,84
Ellen',84
0uelle,84
moiselle,84
Elley,84
cslehge,84
douteelle,84
Lelle,84
Voulez,84
baptisee  6chelle,84
naelle,84
HLELY,84
celle-l.,84
pourelle,84
Ellebuvait,84
el,84
Ble,84
Divine Mansue-,85
Flamands,85
amazone,85
Ma-,85
manche,85
etluidemana,85
Damas,85
maman,85
aMais,85
Mamanln,85
fToute,86
Touraine,86
jou,86
commetoujours,86
coup.-,86
tourh,86
gttout,86
Coutelier,86
toujours:-  Ilfaut,86
I208,86
couruta,86
tomb6,86
Etouvent,86
toutou,86
Laroute,86
ettout,86
toul,86
outle,86
Maisy,87
iamais,87
LMIais,87
implora;mais,87
Ia,87
I maiaon,87
Nais,87
MIais,87
"E

Ia
lan ah
rlia",87
Iais,87
Iaissait,87
-  Nais,87
fSais,87
prep araitsa  botte,88
Ilaurait,88
voyaiti,88
Bentait,88
jauirai,88
Ilbattait,88
saisit126,88
Dlait,88
faitl,88
Itraitait,88
hesita,88
vaitueet,88
gtait,88
Ltait,88
Ieehait,88
venaitde Paul,88
Cgtait,88
auraitbesoin,88
consolait:-,88
yit,88
cmpeene,89
sonnern,89
penetra,89
nne,89
Rienne,89
nenetre,89
enne,89
Inne,89
Athenes,89
venements,89
geant,90
dinant,90
penelrant,90
enfants?n,90
Ientlans,90
Ganaehe,90
llait dovant,90
L nant,90
Ant,90
H,90
eonn,91
Mignonne,91
mignonne,91
Donoe,91
superbel,92
Eretry,92
hereher,92
Eretat,92
etreindre,92
eternuer.-,92
perret,92
beret,92
hate,93
Ceateur,93
At,93
chateau,93
Batte-,93
ehatealu jusu',93
Attenl,93
teat,93
ehateau,93
"eA
I",93
eaon,93
lh-bas,94
Lh-bas,94
aa-bas,94
abbe Tolbiac,95
Tolbiac,95
"Ia 
neto",95
Bolbec,95
Tolbias,95
Auun,96
un320,96
IUG,96
IUn,96
Lbarone,97
haronne,97
haron,97
labaronne,97
"ba-
ron",97
Ibaronne,97
barue,97
.G,98
"5:,:.G",98
du Havre,99
unle Havre,99
au Havre,99
rue du Havre,99
Leharen,99
le Havre,99
Cen',100
"propriet
lene",100
Providence,100
Provence,100
becota,101
Picot,101
picd,101
Chicorees,102
goree,102
Lor,102
etole doree,102
eclore,102
dore,102
coloree,102
torturee,102
Evoie,103
Voil,103
Bravo,103
Voilh,103
voitre,103
Vois-tu,103
lh-haut,104
Alautre,104
Lautren',104
v0tre,104
el haut,104
Ilfaut,104
Latre,104
Lautre,104
oeiltaut,105
Meis,105
obeir,105
aeil,105
seio,105
EI,105
nmeil.s',105
hein,105
paeo,106
Lpays,106
failt,106
ea-tilfairef,106
Iktailx,106
H1,106
Paiul,106
Pail,106
Crisange,107
fremissante,107
Ioisant,107
savanceer,107
Piana,107
Sa336,107
.sa,107
san,107
"I

L.0",108
.l,108
.L.,108
oceupees,109
Peul,109
Peuple,109
Peples,109
Peuplesl,109
-  Voyons,110
Yos,110
Voyons,110
haron monterent avee,111
honteuse,111
"mon-

mniten",111
felure du mont,111
mont Riboudet,111
montee,111
val d'Ota,112
suva,112
t0t,112
d'0Ota,112
val d'0ta,112
mer par-dessus,113
mer sem6e,113
mer l-,113
Amerique,113
Y,113
Ju-,114
h Julien,114
Julien,114
Ganache,115
Lac,115
Sachez,115
laceouchee,115
la manche,115
oach6,115
E1,115
chezla,115
fratcheur glacee,115
laches,115
Paris,116
Is proehe,116
Trois-Mares,116
Fartois,116
Pois,116
parois,116
Parfois,116
enlaceesparfois,116
Gloderville,117
Goder-,117
Goderville,117
roninlanoligue,118
nl,118
Lehron,118
Napoleonl,118
Donc,118
onle,118
Paulet,119
etil,119
.Et,119
Poulet,119
Ilet,119
bete ailee,119
etle,119
lEt,119
meuse,120
Yauseotte,120
plus?n,120
Vousne,120
Voius vous resignez,120
Etusnd,120
leuse,120
plusqu',120
Hauts jusqul,120
us,120
-  Pardi,121
Ihdifff,121
Saint-Leonard,121
Iardin,121
rdin,121
gare de Beuzeville,122
"fosse des
oillard",122
mre Couillard,122
phare de Fecamp,122
ofice afn d liniter,122
terre de Barville,122
s6,123
P,123
Cri-,123
tris6,123
pre l,124
l6preuve,124
Comprendre,124
abregea,124
orpre,124
imprevue,124
Aprks,124
Apres,124
breviaire,124
Pre,124
apres,124
gardee,125
san regard,125
egarde,125
e21,126
Pourqui,127
tqui,127
UI,127
rosinquil,127
saleequi,127
Cequilui,127
ajones,128
Jaeques,128
esgenoux,128
Lltutes,128
serdes,128
Desire,128
tendressesqu',128
Aeondes,128
Litues,128
domestiqes,128
Mornes,128
Barbes,128
esespeir,128
Cest,128
ixes,128
bou6es,128
noes,128
Ap0tres,128
Tes,128
Vues,128
Es,128
igugui,129
uo,129
guoi,129
