cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21
0,premiere,remieres ereatures,Mie,gie,Reminil,Lepremier,,,,,,,,,,,,,,,,
1,Puais,fSais,saisit126,ca,-  Nais,.sa,guoi,Midi,Nais,,,,,,,,,,,,,
2,lavie,vieomte,igugui,vVIE,la-Vierge,detNE viE.,VIE,,,,,,,,,,,,,,,
3,Laisse,Laisse-,laissantvide,Palais-Royal,Laisseles,Encaissee,Qrti,,,,,,,,,,,,,,,
4,accoutumee,rn1y,abimee,Ajaccio,,,,,,,,,,,,,,,,,,
5,len',Cen',"propriet
lene",Etusnd,Sainte-Helene,,,,,,,,,,,,,,,,,
6,Napoleonl,Leopold-,.88,Saint-Leonard,eonn,,,,,,,,,,,,,,,,,
7,MIais,LMIais,nr',IUn,Iaissait,Iais,,,,,,,,,,,,,,,,
8,manche,jetee blanche,"uneaie tete de
poule  huppe blanche",la manche,Inchit,UI,Sa336,,,,,,,,,,,,,,,
9,Dlait,Adlatde,consolait:-,llait dovant,,,,,,,,,,,,,,,,,,
10,Voil,Voilh,.l,psrt,Evoie,In,,,,,,,,,,,,,,,,
11,paeo,Leestendres,aec,tendressesqu',tenfs,Londres,E,isolees,,,,,,,,,,,,,,
12,jura,auraitbesoin,Aucunbesoin,Touraine,Ilaurait,,,,,,,,,,,,,,,,,
13,"II
I
N","II
I",HLELY,"I
I
rsII","ii
ii",,,,,,,,,,,,,,,,,
14,rev6s,Ilreviendra,breviaire,revolteo,revolta,,,,,,,,,,,,,,,,,
15,bosquet,sa`easquette,Lrsque,bosgquet,"t

.E.
2

t",,,,,,,,,,,,,,,,,
16,sogne,Cigogne,gne,"I
a3
2
L
Wit",Cologne,,,,,,,,,,,,,,,,,
17,uand,guand,Quanl,estauand,,,,,,,,,,,,,,,,,,
18,I.I,Mamanln,maman,Flamands,Wt,Damas,Y,H1,amazone,,,,,,,,,,,,,
19,esespeir,obeir,sapins,histeire,,,,,,,,,,,,,,,,,,
20,Dn,Mtais,etais,t0t,Taisez,,,,,,,,,,,,,,,,,
21,aC',Darriere,"or-
nierela",barriereblanehe auxpiliersde hrique,lesoitriers,Darriere blanche,barriere,,,,,,,,,,,,,,,
22,leuse,L176,meuse,honteuse,,,,,,,,,,,,,,,,,,
23,yetx,Pyrame,Madlame,Madame.on,Amerique,"W
E",hameau de,Nadame,A,,,,,,,,,,,,,
24,greniern,Malgre,Grece,gre,Mals,,,,,,,,,,,,,,,,,
25,murmura:-,Jeannemurmura,murmura,,,,,,,,,,,,,,,,,,,
26,ettout,tourh,toutou,fToute,"AI
-",toul,gttout,,,,,,,,,,,,,,,
27,oiIS,Iisoslie,G,MIis,C0te,Iis,,,,,,,,,,,,,,,,
28,fecondee,convulsee,Aeondes,,,,,,,,,,,,,,,,,,,
29,Ilne,Ledlner,rai-LNE VE,"eA
I",,,,,,,,,,,,,,,,,,
30,Ro-,.L.,onle,LIL,,,,,,,,,,,,,,,,,,
31,oelle,ent est-elle tombo,nelle,mis.elle,aelle,naelle,javelle.n,Ellecontinuait:-,celle-l.,pourelle,eantelle,Puiselle,Ellen',baptisee  6chelle,Elley,Lelle,Ellerentrait,Chambre-aux-Demoiselles,douteelle,Ellebuvait,0uelle,moiselle
32,chezla,"Ies genoux:  Voici, ma chere amie",Corniche,lche,,,,,,,,,,,,,,,,,,
33,Bien,Tiens,Ma-,E1,tiede,,,,,,,,,,,,,,,,,
34,bete ailee,bete crispee,bete,C0te  cbte,,,,,,,,,,,,,,,,,,
35,jauirai,01C1,Asraions,Religion,mons,Lapons,,,,,,,,,,,,,,,,
36,ai eu froid,"R.:I


E
i.
t.A
I",,,,,,,,,,,,,,,,,,,,
37,Providence,.G,e.,Provence,eC',Is proehe,,,,,,,,,,,,,,,,
38,ieune,Ls,R,0hl,aueun,Ljeune,,,,,,,,,,,,,,,,
39,lle,"ai

ii",lle apercut,Blle,Fhne,bade,Rlle,Llenfant,Llle,,,,,,,,,,,,,
40,Peuple,Peuplesl,Naples,Peples,Peul,,,,,,,,,,,,,,,,,
41,mer par-dessus,mer sem6e,Iit,mer l-,,,,,,,,,,,,,,,,,,
42,Brise-,fSurprise,Paiul,surla,,,,,,,,,,,,,,,,,,
43,"I
L","E
E'
I
l",Yos,,,,,,,,,,,,,,,,,,,
44,Bastia,Lh-bas,la-bas,yit,aa-bas,lh-bas,,,,,,,,,,,,,,,,
45,NE YIE,yIE,YIE,,,,,,,,,,,,,,,,,,,
46,aims,Lor,coloree,- Ah,eclore,etole doree,dore,goree,Niolo,Chicorees,,,,,,,,,,,,
47,Vrillette,oset,ille,Lieille,seveiller,loreille,amille,ouville,Yersailles,VWrillette,fmille,laveille,eperle  Narseille,Marseille,Ioille,,,,,,,
48,Angleterre,atterres,ns  terre,"y.

YE",perret,,,,,,,,,,,,,,,,,
49,deide,considera,pides,etluidemana,,,,,,,,,,,,,,,,,,
50,L nant,penelrant,Ant,fremissante,enfants?n,geant,dinant,Ioisant,,,,,,,,,,,,,,
51,laant remarue,nmari,marmiton,Mars,un320,"moi.n

marguisese",ar-,,,,,,,,,,,,,,,
52,Ieehait,voyaiti,Aa,vaitueet,G',venaitde Paul,prep araitsa  botte,faitl,,,,,,,,,,,,,,
53,Parfois,Vois-tu,Fartois,bois bruni,hoisie,Viloise,Pois,Quelquefois,Chinois,parois,Trois-Mares,,,,,,,,,,,
54,Fourville,Gloderville,Barville,terre de Barville,Goder-,Goderville,,,,,,,,,,,,,,,,
55,au Havre,du Havre,unle Havre,le Havre,rue du Havre,,,,,,,,,,,,,,,,,
56,IQans,Divine Mansue-,,,,,,,,,,,,,,,,,,,,
57,Dnimmense,commeune,Omme,Lhomme,Lomme,commetoujours,Comment es-tu,CCPur,,,,,,,,,,,,,,
58,"mon-

mniten",mont Riboudet,montee,bou6es,YE,,,,,,,,,,,,,,,,,
59,Allons,Couillon,uelqe troit vallon oh,Allonsl,allongeaitjusqu,,,,,,,,,,,,,,,,,
60,entemps,nOuirent,Etouvent,entie-.-,Dentu,Roeuent,,,,,,,,,,,,,,,,
61,el haut,lh-haut,Hauts jusqul,,,,,,,,,,,,,,,,,,,
62,Yport,h Yport,Ykport,,,,,,,,,,,,,,,,,,,
63,nnie,loinUNIE,sCa,Aloin,"loi,-la",oubli6,,,,,,,,,,,,,,,,
64,Ilet,Ileut,Ile,mobile,ILes,,,,,,,,,,,,,,,,,
65,auxeglises,lEglise,Lise,Leglise,Ca,5Z,,,,,,,,,,,,,,,,
66,eaon,s6,Songe,conge,ongeur,Songez,,,,,,,,,,,,,,,,
67,SesCiSea,pise,Pis,repise ar n psesant,us,nousaviserons,,,,,,,,,,,,,,,,
68,Cri-,boulangere,san,Crisange,echangee,Ptrange,as304,,,,,,,,,,,,,,,
69,Varneville,Brisseville,Briseville,Rriseville,CG',,,,,,,,,,,,,,,,,
70,cbte,Les,Ryales,G55,Alez,,,,,,,,,,,,,,,,,
71,au-,nouveau-nes piaulants,noueau,Llouvenit,,,,,,,,,,,,,,,,,,
72,Sevres,Apres,Iy,Aprks,apres,,,,,,,,,,,,,,,,,
73,Lllesentit,"n
Lllesentit",IIL,Hc,Iressentit,nl,,,,,,,,,,,,,,,,
74,tqui,rosinquil,Pourqui,mhquis,Cequilui,saleequi,,,,,,,,,,,,,,,,
75,Val,val,Es,val d'Ota,val d'0ta,,,,,,,,,,,,,,,,,
76,I94,ostinee,mas ruinee,"rue
inclinee",liAes,"5:,:.G",tina,,,,,,,,,,,,,,,
77,Lbarone,haron,haronne,Ibaronne,labaronne,,,,,,,,,,,,,,,,,
78,tete egaree,tete,tete  labri,Ia tete,teten,,,,,,,,,,,,,,,,,
79,e21,tomb6,At,d'0Ota,becota,mota,,,,,,,,,,,,,,,,
80,hesita,rII,ayssnsimpaesiblesIa,Ble,Desire,Lpays,,,,,,,,,,,,,,,,
81,Qestla Corse,la Corse,Aors,gs,Corse,Corse d'Evisa,AL,Corsel,l-bas en Corse,La Corse,,,,,,,,,,,,
82,blie,LlIe,h Julien,picd,liemasi-e,Julien,Iowr,,,,,,,,,,,,,,,
83,Ientlans,Uiente,Bientot,Oriental,Thysbe,Tot,Lttot,,,,,,,,,,,,,,,
84,Ies,Iesnter,luienayantlinterdit,,,,,,,,,,,,,,,,,,,
85,ricaner:-  Parbleu,-  Pas,-  Pardi,EE,,,,,,,,,,,,,,,,,,
86,Ilbattait,Itraitait,Ltait,Cgtait,gtait,Bentait,,,,,,,,,,,,,,,,
87,Ildemeura,ooeur,"I

L.0",Varfleur,jeur,Soiceur,I,noes,Deur,ceurs,Ceateur,,,,,,,,,,,
88,pibece,Bolbec,piece,,,,,,,,,,,,,,,,,,,
89,imprevue,orpre,Pre,l6preuve,pre l,,,,,,,,,,,,,,,,,
90,O,maree,rusl cbaree,Paree,bir,barue,Mreare,Barbes,,,,,,,,,,,,,,
91,empecher,meche,caleche,,,,,,,,,,,,,,,,,,,
92,Ieanne,Jeahne,E.isembla a Jeanne,EtJIeanne,tJeanne,-  Jeanne,Jeannel,Teanne,Or Jeanne,,,,,,,,,,,,,
93,Cest,abestan,be-,domestiqes,,,,,,,,,,,,,,,,,,
94,eperdus,Lepere,superbel,g85,Leperthuis,,,,,,,,,,,,,,,,,
95,mequlon,".,-",qulon,,,,,,,,,,,,,,,,,,,
96,Lrsquon,plusqu',erli,Oiqu',,,,,,,,,,,,,,,,,,
97,alleroir,Allemagne,alle,allee,alluma,,,,,,,,,,,,,,,,,
98,labbe,abbe,sbbe?s,,,,,,,,,,,,,,,,,,,
99,Bassolle,collee,amollis,Folle,Rollebose,,,,,,,,,,,,,,,,,
100,fSacre-Ceur,Aassacre,baptisa  Massacre,Sacre-Coeurelle,,,,,,,,,,,,,,,,,,
101,Lt,"I
N
A",outle,tle ui,etle,,,,,,,,,,,,,,,,,
102,chateau,ehateau,hate,ehatealu jusu',,,,,,,,,,,,,,,,,,
103,cettelarve,Permette,Cettepauvre,Commecette,"au-
I
L
214
UNE vIE
tour de cette chair inanimee",,,,,,,,,,,,,,,,,
104,ceremonie,beret,Ladultere,Eretat,Eretry,exageree,ereux,hereher,,,,,,,,,,,,,,
105,voyagela,nola,-  Voyons,Voyons,onsulte,,,,,,,,,,,,,,,,,
106,Voyez,Fuyez,Croyez-,,,,,,,,,,,,,,,,,,,
107,Ashomnme,ormir,Normande,Normand,Normandie,,,,,,,,,,,,,,,,,
108,chteau,teat,beaudoup,Io,teauqui,le chteau,au chteau,rto  IT1,,,,,,,,,,,,,,
109,Lautren',Autrot,Lautre,Alautre,,,,,,,,,,,,,,,,,,
110,seio,H,Maleleines,Seine,la Seine,Chine,,,,,,,,,,,,,,,,
111,Yontivilliers,taillis,defaillir,failt,cueillie,,,,,,,,,,,,,,,,,
112,-  As,qtlil,TLI,S,se6-,,,,,,,,,,,,,,,,,
113,Rouen,yiheuar,nir,Sou-,E5s,souenir,venirs,Soudain,,,,,,,,,,,,,,
114,rGn,ch6e,,,,,,,,,,,,,,,,,,,,
115,Rienne,nne,Inne,enne,rm,,,,,,,,,,,,,,,,,
116,Inntre,cntra,Notre-Dame du Gros-Ventre,N,Rentrons,Entrezl,bete eventree,concentree,sentr',,,,,,,,,,,,,
117,yecu,recut,vecu,,,,,,,,,,,,,,,,,,,
118,le-I,Paris,vert-de-gris,tris6,,,,,,,,,,,,,,,,,,
119,Ihdifff,.Et,Ganaehe,Cana,Piana,Cany,,,,,,,,,,,,,,,,
120,aeil,nmeil.s',oeiltaut,EIle,eeil,,,,,,,,,,,,,,,,,
121,sonnern,mignonne,Mignonne,,,,,,,,,,,,,,,,,,,
122,aid6,iraide,aideo,Adelaide,,,,,,,,,,,,,,,,,,
123,Lltutes,eternuer.-,II,Tes,fetes,jetee,tetes,Etes,betes,,,,,,,,,,,,,
124,Ilbalbutia,deelara,reel,Beelzebuth,balbutiont,,,,,,,,,,,,,,,,,
125,detail,Iktailx,Pail,,,,,,,,,,,,,,,,,,,
126,Iature,torturee daneoisse,courbaturee,torturee,,,,,,,,,,,,,,,,,,
127,Italie,"I
Cux",Rosaliel,Asaln,d'Italie,alIS,Rosalie,,,,,,,,,,,,,,,
128,Lhiver,Is traversbrent,tvers,Versneuf,,,,,,,,,,,,,,,,,,
129,ea-tilfairef,ns',Ilfaut,toujours:-  Ilfaut,Bourse,Donoe,jou,,,,,,,,,,,,,,,
130,"Iy
I

M",declara-UNE V1E,I208,une306,el,I140,lune,,,,,,,,,,,,,,,
131,teut,Attiree,Kg,attiree peut-etre,peut-etre7,,,,,,,,,,,,,,,,,
132,Tolbiac,abbe Tolbiac,Tolbias,,,,,,,,,,,,,,,,,,,
133,haron monterent avee,servee,Ln,Avee,avee,Savez,,,,,,,,,,,,,,,,
134,lanmme,roninlanoligue,"E

Ia
lan ah
rlia",,,,,,,,,,,,,,,,,,,
135,Is,,,,,,,,,,,,,,,,,,,,,
136,Yauseotte,Crott,trot,aott,sasrrot,,,,,,,,,,,,,,,,,
137,l'Empire,BOir,soiree,Loir,choire,eroire,E-,,,,,,,,,,,,,,,
138,Elerecut,Meis,bruyeres,ler,colere,ceuir a des mysteres,Lereste,,,,,,,,,,,,,,,
139,coup.-,secouee,mourpra,Coursil,couruta,,,,,,,,,,,,,,,,,
140,Etretat,"Ia 
neto",penetra,etreindre,nenetre,,,,,,,,,,,,,,,,,
141,EI,Bravo,,,,,,,,,,,,,,,,,,,,
142,rs,,,,,,,,,,,,,,,,,,,,,
143,Ieras,Vauds,hotel,Coutelier,Laroute,,,,,,,,,,,,,,,,,
144,oach6,laches,Ganache,Sachez,,,,,,,,,,,,,,,,,,
145,Drnee,Athenes,ajones,Romaines,alaternes,Mornes,Verneuil,,,,,,,,,,,,,,,
146,savanceer,ixes,France,Ial,,,,,,,,,,,,,,,,,,
147,etil,artit,"nereeonnis
i petite mre",I petite Corse,Ila  Petite,Auun,,,,,,,,,,,,,,,,
148,san regard,"LI

N",egarde,gardee,,,,,,,,,,,,,,,,,,
149,Iiee,mre Couillard,Iardin,rdin,,,,,,,,,,,,,,,,,,
150,.::EE,Iln',cambree,Fecamp,champagne,F6camp,,,,,,,,,,,,,,,,
151,.-.E,Jas,B,,,,,,,,,,,,,,,,,,,
152,accompagnees,Comptez,"complai-
nce",Comprendre,,,,,,,,,,,,,,,,,,
153,e,"io
 Eg",Iii:.i,,,,,,,,,,,,,,,,,,,
154,Ap0tres,apparaltre,voitre,extreme,v0tre,Latre,d6-,,,,,,,,,,,,,,,
155,grace,v1E,Lac,Picot,enlaceesparfois,glacee,laceouchee,fratcheur glacee,,,,,,,,,,,,,,
156,PuIs,ssison,Puis,Lison,Puison,,,,,,,,,,,,,,,,,
157,seve,severe,severement enfermee,uo,,,,,,,,,,,,,,,,,,
158,utte,Batteville,Attenl,"Batteville.29
UNE VIE
Puis",Qr eombattre,Batte-,Iabattit,attelees,,,,,,,,,,,,,,
159,"ba-
ron",Leharen,cslehge,Lehron,,,,,,,,,,,,,,,,,,
160,suva,felure du mont,Ju-,bois du siege,rue du Sauvage,,,,,,,,,,,,,,,,,
161,hein,IUG,Bnfn,-  Hein,,,,,,,,,,,,,,,,,,
162,Elas,Lastique,Las,P,,,,,,,,,,,,,,,,,,
163,aMais,implora;mais,Maie,iamais,I maiaon,"ta
maisoen",Maisy,,,,,,,,,,,,,,,
164,lEt,Voulez,soulevee,Paulet,Poulet,,,,,,,,,,,,,,,,,
