cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36
-1,WVuthering,offer1,Shielders,Cnthcerine,sulle,Wnthering Heights,Wuthering Hcights,ERING IIEIGIT9,Wuthering IIeights,wrtEIG,fahl,Wy,England,Liring,wintar,IIeathieliff,cald,cloak3,that7,Bt,IEIGnT.,Mfr,sno,infaney,lincs,meeterly clane,"3ao
wtEnING HEIGIIT",cannut sea,America,drivcn,ky,"the Crags
WVhile",Hentheliff,I1l,hce,Thoen,retrievasl
0,Mn,mn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Lockwood,Loekwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,him1,himI,MIrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,seech,resue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,wvay,WVet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Gimmerton,Gimmerton 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Yorkshire,realy,butIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,isl,Bud,isl Bud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Yon'll,You'll,you'vc,I'l1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Hareton,Hnreton,HIareton,IlIareton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Earnsha,Earnshav,Hareton Earnsha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Oetoboer,boe,oboy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"dol
HIe",dol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,a Slough of Despond,London,Brond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,III:2Is,ny,MIichael,MIinny,champion1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,hush1,-cousin,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GrangeP,Grange,Grangel,Grango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Spriag,ia,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Thrushcross park,Thrushcross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
