cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
0,Cuatherine,Cnthcerine,Wy,Cuatherinc,drivcn,Cutherine,Catherino,,,,,,,,,
1,oncee,seech,nc,hce,,,,,,,,,,,,
2,Earnsha,Earnshav,,,,,,,,,,,,,,
3,Gimmerton,Desert,Bt,America,Gimmerton 7,,,,,,,,,,,
4,Linton Heathcliff,Mt. Heathcliff',Heathcliff,Hetlcliff,Ieathclil,IIeathieliff,that7,,,,,,,,,
5,GrangeP,Grange,Grangel,Grango,,,,,,,,,,,,
6,Shielders,nellowv,EL,MIichael,dells,NO EL,"dumh
melitation",,,,,,,,,
7,EIGIT9,EIGIIT9,ERING IIEIGIT9,TEIGIITS,IIEIGTS,HIGIITS,"3ao
wtEnING HEIGIIT",itl,GITS,HEIGITS,,,,,,
8,Istaid,MIster,Mfr,snid tn,Hishonest,,,,,,,,,,,
9,Hareton,Hnreton,HIareton,champion1,IlIareton,WVet,retrievasl,Hareton Earnsha,,,,,,,,
10,WVuthering,"Wuthoering
Heights",Wuthering Heighte,wEERING HEIGHTS,Wnthering Heights,Wuthering Hcights,wtrTEERING HEIGHTS,Wuthering Heights,HErTS,"WYuthering
Heights",Wuthering IIeights,WVuthering Heights,Wutheriag Heights,WVuthering Heighte,Wutheriug Heights,"Wuthering
Heights"
11,fort,North,Lorl,beforc hc,forarl,,,,,,,,,,,
12,anl,olean,cannut sea,Titan,oman,,,,,,,,,,,
13,a Slough of Despond,London,Brond,,,,,,,,,,,,,
14,Yon'll,You'll,you'vc,I'l1,,,,,,,,,,,,
15,Thrushcross park,Thrusheross Grange,ThIrusheross Grange,Thrushcross Grange,Thruehcross Grange,Thrushcross,,,,,,,,,,
16,"dol
HIe",dol,,,,,,,,,,,,,,
17,III:2Is,ny,MIinny,,,,,,,,,,,,,
18,west wind,wintar,wi,Wisht,,,,,,,,,,,,
19,fahl,Hindley,infaney,meeterly clane,,,,,,,,,,,,
20,him1,himI,MIrs,,,,,,,,,,,,,
21,Mn,mn,,,,,,,,,,,,,,
22,bnt,Liring,lincs,Linton,Continent,Lintou,WVont,contry,,,,,,,,
23,wvay,Ieathelif,Heatheli,Hetheclif,Heathelif,M. Heath,thear,Therel,Thear,Hentheliff,Ieatheli,,,,,
24,Ienneth,benr,heavaen,kitehen,Thesr,Thenr,"the Crags
WVhile",Phenix,henad,Thoen,,,,,,
25,offer1,Liverpool,oever,howevor,Howover,IlIowever,,,,,,,,,,
26,CAYIENDISH S.,Christendom,England,Ienven,end1,,,,,,,,,,,
27,sulle,hy hills,butIL,Zillal,Ill,Zillah,,,,,,,,,,
28,Oetoboer,boe,oboy,,,,,,,,,,,,,
29,hush1,-cousin,us,,,,,,,,,,,,,
30,la,IBlackhorse,Tlat,wasa,las,Lascar,Edgasr,,,,,,,,,
31,Spriag,ia,IA,,,,,,,,,,,,,
32,Hercules,resue,Herecules,,,,,,,,,,,,,
33,EIGHRT9,wrtEIG,EEIGT,HEIGLT9,IEIGnT.,HIEIGRT9,EIGET,EIGRT9,HEIGRT8,HEIGRT,REIGET9,IIEIGHRT8,,,,
34,I1l,,,,,,,,,,,,,,,
35,isl,Bud,begaa,isl Bud,,,,,,,,,,,,
36,HEIGTB,IEIGHT9,Heights,Heightas,IIEIGHT9,HEIGHTS,Tle Heights,,,,,,,,,
37,realy,cald,cloak3,sno,Noal,,,,,,,,,,,
38,Lockwood,ky,Loekwood,,,,,,,,,,,,,
39,soro,mo,Yorkshire,moro,,,,,,,,,,,,
40,lI,Mliss,Mlr,MlIy,,,,,,,,,,,,
