cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56
-1,WVuthering,west wind,offer1,Shielders,Cnthcerine,sulle,III:2Is,Wuthering Hcights,ERING IIEIGIT9,Istaid,Spriag,heavaen,ny,Wuthering IIeights,wrtEIG,fahl,Wy,MIichael,England,IBlackhorse,Hindley,Yorkshire,Liring,realy,wintar,MIinny,begaa,cald,cloak3,that7,Bt,champion1,IEIGnT.,Mfr,sno,infaney,lincs,seech,meeterly clane,resue,"3ao
wtEnING HEIGIIT",butIL,itl,cannut sea,America,drivcn,ky,"the Crags
WVhile",Therel,Hentheliff,I1l,hce,snid tn,Noal,Thoen,retrievasl,Hareton Earnsha
0,WVuthering Heights,WVuthering Heighte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Wuthering Heighte,Wnthering Heights,Wuthering Heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wutheriag Heights,Wutheriug Heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,wEERING HEIGHTS,wtrTEERING HEIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Wuthoering
Heights","WYuthering
Heights","Wuthering
Heights",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Cuatherine,Cuatherinc,Cutherine,Catherino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Heights,Heightas,HEIGHTS,Tle Heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,IEIGHT9,IIEIGHT9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,EIGHRT9,IIEIGHRT8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,HEIGTB,IIEIGTS,EEIGT,HEIGLT9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,HEIGRT8,HEIGRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,HIEIGRT9,EIGRT9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,EIGIT9,EIGIIT9,TEIGIITS,HIGIITS,GITS,HEIGITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
