cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17
0,Cuatherine,Cnthcerine,Cuatherinc,drivcn,Cutherine,Catherino,,,,,,,,,,,,
1,oncee,wvay,seech,nc,hce,,,,,,,,,,,,,
2,Earnsha,Earnshav,Hareton Earnsha,,,,,,,,,,,,,,,
3,Gimmerton,Desert,America,Gimmerton 7,,,,,,,,,,,,,,
4,Linton Heathcliff,Mt. Heathcliff',Heathcliff,Hetlcliff,Ieathclil,,,,,,,,,,,,,
5,GrangeP,Grange,England,Grangel,Grango,,,,,,,,,,,,,
6,Lockwood,Loekwood,,,,,,,,,,,,,,,,
7,Shielders,nellowv,EL,MIichael,dells,NO EL,"dumh
melitation",,,,,,,,,,,
8,EIGIT9,EIGIIT9,TEIGIITS,wrtEIG,HIGIITS,"3ao
wtEnING HEIGIIT",itl,GITS,HEIGITS,,,,,,,,,
9,WVuthering,"Wuthoering
Heights",Wuthering Heighte,wEERING HEIGHTS,Wnthering Heights,Wuthering Hcights,wtrTEERING HEIGHTS,Wuthering Heights,HErTS,"WYuthering
Heights",Wuthering IIeights,Liring,begaa,WVuthering Heights,Wutheriag Heights,WVuthering Heighte,Wutheriug Heights,"Wuthering
Heights"
10,fort,North,Lorl,beforc hc,forarl,,,,,,,,,,,,,
11,anl,fahl,olean,infaney,cannut sea,Titan,oman,,,,,,,,,,,
12,a Slough of Despond,London,champion1,Brond,,,,,,,,,,,,,,
13,Yon'll,You'll,you'vc,I'l1,,,,,,,,,,,,,,
14,offer1,Istaid,MIster,Christendom,Mfr,meeterly clane,Hishonest,,,,,,,,,,,
15,Thrushcross park,Thrusheross Grange,ThIrusheross Grange,Thrushcross Grange,Thruehcross Grange,Thrushcross,,,,,,,,,,,,
16,Oetoboer,boe,oboy,,,,,,,,,,,,,,,
17,Hareton,Hnreton,HIareton,Yorkshire,IlIareton,retrievasl,,,,,,,,,,,,
18,"dol
HIe",dol,,,,,,,,,,,,,,,,
19,III:2Is,ny,MIinny,I1l,,,,,,,,,,,,,,
20,west wind,wintar,wi,Wisht,,,,,,,,,,,,,,
21,Mn,mn,,,,,,,,,,,,,,,,
22,Ienneth,CAYIENDISH S.,Ienven,end1,,,,,,,,,,,,,,
23,Hindley,Bt,him1,himI,MIrs,,,,,,,,,,,,,
24,lincs,Linton,Lintou,,,,,,,,,,,,,,,
25,Ieathelif,Wy,IIeathieliff,Heatheli,that7,Hetheclif,Heathelif,M. Heath,Hentheliff,Ieatheli,,,,,,,,
26,benr,kitehen,Thenr,"the Crags
WVhile",Phenix,henad,Thoen,,,,,,,,,,,
27,Liverpool,oever,howevor,Howover,IlIowever,snid tn,,,,,,,,,,,,
28,Heights,Heightas,HEIGHTS,Tle Heights,,,,,,,,,,,,,,
29,sulle,hy hills,butIL,Zillal,Ill,ky,Zillah,,,,,,,,,,,
30,EEIGT,WVet,EIGET,REIGET9,,,,,,,,,,,,,,
31,hush1,-cousin,us,,,,,,,,,,,,,,,
32,la,IBlackhorse,Tlat,wasa,las,Lascar,Edgasr,,,,,,,,,,,
33,Spriag,ia,IA,,,,,,,,,,,,,,,
34,Hercules,resue,Herecules,Therel,,,,,,,,,,,,,,
35,bnt,Continent,WVont,contry,,,,,,,,,,,,,,
36,heavaen,Thesr,thear,Thear,,,,,,,,,,,,,,
37,ERING IIEIGIT9,EIGHRT9,IIEIGTS,IEIGHT9,IEIGnT.,IIEIGHT9,IIEIGHRT8,,,,,,,,,,,
38,isl,Bud,isl Bud,,,,,,,,,,,,,,,
39,realy,cald,cloak3,sno,Noal,,,,,,,,,,,,,
40,HEIGTB,HEIGLT9,HIEIGRT9,EIGRT9,HEIGRT8,HEIGRT,,,,,,,,,,,,
41,soro,mo,moro,,,,,,,,,,,,,,,
42,lI,Mliss,Mlr,MlIy,,,,,,,,,,,,,,
