cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
0.0,Cuatherine,Cnthcerine,Cuatherinc,Cutherine,Catherino,,,,,,,,,,,
1.0,GrangeP,Grange,Yorkshire,Grangel,Grango,,,,,,,,,,,
2.0,west wind,Hindley,wintar,Hishonest,,,,,,,,,,,,
3.0,Earnsha,Earnshav,Hareton Earnsha,,,,,,,,,,,,,
4.0,Liverpool,oever,Howover,IlIowever,,,,,,,,,,,,
5.0,Linton Heathcliff,Mt. Heathcliff',Heathcliff,Hetlcliff,Ieathclil,Hetheclif,M. Heath,,,,,,,,,
6.0,Gimmerton,America,Gimmerton 7,,,,,,,,,,,,,
7.0,Ieathelif,IIeathieliff,Heatheli,Heathelif,Hentheliff,Ieatheli,,,,,,,,,,
8.0,Lockwood,Loekwood,,,,,,,,,,,,,,
9.0,soro,moro,,,,,,,,,,,,,,
10.0,Shielders,"dol
HIe",dol,,,,,,,,,,,,,
11.0,EIGIIT9,TEIGIITS,wrtEIG,HIGIITS,"3ao
wtEnING HEIGIIT",,,,,,,,,,,
12.0,WVuthering,"Wuthoering
Heights",Wuthering Heighte,wEERING HEIGHTS,Wnthering Heights,Wuthering Hcights,wtrTEERING HEIGHTS,Wuthering Heights,"WYuthering
Heights",Wuthering IIeights,Liring,WVuthering Heights,Wutheriag Heights,WVuthering Heighte,Wutheriug Heights,"Wuthering
Heights"
13.0,fort,North,beforc hc,forarl,,,,,,,,,,,,
14.0,Ienneth,CAYIENDISH S.,Ienven,end1,Thoen,Wisht,,,,,,,,,,
15.0,Yon'll,You'll,you'vc,,,,,,,,,,,,,
16.0,Istaid,MIster,Christendom,,,,,,,,,,,,,
17.0,Thrushcross park,hush1,Thrusheross Grange,ThIrusheross Grange,Thrushcross Grange,Thruehcross Grange,Thrushcross,,,,,,,,,
18.0,HEIGTB,EEIGT,HEIGLT9,,,,,,,,,,,,,
19.0,HErTS,Desert,,,,,,,,,,,,,,
20.0,MIichael,MIinny,champion1,,,,,,,,,,,,,
21.0,kitehen,himI,Phenix,henad,,,,,,,,,,,,
22.0,Oetoboer,boe,oboy,,,,,,,,,,,,,
23.0,Hareton,Hnreton,HIareton,IlIareton,retrievasl,,,,,,,,,,,
24.0,Mliss,,,,,,,,,,,,,,,
25.0,nellowv,hy hills,dells,,,,,,,,,,,,,
26.0,a Slough of Despond,London,Brond,,,,,,,,,,,,,
27.0,England,infaney,meeterly clane,,,,,,,,,,,,,
28.0,benr,Thesr,Thenr,"the Crags
WVhile",hce,,,,,,,,,,,
29.0,EIGHRT9,Heights,Heightas,HEIGHTS,Tle Heights,,,,,,,,,,,
30.0,howevor,Zillal,Ill,Zillah,,,,,,,,,,,,
31.0,EIGET,REIGET9,,,,,,,,,,,,,,
32.0,las,Lascar,,,,,,,,,,,,,,
33.0,Hercules,Herecules,Therel,,,,,,,,,,,,,
34.0,heavaen,thear,Thear,,,,,,,,,,,,,
35.0,lincs,Linton,Lintou,,,,,,,,,,,,,
36.0,IIEIGTS,IEIGHT9,IEIGnT.,IIEIGHT9,IIEIGHRT8,,,,,,,,,,,
37.0,isl,Bud,him1,isl Bud,,,,,,,,,,,,
38.0,EIGIT9,ERING IIEIGIT9,GITS,HEIGITS,,,,,,,,,,,,
39.0,HIEIGRT9,EIGRT9,HEIGRT8,HEIGRT,,,,,,,,,,,,
40.0,Continent,WVont,contry,,,,,,,,,,,,,
41.0,MlIy,,,,,,,,,,,,,,,
42.0,Spriag,Titan,"dumh
melitation",,,,,,,,,,,,,
