cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17
0,WVuthering,Cuatherine,Cnthcerine,realy,Cuatherinc,-cousin,Cutherine,Catherino,,,,,,,,,,
1,isl,Lascar,,,,,,,,,,,,,,,,
2,Shielders,"dol
HIe",that7,Mlr,,,,,,,,,,,,,,
3,Earnsha,soro,him1,Earnshav,Hareton Earnsha,,,,,,,,,,,,,
4,Hercules,Spriag,HErTS,IBlackhorse,Hindley,Herecules,Therel,oboy,,,,,,,,,,
5,a Slough of Despond,London,Yorkshire,champion1,Brond,himI,snid tn,MlIy,,,,,,,,,,
6,Linton Heathcliff,nellowv,Mt. Heathcliff',Heathcliff,Hetlcliff,Yon'll,Ieathclil,Hetheclif,M. Heath,,,,,,,,,
7,Gimmerton,Desert,infaney,howevor,America,Gimmerton 7,us,isl Bud,,,,,,,,,,
8,Ieathelif,IIeathieliff,Heatheli,Heathelif,Hentheliff,Ieatheli,"dumh
melitation",,,,,,,,,,,
9,GrangeP,west wind,la,oncee,Grange,Lockwood,MIichael,Grangel,seech,Grango,,,,,,,,
10,EIGIIT9,TEIGIITS,England,HIGIITS,"3ao
wtEnING HEIGIIT",,,,,,,,,,,,,
11,EL,Hareton,Hnreton,Oetoboer,HIareton,Ienven,IlIareton,Titan,retrievasl,,,,,,,,,
12,offer1,"Wuthoering
Heights",Wuthering Heighte,wEERING HEIGHTS,Wnthering Heights,Wuthering Hcights,wtrTEERING HEIGHTS,Wuthering Heights,"WYuthering
Heights",Wuthering IIeights,Liring,you'vc,WVuthering Heights,Wutheriag Heights,WVuthering Heighte,Wutheriug Heights,Loekwood,"Wuthering
Heights"
13,fort,mo,butIL,beforc hc,forarl,,,,,,,,,,,,,
14,Thrushcross park,hush1,Thrusheross Grange,ThIrusheross Grange,Thrushcross Grange,Thruehcross Grange,bnt,Mfr,Thrushcross,,,,,,,,,
15,III:2Is,Istaid,MIster,Christendom,North,MIrs,end1,,,,,,,,,,,
16,kitehen,Thenr,Phenix,henad,,,,,,,,,,,,,,
17,benr,Mliss,NO EL,Noal,IA,,,,,,,,,,,,,
18,Liverpool,oever,Howover,IlIowever,nc,,,,,,,,,,,,,
19,MIinny,olean,Bt,meeterly clane,Thoen,,,,,,,,,,,,,
20,Lorl,ky,,,,,,,,,,,,,,,,
21,mn,itl,oman,,,,,,,,,,,,,,,
22,ny,wrtEIG,EEIGT,Mn,I'l1,drivcn,EIGET,hce,REIGET9,,,,,,,,,
23,Ienneth,dells,resue,boe,ia,,,,,,,,,,,,,
24,heavaen,dol,Thesr,"the Crags
WVhile",thear,Thear,I1l,,,,,,,,,,,
25,lI,wintar,lincs,Linton,Lintou,,,,,,,,,,,,,
26,sulle,HEIGTB,HEIGLT9,Tlat,HIEIGRT9,EIGRT9,HEIGRT8,HEIGRT,Edgasr,,,,,,,,,
27,hy hills,anl,begaa,cald,sno,Zillal,WVet,Ill,Zillah,,,,,,,,,
28,Heights,Heightas,HEIGHTS,Tle Heights,moro,,,,,,,,,,,,,
29,You'll,wi,cannut sea,Continent,WVont,contry,,,,,,,,,,,,
30,wvay,Bud,CAYIENDISH S.,fahl,Wy,las,Hishonest,Wisht,,,,,,,,,,
31,EIGIT9,cloak3,GITS,HEIGITS,,,,,,,,,,,,,,
32,ERING IIEIGIT9,EIGHRT9,IIEIGTS,IEIGHT9,IEIGnT.,wasa,IIEIGHT9,IIEIGHRT8,,,,,,,,,,
