cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18
0,Moi,suivezmoi,Les Mois,moi,,,,,,,,,,,,,,,
1,conﬁance,créances,Conﬁance,"puis—
sance",conﬁtences,conﬁer,—je,,,,,,,,,,,,
2,Loups-Hurons,Huron,Loups-,Hurons,,,,,,,,,,,,,,,
3,philosophe—,le philosophe—,philoso—,,,,,,,,,,,,,,,,
4,"Risque—
l‘ont",LEON,l‘on,Bisquetout,"<

—",Risque,l‘ont,35,,,,,,,,,,,
5,trou—,.F,prou—,Wÿ—J—mmw—w,tv;—_«,c’,brou—,r01,,,,,,,,,,,
6,Chichiméques,Ï sues,ques—,,,,,,,,,,,,,,,,
7,Con-,confin—,Continuez,Lun 87,recon—,ﬂcon,convi—,cont1ai1e,,,,,,,,,,,
8,Cîest,"\‘,'i’",AL.—\,ol‘re,G‘est,.HMgÇ—1,1est1d11e,Est—ce,Est,f01êt,,,,,,,,,
9,"r',enc0t1e",encod1e,but1e,.a—,,,,,,,,,,,,,,,
10,jura,Jura,,,,,,,,,,,,,,,,,
11,Sérieux,—- Glorieux,Chérie,Curieux,L‘intérieur,,,,,,,,,,,,,,
12,Î,mæv+mæa,Où,——C’,T'—,.\,Va,,,,,,,,,,,,
13,Trève,lui1,.;ëﬂîËî‘ïîî,àla pluie-,a—,celui—,DV,,,,,,,,,,,,
14,FORT DUQUESNE,fort Duquesne,fortDuquesne,Duquesne,ao1t Duquesne,tort Duquesne,"FORT DUQUESNE

LE COMTE DE JUMONVJLLE",garnison du tort_Duqnesne,mawkawis,"fort
Duquesne",foiL Duquesne,"Wﬂ—üv‘üﬁﬂ""ﬁä",fort Duquesne m’,,,,,,
15,Andé,Koul1a-Handé,u)f“,Landé,"f‘1‘»"".a",And1é,indé—,Arrî1and,,,,,,,,,,,
16,VW”'”M,enfer—,Ogre,adler—,r—ﬁ—r,Totem,b*ﬂﬁﬂræ—?x,.p,,,,,,,,,,,
17,rivière,1rivière,Rivière,"RIVIÈRE

—",RIVIÈRE 483,G’,"rivière de
Montmorency",BELLE RIVIÈRE,Belle Rivière,R1VÊRE,Frontières,Ê_1misère,rivière qu’,pè1e,RIV_IÈRE,Belle—Rivière,Belle-Rivière,la Belle-Rivière,ÿclar11ère
18,wampums,bois-brûlé,Bois-Brùlé,Bois-Brûlés,,,,,,,,,,,,,,,
19,Mexique,Quels,gr,_,ﬁr_.,Karnac celtique,fé1ce,Pre3que,"océan
Atlantique",briquet,W,golfe du Mexique,exag—;pérée,,,,,,
20,Lejeune,Î1,.Si,A&—.,lejeune,!,RA,Jeune,Enﬁd,,,,,,,,,,
21,Wma,Apr1ès,apr1,Aprés,apr1ès,,,,,,,,,,,,,,
22,Léona,l(oua,Léoua,Ouais,Léonal,Axl.æœ,Baht,S:—,,,,,,,,,,,
23,Canadien,Canadien-,.*.i,admir—,Canadiens,Canadienne,ge,,,,,,,,,,,,
24,sn,ﬁnit,ænﬂa««,habitué,elïet,".glî;;.n,,-.g_gm",,,,,,,,,,,,,
25,Manongahéla,Monongahela,Manonghahela,.'ètle,Manangahela,,,,,,,,,,,,,,
26,u—»M,mali,VI,difﬁ—,Ruiné,mala—,Sri,malte u re‘ux,,,,,,,,,,,
27,LA 13 E LE,LW,Î’,m| LEGAI,BEL L E ltl V !,J e m’,,,,,,,,,,,,,
28,sulÏvoquée,Québec,ﬁde,Québec permet—,Gaudebec,—-,,,,,,,,,,,,,
29,empresse—,.:,ﬁnesse,désintéresse—,Muc-za,Siège,c1,ou‘d,,,,,,,,,,,
30,JàJ,ger,Berger,Ger,de1,,,,,,,,,,,,,,
31,Voulez,uzrr,Où voulez,Voulu,moule—,,,,,,,,,,,,,,
32,Br1lé,échan—,marchan—,bran—,aban—,s’échapper,,,,,,,,,,,,,
33,appré—,.EN,F”’ŒTËMW,l\,pré—,appr—,,,,,,,,,,,,,
34,Jens,Gens,Et1opéens,Bergen,genouæ,gens‘dont,a1,,,,,,,,,,,,
35,Aigle—Volant,Aigle-Volant,Aigle-Volant roula,Aigle,L’Aigle-Volume,L’Aigle-V,Volant,v-,cl’,,,,,,,,,,
36,V1É1Œ,Arrivés,Arrivés la,ii _ Arrivés,olﬁc1e15,,,,,,,,,,,,,,
37,"peaux—
Lw",Peaux,Peaux-Bonzes,a\:‘1,Peau-,Bordeaux,Peaux—,,,,,,,,,,,,
38,justiﬁer,justiﬁe1,"W

‘",J'ai,,,,,,,,,,,,,,,
39,pour—,amour—,mur—,Pour,devenantpourpre,Pourquoi,,,,,,,,,,,,,
40,indiens,A1,Indien,L’Indien,toldos indiens,indienne,Indiens,d’un Indien,L‘indiﬁ‘érence,Ï' Indiens,Indien Delaware,mont1e1e indienne,.«.r,pseudo-Indien,Indiennes,indien,desIndiens,,
41,latepelt,Joignez,besogne,X,Libre,—,l‘enseigne Ward,ignor—,,,,,,,,,,,
42,"créau1e

—",Créateur,au1e,Créole,gﬂ.yf_zﬂf,m’,,,,,,,,,,,,,
43,chaude—,Michaelébé,Luy,achar—,cap du Chat,haussa,"chaumiè1 e.

Il tenait un fusil",,,,,,,,,,,,
44,Pouvez-,couver—,Sauvez-le,,,,,,,,,,,,,,,,
45,—— Nou,—— Non,Grognon,n1V11äun,._I,,,,,,,,,,,,,,
46,Bigar,"vv—""v",Niagara,Deuxhangars,GEFFI‘\OY,.ﬂ,Ï,12,garnier,W‘Q‘mmm,,,,,,,,,
47,bien—,Bientôt,s’orienter,tient1a,—— Bien,m‘impatiente,couVraient,rissaient,bientot,,,,,,,,,,
48,baron de Grigny,Grigny,Gr1gny,Carignan,Pas,Grigny qu’,,,,,,,,,,,,,
49,Penh,Penserez,Î ’ ',cepen—,.'1,,,,,,,,,,,,,,
50,s*assurer,Rassurez,Opossum,s‘essuy',"Î—""r",.:.—wan,cal11mét,1'tf,rassur.er,reﬂet,,,,,,,,,
51,Europe,Euro-,Européens,Ropmdnclion,,,,,,,,,,,,,,,
52,"Vîüg

LA E ELLE",Sentinelle,selle,—elle,.æs.ma*.,Celles,réelle—,mademoiselle,d’elle—,Telles,Laquelle,.—n,elle—,ÎBELLE,,,,,
53,tombé—,canada,Canada,cana—,Cana-,,,,,,,,,,,,,,
54,bois—,Bois—Brûlé,Bois—'.l‘rac‘y,"de
Bois—Brûlé",Liv,le bois—brûlé,,,,,,,,,,,,,
55,Laisse,Laissez-,Anglais,laisse1,\'lais,vr‘i«‘i,s’aﬁ'aissa,exag—,,,,,,,,,,,
56,Kouba—Haùdé,Kouba-,Kouba,«.w-£v,Kouba-Haudé,Koufa,Kouba—Handè,"î""Ï",en’,ma1qu1se,Kouba-Handé,,,,,,,,
57,Nos_lectricien,u«tgvæ,ici?-,fici,estici,enèté,-.-A_ÈC,Sicile,,,,,,,,,,,
58,—- Monsieur,monsæur,monäan,mons,—- Voyons,,,,,,,,,,,,,,
59,disparu—,Paris,par-,appara—,Parpillé,Parvenu,Dé1ﬁoñlüë,ëf,Parlez,,,,,,,,,,
60,fort Rupert,eﬁ”ort suprême,É confortable,fort honnêtes,fort n’,,,,,,,,,,,,,,
61,expé—,expo—,s’exprimer,,,,,,,,,,,,,,,,
62,Anjou,ajouta—,Aujourd‘hui,},,,,,,,,,,,,,,,
63,Comment,JVÆﬁ,Comment“,commen—,,,,,,,,,,,,,,,
64,An,bourrelé,bourre,,,,,,,,,,,,,,,,
65,ghana,Alleghanys,Allehany,monts Alleghanys,Alleghany,Eh,,,,,,,,,,,,,
66,"de
Couleuvre",Couleuvre,Couleuvre n’,Couleuvre s’,t1ouvre1as,la Couleuvre,La Couleuvre,,,,,,,,,,,,
67,avaitdonnée,Pardon,Pardonne,donnez—,Ë-,J’ ai l’honneu1,Sonne,,,,,,,,,,,,
68,coin—,moin—,HI,d’,u,Au besoin—,loin_de,foins,Uu‘1,surﬁt point,,,,,,,,,
69,voya—,Vousivoyez,Voyez,Fuyez,Essayez,Soyez,,,,,,,,,,,,,
70,.-—.-,t1,z.'y.—-vr——.--‘—,,,,,,,,,,,,,,,,
71,Nulle,l33,Jullouville,Tulle,mollet,ﬁlle,New—York,,,,,,,,,,,,
72,seño1,Ë,palma,"é:—""ç",Palma,Palamède,,,,,,,,,,,,,
73,serpentine,conti—,eﬁenti—,gentils—,.—:—-,"Ge gentilhomme,_je l’avais",mer 51,bâti—,senti—,,,,,,,,,,
74,noble—,.Le—,Undè,@.:_Â\,Enﬁn,,,,,,,,,,,,,,
75,heu1es,arm1es,ar‘b1es,ord1es,aut1es,,,,,,,,,,,,,,
76,guer11er,guer-,aguerrie,,,,,,,,,,,,,,,,
77,æa—,la‘suivre,au Havre,"lèvres,—",,,,,,,,,,,,,,,
78,le1‘ais—jelà—ball répondit,obéis—,héris—,,,,,,,,,,,,,,,,
79,.:.Ï,Wanæ,depart,Martyrisez,UN,partez,Partons,Partout,,,,,,,,,,,
80,jusqu’,qu’,Lw,Jusqu,Û,mosqu,,,,,,,,,,,,,
81,Lovelace,Placée,place qu’,lac Érié,,,,,,,,,,,,,,,
82,impro—,proba—,Proc1-it,propre—,Proﬁtez,prodi—,,,,,,,,,,,,,
83,amou—,redou—,N1ck,Doué,,,,,,,,,,,,,,,
84,f,Tes,Hésites-,Iam-n.,Gu«‘um,.‘ﬂ,,,,,,,,,,,,,
85,Dinwidie,Dieppe,.‘Ïbmwﬁëz‘w‘ï,,,,,,,,,,,,,,,,
86,S',JÎÀÏÎQ,vallée de l’,vallée de l’Ohio,baie des Marmousets,,,,,,,,,,,,,,
87,Castel,à4,Tels,,,,,,,,,,,,,,,,
88,._.,wæ4W,._._T._.e,Î_._,._._._,Lo,,,,,,,,,,,,,
89,servi—,._r';\,observ—,observa—,.l,Observez,æ,.‘Ç,,,,,,,,,,,
90,niv1Èn.n,"ViÎî""Î,—À:‘l",souvenez-vons-enl,Venez,P1‘enez,Venise,-,Vengé,,,,,,,,,,,
91,Loris,horizon—,L’,baton—,,,,,,,,,,,,,,,
92,peut—,caus—,Peut—,brut—,,,,,,,,,,,,,,,
93,Cher,cher—,— Cher,,,,,,,,,,,,,,,,
94,d. aut1 es éclar1eurs ennemis,Senneville,Guyenne,m‘enne—,enne—,Vienne,".:::""L‘c",Bienne,l’,,,,,,,,,,
95,Contentez-,contentez,sentence—,Consentez,rente1,honteuscnwnt,,,,,,,,,,,,,
96,.‘_.,Malleval,".Â

A l\",Allez,"pasa‘1""lume1",lasalle,alluma,Alle—,În,,,,,,,,,,
97,"leé voile
de nuages",avoir‘p1‘noncé,Bravo,Sçavoir,Gloireœnr,Voilà,.L,,,,,,,,,,,,
98,La11dé11epa1t,la101e,la1s,la1dàt,,,,,,,,,,,,,,,
99,anna,à-,conna—,connais—,"conna—
rescence",venaisou,Pittsburg,nais—,reconnaissez—,,,,,,,,,,
100,impla—,impos—,impr—,impor—,impa—,etle,,,,,,,,,,,,,
101,J‘en,m‘en,æ.mâg,l‘en,s‘en,d‘en,s‘en',.-;.—,j‘en,Le l‘en,t‘en,,,,,,,,
102,Ouïe-Fine,chine,Seine,"la_,_fin-",,,,,,,,,,,,,,,
103,L1V—,L1v,L1V-,Le,,,,,,,,,,,,,,,
104,ve1rai,raison—,trio—,Douterais-tu,sais,J’)irais,Bais,._(ëL.çæyîg,jurerais,,,,,,,,,,
105,château de,châtelaine de Maleval,château de Malevil,LeV.,AU CHATEAU DE MALEVAL,"château de
Beauregard",,,,,,,,,,,,,
106,-—- Pardieul,LE,Pardieul,Adieu,,,,,,,,,,,,,,,
107,comtesse de Melvalle,Maleval,me',comtesse de Maleval,comtesse de Malek,pç,comtesse de Maleval‘l,,,,,,,,,,,,
108,interrog—,interpr—,aupr—,inter—,Interrogez,,,,,,,,,,,,,,
109,Téoealis,.'ç,pliska,pliétés,,,,,,,,,,,,,,,
110,J umonville,Pilla,lille,Veuillez,ma lille,o1meilleursè,salille,Castille,t1anguille,Lil,,,,,,,,,
111,sv,J an—Pol,Ï —J ai lutté,J ai,,,,,,,,,,,,,,,
112,-L,si',,,,,,,,,,,,,,,,,
113,Terre Sainte,querrezla,l‘Angleterre,- - -,terre,Angleterre,la terre,æ—u.,,,,,,,,,,,
114,péiil—,Tracy,io,E,È,"l._lî',âlïle",,,,,,,,,,,,,
115,compa—,complè—,incompréhen—,accompagn—,com,Comptez,compl—,"-

—- Compagnons",comptez—,,,,,,,,,,
116,"Iam-n.

saire","expédition—
naire",temporaire—,lai',involontaire—,.,scapulaire,clair—obscur,Gholula,,,,,,,,,,
117,NJ,demi—couché,q—,demi—mot,"M'""",mi—,,,,,,,,,,,,,
118,:>,tableaupchangea,Angelo,Mangezl,sang—,,,,,,,,,,,,,,
119,EUX,"deux,-la",Ceux-,alÏreux,,,,,,,,,,,,,,,
120,négli—,soli—,poli—,Oli,L an Pol,,,,,,,,,,,,,,
121,._—,"a

._—.",._—.—,Luv,ÿ-*=ŸWËÎ‘Ë,,,,,,,,,,,,,,
122,Ÿî’M,Ecoutez-,soute1“ain,Ajoutez,Écoutez,,,,,,,,,,,,,,
123,Och,Devant,santa,Quantà,nil-ant,‘eﬂmü'ﬁ'ﬁ‘ﬁﬁW‘etÿæïï‘î,Posant,,,,,,,,,,,,
124,".-\,.ç_-",yan-accs,Acceptez,acca—,accol—,,,,,,,,,,,,,,
125,toutd‘abord,Poitou,touﬂ’ues,tourte—,Toutàcoup,,,,,,,,,,,,,,
126,quatre—vingts,|,"quatre—

Ïvingts",quatre—,tmatre-vingts,,,,,,,,,,,,,,
127,gvvm,æaæ,ÏÆÉä,,,,,,,,,,,,,,,,
128,Océan,Orléans,Ë1borlooé,,,,,,,,,,,,,,,,
129,Formé,for1êt,,,,,,,,,,,,,,,,,
130,n. GEI-‘FROY,t’,Glül*‘l«‘ROY,.‘.0,C’,— n. GEI-‘FROY,,,,,,,,,,,,,
131,A demain midi,demandez—,"demanda-L

—R1en",demand—,,,,,,,,,,,,,,,
132,Vois-tu,as-tu soif,Es-tu fou,,,,,,,,,,,,,,,,
