cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26
0,crois,Sois,ape1çois,Crois,crois—,,,,,,,,,,,,,,,,,,,,,,
1,soli—,poli—,toldos,Soldat,Oli,négli—,culi—,,,,,,,,,,,,,,,,,,,,
2,mur—,demeur—,clair—obscur,malheur—,Muc-za,J<.=“,ZN,au)mur,,,,,,,,,,,,,,,,,,,
3,de Versailles,Versailles,onﬁcier de Versailles,sailles,Providence veillât,,,,,,,,,,,,,,,,,,,,,,
4,.L,.l,,,,,,,,,,,,,,,,,,,,,,,,,
5,Nick,fici,Nos_lectricien,ici?-,Iﬂ1,Sicile,În,,,,,,,,,,,,,,,,,,,,
6,.æs.ma*.,æ.mâg,Axl.æœ,.,.*.i,,,,,,,,,,,,,,,,,,,,,,
7,ger,ge,Berger,Siège,Bergen,Ger,guer-,pers0nn9,Ferney,GEFFI‘\OY,,,,,,,,,,,,,,,,,
8,"-

—","}

—","- ï

—",- - -,",- i",È,"<

—",".—""——-_—< >- —",:>,"-

—- Compagnons",,,,,,,,,,,,,,,,,
9,l‘a,Ï,L‘aventurier,l‘arbre,l‘agonie,l‘ai,ol‘re,|,L‘autre,,,,,,,,,,,,,,,,,,
10,à4,Vie,plusiems,pied.-,VI,Joie,vie!.,Ê-1,Virginie,,,,,,,,,,,,,,,,,,
11,Gens,l33,j‘en conviens,miens,Agence,gens‘dont,ænﬂa««,Tiens,gentils—,genouæ,F,Jens,"\‘,'i’",,,,,,,,,,,,,,
12,.-;.,.-;.—,1'tf,ä'_;.,,,,,,,,,,,,,,,,,,,,,,,
13,la Belle-Rivière,Belle Rivière,BELLE RIVIÈRE,BELLE R]VÈRE,Belle—Rivière,Belle-Rivière,,,,,,,,,,,,,,,,,,,,,
14,indien,Indien,Dieppe,Dinwidie,toldos indiens,L‘indiﬁ‘érence,T‘>u,Indiens,d’un Indien,Rétendit,indienne,L’Indien,indiens,Indiennes,desIndiens,Indien Delaware,Ï' Indiens,pseudo-Indien,,,,,,,,,
15,verai,diversifi',a‘travers,Biver,bivouaquerai,ve1rai,abuserai,Ë-,Ë,,,,,,,,,,,,,,,,,,
16,Pre3que,pres—,ques—,"lèvres,—",lettres—,Reproduction,expres—,propre—,empresse—,,,,,,,,,,,,,,,,,,
17,Peaux,tableaupchangea,Peau-,Peaux—,"peaux—
Lw",Lûä,Bordeaux,q.,Peaux-Bonzes,,,,,,,,,,,,,,,,,,
18,Océan,bran—,Râjean-,Angelo,An,Devant,sang—,manset,nil-ant,L an Pol,.:.—wan,Quantà,Anjou,aan,yan-accs,J an—Pol,Wanæ,anna,Blancs,Mangezl,aban—,anima—,"océan
Atlantique",Yankées,santa,pan_talon,Posant
19,f01,VÏ,Où,f01êt,A,r01,,,,,,,,,,,,,,,,,,,,,
20,Duquesne,FORT DUQUESNE,fortDuquesne,foiL Duquesne,fort Duquesne m’,ao1t Duquesne,sn,fort Duquesne,tort Duquesne,garnison du tort_Duqnesne,"fort
Duquesne",,,,,,,,,,,,,,,,
21,Allehany,Alleghanys,Alleghany,ghana,monts Alleghanys,,,,,,,,,,,,,,,,,,,,,,
22,Manonghahela,Manangahela,Manongahéla,nonchalant—,Monongahela,Gholula,,,,,,,,,,,,,,,,,,,,,
23,C‘»—ï‘,»—.,!,I,A&—.,,,,,,,,,,,,,,,,,,,,,,
24,pliska,Explique,Expliquez-,T5,Karnac celtique,Mexique,pliétés,golfe du Mexique,réplique-H,,,,,,,,,,,,,,,,,,
25,Baht,pç,Ah,,,,,,,,,,,,,,,,,,,,,,,,
26,Revenons,renon—,Vengé,reve—,souvenez-vons-enl,,,,,,,,,,,,,,,,,,,,,,
27,monticule artiﬁciel,senti—,conti—,Continuez,Con-,Frontières,"ile
Anticorps",eﬁenti—,bâti—,Gation,ﬂcon,convi—,Anticorps,consi—,,,,,,,,,,,,,
28,la feuillée,.ﬂ,bouillonna,Bouillon,Louisiane,Coulon,Oui,,,,,,,,,,,,,,,,,,,,
29,.‘_.,.‘ﬂ,.‘.0,.‘Ç,.‘Ïbmwﬁëz‘w‘ï,,,,,,,,,,,,,,,,,,,,,,
30,Sommes,Hommes,Sommes-,L‘homme,sommesè,,,,,,,,,,,,,,,,,,,,,,
31,a—,grima—,maga—,appara—,a—‘ÎT'ËÂ‘A,cama—,.a—,acca—,impla—,aaa—‘a,æa—,ajouta—,noncha—,impa—,esca—,,,,,,,,,,,,
32,faute n’,Faut,caus—,Çùj,l*autre,haute1,,,,,,,,,,,,,,,,,,,,,
33,Ropmdnclion,Hurons,Hu1ons,Grognon,Huron,Loups-Hurons,,,,,,,,,,,,,,,,,,,,,
34,impr—,aupr—,impro—,impos—,impor—,,,,,,,,,,,,,,,,,,,,,,
35,._—.—,st.—.,"äræætr—

s==,.—.=——_a","a

._—.",mm.—_—,ÆW,._—,,,,,,,,,,,,,,,,,,,,
36,Gr1gny,Grigny qu’,Grigny,Carignan,f,baron de Grigny,Joignez,,,,,,,,,,,,,,,,,,,,
37,vallée de l’,baie des Marmousets,comtesse de Maleval,comtesse de Malek,châtelaine de Maleval,château de Malevil,vallée de l’Ohio,comtesse de Melvalle,malte u re‘ux,AU CHATEAU DE MALEVAL,"FORT DUQUESNE

LE COMTE DE JUMONVJLLE",comtesse de Maleval‘l,lèg1es de M,,,,,,,,,,,,,,
38,-Ï,àËa-Ï,,,,,,,,,,,,,,,,,,,,,,,,,
39,d’l1 a1monie,mons,Filons,Montréal,Remonterons,cap des Monts-Pelés,Montm1e.noy,cons—,Saut de Montmorency,®,—- Voyons,—- Monsieur,monsæur,monäan,Algonquins,l‘émonie,,,,,,,,,,,
40,b*ﬂﬁﬂræ—?x,"Wﬂ—üv‘üﬁﬂ""ﬁä",E,æ—u.,X,,,,,,,,,,,,,,,,,,,,,,
41,JàJ,B,ly,La11dé11epa1t,A1,la1dàt,a1,ma1t1,pa110ns,ma1qu1se,V1 a1,SA1T-HÈnEM,la1s,la101e,,,,,,,,,,,,,
42,Trève,aves,Avez,Venez,entréavec,Pouvez-,Sauvez-le,Emp‘avez,Savez,avez—,savez—,,,,,,,,,,,,,,,,
43,Écoutez,south,Ecoutez-,Cou1,Goutte,Toutàcoup,Ajoutez,,,,,,,,,,,,,,,,,,,,
44,«.w-£v,.«.r,,,,,,,,,,,,,,,,,,,,,,,,,
45,——C’,c’,C’,—— C’,,,,,,,,,,,,,,,,,,,,,,,
46,brou—,u—»M,prou—,proba—,Proﬁtez,prodi—,redou—,trou—,amou—,,,,,,,,,,,,,,,,,,
47,n. GEI-‘FROY,— n. GEI-‘FROY,Glül*‘l«‘ROY,Œ,-‘:MHZ£…,u,,,,,,,,,,,,,,,,,,,,,
48,petit—être,Peut—,brut—,peut—,,,,,,,,,,,,,,,,,,,,,,,
49,Chérie,lac Érié,héris—,L‘intérieur,ché,,,,,,,,,,,,,,,,,,,,,,
50,"ViÎî""Î,—À:‘l","î""Ï",v‘:‘sﬁ,,,,,,,,,,,,,,,,,,,,,,,,
51,m‘v,M‘“,M‘“°_ de,,,,,,,,,,,,,,,,,,,,,,,,
52,"vv—""v",.v,",.vv",gvvm,,,,,,,,,,,,,,,,,,,,,,,
53,Alil Jan-Pol,Lil,"chaumiè1 e.

Il tenait un fusil",édil,utilis,Libre,silien—,Téoealis,Vil,G’,péiil—,pays civilisés,Liv,Elie,Galil,,,,,,,,,,,,
54,mæv+mæa,æaæ,35,“-æa,,,,,,,,,,,,,,,,,,,,,,,
55,fort Nécessité,fort Nécessite,"fort
Nécessité",fort de la Nécessité,"fort
Nécessité“",fort Accessité,Nécessité,néces—,,,,,,,,,,,,,,,,,,,
56,Ï sues,vôles,Pâles,"leé voile
de nuages",LES,Les,sées,De1sa1les,Drôles,—,,,,,,,,,,,,,,,,,
57,Léona,Léonal,Léoua,,,,,,,,,,,,,,,,,,,,,,,,
58,appré—,repré—,Aprés,wæ4W,pré—,appr—,,,,,,,,,,,,,,,,,,,,,
59,- —- Tout ce qui te touche m’,J e m’,m’,,,,,,,,,,,,,,,,,,,,,,,,
60,Celles,Laquelle,selle,Alle—,Sentinelle,elle—,mademoiselle,—elle,BELLE a1v1Eaa,réelle—,ÎBELLE,BELLE FilLeÉle,Telles,d’elle—,,,,,,,,,,,,,
61,tardes-Lu,Regardez,regardez,garderai,Bigar,regard ﬁde,,,,,,,,,,,,,,,,,,,,,
62,"Î—""r",Î,S:—,"é:—""ç",ÏœWÀ,,,,,,,,,,,,,,,,,,,,,,
63,Singuliers,"singulier1,ﬁt",Singuliére,Cavaliers,,,,,,,,,,,,,,,,,,,,,,,
