cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
0.0,crois,Sois,ape1çois,Crois,crois—,Crois-tu,,,,,,,,,,
1.0,ar‘b1es,heu1es,arm1es,ord1es,lèg1es de M,,,,,,,,,,,
2.0,soli—,poli—,Soldat,Oli,négli—,,,,,,,,,,,
3.0,Asie,plusiems,cap Rosier,russie,,,,,,,,,,,,
4.0,mur—,malheur—,au)mur,,,,,,,,,,,,,
5.0,LA 13 E LE,BEL L E ltl V !,—- Cela n’,J e m’,m| LEGAI,,,,,,,,,,,
6.0,canada,Canada,cana—,Cana-,,,,,,,,,,,,
7.0,Gens,gens‘dont,genouæ,,,,,,,,,,,,,
8.0,d’l1 a1monie,estonie,l‘agonie,V1 a1,Virginie,l‘émonie,,,,,,,,,,
9.0,baie d’Hudson,baie des Marmousets,cap des Monts-Pelés,,,,,,,,,,,,,
10.0,Lâches,lâche—,Marches,,,,,,,,,,,,,
11.0,verai,bivouaquerai,garderai,abuserai,,,,,,,,,,,,
12.0,pres—,lettres—,expres—,,,,,,,,,,,,,
13.0,Jura,jura,,,,,,,,,,,,,,
14.0,Peaux,Peau-,Peaux—,"peaux—
Lw",Bordeaux,Peaux-Bonzes,,,,,,,,,,
15.0,Armand,Charmante,normandes,,,,,,,,,,,,,
16.0,Nos_lectricien,trio—,électro—,,,,,,,,,,,,,
17.0,indien,Indien,mont1e1e indienne,toldos,toldos indiens,L‘indiﬁ‘érence,Indiens,d’un Indien,indienne,L’Indien,indiens,Indiennes,desIndiens,Indien Delaware,Ï' Indiens,pseudo-Indien
18.0,brou—,prou—,trou—,,,,,,,,,,,,,
19.0,Angelo,envelopp—,tableaupchangea,sang—,Mangezl,,,,,,,,,,,
20.0,faute n’,Faut,haute1,,,,,,,,,,,,,
21.0,tardes-Lu,HumîﬁtArd,Ward,Slïüîﬁte‘ﬂ.,,,,,,,,,,,,
22.0,pliska,Téoealis,whiskey,pliétés,,,,,,,,,,,,
23.0,Canadienne,Canadien-,Canadiens,Canadien,,,,,,,,,,,,
