cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24
0,Laisse,Anglais,parisﬁroSe,semblaientmet—,de la posses—,Le connaissez,mugisse—,Refuserais,laissons—,attendrisse—,,,,,,,,,,,,,,,
1,ellE,elLE,Elzsz‘s,selle,—elle,maIﬁelle,5lln,réelle—,"s’écria—
t—elle radieuse",bituelle,jeannEﬁelle,bois—chandelle,ﬁelle,ﬁellE,Folle,jeannEﬁlle,EllE,,,,,,,,
2,pauv—,V——,l'pauv—,Sauvée,,,,,,,,,,,,,,,,,,,,,
3,sa.—,ha.—,.—ÆÈÊ—icæœ,A,Salvator Rosa,là.—,,,,,,,,,,,,,,,,,,,
4,chaus—,chas—,BEAUMONT-AUSSI,J,haus—,,,,,,,,,,,,,,,,,,,,
5,compa—,Compagnon,combat—,com—-,Pompadour,impa—,compléte—,Accompagnerai,indompta—,,,,,,,,,,,,,,,,
6,L‘ABKANSAS,L‘ABKANSÆ,san té,DE L‘ABKANSAS,L”ABKANSAS,I‘Ah,L‘ABKAN,L‘ABIÇANSAS,"ABBANSAS- 295

je vais",sang—,ﬁ2,,,,,,,,,,,,,,
7,} c.,0 c.,,,,,,,,,,,,,,,,,,,,,,,
8,Nô Eusébio,NO Eusébio,,,,,,,,,,,,,,,,,,,,,,,
9,Canadien,ganado,"cadenet,—",Canadienne,campana,,,,,,,,,,,,,,,,,,,,
10,Indien,L’Indien,indienne,Indiens,indif—,indispen—,A l’indienne,vieuxichef indien,75,loin‘incendie,Indiennes,Indiens indé—,cienda,,,,,,,,,,,,
11,trou—,éprou—,dérou—,prodigué—,prome—,prodi—,répu—,profu—,,,,,,,,,,,,,,,,,
12,senorita,senorîta,senora,,,,,,,,,,,,,,,,,,,,,,
13,Caballero,probable—,calle del Rosario,hale—,Ro uuald,aller—,caba—,caballero—,,,,,,,,,,,,,,,,,
14,destruc—,reche1est,ESt,stacles,"agarmz‘ssry /a—
pitch neatissum !

C'est-à—dire",mysté—,n_st,l‘Ouest—,est—-,Est—ce,Est,Qu‘est,,,,,,,,,,,,,
15,rue du Rosaire,grotte du vert de gris,Vert de gris,,,,,,,,,,,,,,,,,,,,,,
16,j’,J’,j’ai dit,,,,,,,,,,,,,,,,,,,,,,
17,so—,no—,Co—,bro—,grigno—,physiono—,dénoû—,,,,,,,,,,,,,,,,,,
18,re—,légère—,quatre—vingts,arrière—,maître—,reve—,rece—,gre,,,,,,,,,,,,,,,,,
19,Arrêtez,arrêta—,arrê—,Partez,,,,,,,,,,,,,,,,,,,,,
20,possé—,impossi—,POST-FACE,"possé—
daient",possi—,dissé—,,,,,,,,,,,,,,,,,,,
21,liège,ger,obligeât,"dan—
gers",Hier,Alger,juge—,Carthage,roger,,,,,,,,,,,,,,,,
22,Luz l’,Luz !,Luz,,,,,,,,,,,,,,,,,,,,,,
23,échan—,chan—,La Havane,enchan—,,,,,,,,,,,,,,,,,,,,,
24,-DE,Gardez,Regardez,Bermudez,gard,regar—,guenarde,,,,,,,,,,,,,,,,,,
25,Pé-,Phébé,hé-,,,,,,,,,,,,,,,,,,,,,,
26,après—,"après—
cher",appro—,très—,pressentirl’après—,Congrès,,,,,,,,,,,,,,,,,,,
27,gie,Prie-Dieu,vie?Je,Vieux Chêne,Pardieul,prie—,S,Diplomatie,,,,,,,,,,,,,,,,,
28,retrouve—,Trêve,ventre—,s’entr’ouvrirent douce—,venturiers,vEntre’,Venue,A1’entrée,entraîne—,contre—,trente—,,,,,,,,,,,,,,
29,Docteur,peut—,Europe,Créateur,l’Europe,propor—,l'Europe,,,,,,,,,,,,,,,,,,
30,pays qu’,"palais
qu’",palais qu’,qu’,,,,,,,,,,,,,,,,,,,,,
31,préfé—,suré,ré—,expé—,exté—,eﬁ”arés,dé—,retiré—,,,,,,,,,,,,,,,,,
32,Demain,SAINT—DENYS,S',demain—,demanda—,maianza,,,,,,,,,,,,,,,,,,,
33,paisible—,ISRAÉLI,parais—,ruis—,saisis—,PUIS,tisfaît,sais,Isa,devais—,lissades,Quisis,remplis—-,sais—,visi—,"résis—
ter",Sais,suis—,Assis,lais—,Vais,"parais—
saient dans les ténèbres",ISR,résis—,Mississipi
34,préci—,précipi—,rési—,princi—,,,,,,,,,,,,,,,,,,,,,
35,Vages,Naples,Es,Eshis,Yankees,espè—,mornes,bles—,élysées,Essayez,Peaux Rouges,États Barbaresques,gigantes—,Les,Visages pâles ont-—,déses—,Jesusita,Victimes,Cesse,,,,,,
36,t-.50,500,,,,,,,,,,,,,,,,,,,,,,,
37,tiens—,Tiens,viens—,,,,,,,,,,,,,,,,,,,,,,
38,AUBENAS,beau—,Québec,Cà,ben,Bentles,I‘BEN,be-,,,,,,,,,,,,,,,,,
39,n-S.,n-8,un-8,,,,,,,,,,,,,,,,,,,,,,
40,Opatas,L'AVANT3AS,surpas—,Pas,pasto,Guaymas,Passé,I,impassible—,,,,,,,,,,,,,,,,
41,Mocksens,mons,consola—,monu—,Sermon,consé—,Monté,,,,,,,,,,,,,,,,,,
42,l-8.........,lil-12,L-8,l-8,.,,,,,,,,,,,,,,,,,,,,
43,honora—,Ghimborazo,État de Sonora,Sonora,Sonore,Nord,,,,,,,,,,,,,,,,,,,
44,pour—,A26,assour—,jour—,aujour—,amour—,mur—,ajoutale,Bonjour,tour—,four—,sour—,,,,,,,,,,,,,
45,mole,le-,role,Le soleil,soleil,le Soleil,lorque le soir,Soleil,facile—,le soleil,Le Soleil,,,,,,,,,,,,,,
46,glléra1,néral,confédéra—,tempéra—,Confédération,,,,,,,,,,,,,,,,,,,,
47,Versaires,empresse—,alïaires,Vipères,Pres,expres—,premier—,adres—,,,,,,,,,,,,,,,,,
48,mrs—,M8,mrs,lors—,,,,,,,,,,,,,,,,,,,,,
49,"sacriﬁer

La vérité",criﬁer,sacriﬁce de sa Vie,,,,,,,,,,,,,,,,,,,,,,
50,Aigle,H,AIGLE,Aigle ﬁt allumer du feu,aigle,,,,,,,,,,,,,,,,,,,,
51,ﬁhOnneur,mignonne,s’ai l’honneur,,,,,,,,,,,,,,,,,,,,,,
52,s’arran—,eﬂ‘ray,arran—,fran—,fr,Français,Durango,intran—,Quarante,étran—,,,,,,,,,,,,,,,
53,lez,"lejuez de
letras",letras,Miracle,juez,,,,,,,,,,,,,,,,,,,,
54,gambusinos mexicains,gambusinos,Gambusîno,Gambusinos,,,,,,,,,,,,,,,,,,,,,
55,l'Amérique du Sud,Mexique,améri—,Amérique du Sud,l’Afrique,Amérique,Afrique,Amérique des ﬂuctuations inﬁest L,Amérique du Nord,l’Amérique,Utique,,,,,,,,,,,,,,
56,Ai-,MG,ai-j e,ai-j e bien parlé,,,,,,,,,,,,,,,,,,,,,
57,subite—,Parfaitement,gaie—,Faites,parfaite—,s-,,,,,,,,,,,,,,,,,,,
