cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
0,Cœur-Loyal,"Cœur
Laval",Cœur Loyal,chot,Le Cœur-Loyal,,,,,,,,,
1,GRANDS CHEFS,tète,Grand Chef des Aueas,n_st,Pz'1z'c,Grande,grand’peine,,,,,,,
2,Américains,ainsi—,Américaine,Américaines,Mericains,,,,,,,,,
3,Regardez,guenarde,sa.—,Co—,gard,CIÊnÇn,Gardez,,,,,,,
4,senorîta,senora,ISR,Mocksens,senorita,ISRAÉLI,,,,,,,,
5,Oula,philoso—,Coulon,Voulu,,,,,,,,,,
6,roger,"ii
t",Alger,"dan—
gers",lez,ger,,,,,,,,
7,l-8,l-8.........,G,L-8,,,,,,,,,,
8,vigoureuse—-,insoucieuse—,Syracuse,vigoureuse—,silencieuse—,alfectueuse—,breuse,respectueuse—,,,,,,
9,surpas—,Passé,suré,pasto,Pas,,,,,,,,,
10,Tête d’Aigle,Tête d’Aigle 21 no Eusébio,"Tête
d’Aigle",m’,mrs,Tête d’ Aigle,Tête,piste de la Tête d’Aigle,Eh,Tête d'Aigle,La Tête d’Aigle,,,
11,vieuxichef indien,Indien,l‘Inde,indif—,Indiens indé—,L’Indien,Indiennes,indienne,indispen—,500,Indiens,A l’indienne,,
12,bril—,feuil—,oreil—,bouil—,lil—12,meil—,,,,,,,,
13,prome—,prodi—,appro—,&,profu—,pronon—,proba—,propor—,prodigué—,profondé—,,,,
14,vic—-,Mexi—,Mexico,cathédrale de Mexico,Mexique,,,,,,,,,
15,brous—,—— C’,bro—,bron—,sous—,vous;x,Slt,,,,,,,
16,Coup—,S',coup—,soup—,rm,Coupﬁance,,,,,,,,
17,conﬁer,convaicu,Congrès,conver—,Convaincu,contem—,convoiiîse,Linnée,,,,,,
18,sauvez—,pauv—,l'pauv—,Sauvée,,,,,,,,,,
19,jeun,s;.jeunes,Jeunes,TU,mornes,lune,Lune,,,,,,,
20,l’Europe,l'Europe,Europe,be-,,,,,,,,,,
21,Babillard,Babillard s’,Babillard n’,\illage,babitan,Babil-,Habitués,,,,,,,
22,Trois,Frauçoisl,Suedois,Sois,,,,,,,,,,
23,espa—,occupa—,ESpa—,espè—,,,,,,,,,,
24,États,grats,État,États-Unis,États Barbaresques,I‘Ah,,,,,,,,
25,Trêve,Cesse,n-8,Essayez,ressen—,Es,excessive—,,,,,,,
26,Rio Gila,Bio Gila,Aguilar,gie,lil-12,vos—,c—,Isa,,,,,,
27,beau—,Peaux Rouges,rivière Rouge,juge—,,,,,,,,,,
28,Bafaël jusqu’,Bafaël,jusqu’,ﬁilS,Rafaël,d’un,géné—,,,,,,,
29,négli—,Oli—,Pé-,appli—,civili—,,,,,,,,,
30,aban—,ban—-,ban—,n’aban—,,,,,,,,,,
31,Ai-,Eh !,ai-j e,bi—,,,,,,,,,,
32,maître—,ventre—,exté—,re—,êtrE,contre—,quatre—vingts,trente—,,,,,,
33,quel—-,quel—,.,Quels,,,,,,,,,,
34,"II

LE JUGEMENT",Simplement,Vivement,n’,remet—,in,,,,,,,,
35,l. forêt,arrêta—,arrê—,Arrêtez,,,,,,,,,,
36,Avez,avez,Nul n’,,,,,,,,,,,
37,Vais,devais—,"ABBANSAS- 295

je vais",V——,lais—,parais—,,,,,,,,
38,vieux chas—,vie?Je,B;ce,Eux,chas—,Vieux Chêne,,,,,,,,
39,Voyez,Moyen Age,Moyen,,,,,,,,,,,
40,Canadien,Canadienne,ganado,,,,,,,,,,,
41,seule—,hale—,facile—,ajoutale,A26,,,,,,,,,
42,j’ai dit,"II

L’",s’ai l’honneur,mignonne,ﬁhOnneur,,,,,,,,,
43,MQ,océan Paciﬁ-,Apac,Paciﬁque,Ciﬁque,ques,,,,,,,,
44,le soleil,Soleil,A,le Soleil,Le soleil,soleil,Le Soleil,,,,,,,
45,Visages pâles ont-—,Usages,Vages,Carthage,,,,,,,,,,
46,péon,caba—,Caballero,ler,L‘Allemagne,aller—,caballero—,,,,,,,
47,celavaut,L'AVANT3AS,Vivant,avan—,La Havane,,,,,,,,,
48,Vue,Luz l’,Luz,Luz !,,,,,,,,,,
49,Providence,Régences,provi—,La Providence,,,,,,,,,,
50,princi—,Incas,Vaincue,Giboto,,,,,,,,,,
51,aveu—,L’,Eu—,malheu—,lieu—,audacieu—,,,,,,,,
52,L‘ABKANSÆ,L‘ABKANSAS,L”ABKANSAS,L‘ABIÇANSAS,L‘ABKAN,DE L‘ABKANSAS,,,,,,,,
53,LES TRAPPL‘UN DE,TRAPPEUHS,trap—,TRAPPEUBS,peut—,trappes,"TRAPPEUBS

— Son",,,,,,,
54,Assiniboz‘ns,Assis,MG,Russie,Mississipi,,,,,,,,,
55,singu—,Sins,instaNt,ins—-,,,,,,,,,,
56,avide—,timide—,rapide—,évidem—,videz,m—,,,,,,,,
57,odette,Cette,M‘en,Mettez,C’,,,,,,,,,
58,prison—,murmu—,maison,maianza,venaison,,,,,,,,,
59,Les,Naples,bles—,"percepti—
bles",stacles,Bentles,,,,,,,,
60,Ambas—«ad,Sebastopol,BAS,DE L‘AlKKA‘BAS,Scotté le'bas,,,,,,,,,
61,Guadeloupe,Guaymas,Guadalaæw*a,,,,,,,,,,,
