cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
0,salle,y.,lüi,Allemagne,Ï,Allez,Salon,V’,,,,,,
1,Es,26À,.:+,Cest,Gravures,colombes,Suresnes,fes,Gênes,II,résédes,Es décidéde,Indes,ES
2,enne,Eden,E Henri,S,Lausanne,Mène,Vienne,,,,,,,
3,moütache,cher,Clichy,Michelet,He,| cher,fächerie,,,,,,,
4,manche,Manuscrits,la manche,Nancy,Penché,,,,,,,,,
5,Unissait,Jouissait,kB,fêchait,,,,,,,,,,
6,ñn’,pâréts-d8 bôñne,"Ï
L",,,,,,,,,,,
7,‘france,france,de France,iran,mélance',Florence,la France,,,,,,,
8,tùte,Égypte,Montez,Chantez,Somone,Suivante,Ponte,Remontée,deront,Mont-Valérien,Quittez,,,
9,LE,barcarolle,Leurs,éle,Élle,Île,sembleé,Bengale,mule,lez,m’,Ælle,e,
10,mar-,Marsan,CS,sanguinaireé,,,,,,,,,,
11,Sèvres,SÈVRES,,,,,,,,,,,,
12,Louvre,du Louvre,j’,oo L,,,,,,,,,,
13,Suisse,Laisse,Anglais,,,,,,,,,,,
14,BR,bruni,brouill,Br,brive,,,,,,,,,
15,État,AT,Atlas,Latin,,,,,,,,,,
16,Alsace,Grèce,LS,,,,,,,,,,,
17,J'ai,J',,,,,,,,,,,,
18,mer d’Azow,d’,Mème,,,,,,,,,,,
19,l'Espagne,Espagne,Pologne,,,,,,,,,,,
20,Ellé,Vallée,Ellé soüparait,|,,,,,,,,,,
21,Cousin,|coup,jalousie,VOus,,,,,,,,,,
22,Madäime,®,m'’aimais,aimais,voudrais,D,,,,,,,,
23,Bruyères,château des Bruyères,,,,,,,,,,,,
24,Phi-,Dauphiné,Au-,gènés,Sabiné,,,,,,,,,
25,Dépuis,läis,Is,"pre=. |
is",,,,,,,,,,
26,Agrigente,É,Régent,Genève,Rentrée,"vent

Î",,,,,,,,
27,Be,Berlin,,,,,,,,,,,,
28,Vosges,Î,Di,lagarde,jardin des Vosges,,,,,,,,,
29,Säbien,Fäbieñ Mauri,,,,,,,,,,,,
30,Courbée,Jours,Journées,Îles jours,Pour-,A,,,,,,,,
31,l’,L’,,,,,,,,,,,,
32,l'Italie,d'Italie,Italien,TA,,,,,,,,,,
33,Docteur,Heure,Asie Mineure,,,,,,,,,,,
34,"les

| deux bras etés",après-midi-molles,Versailles,Les,lesoir,Re Îles,Naples,Îles,boules-de-neige,Ileest,,,,
35,Ferney,Ferney qu’,hôtel de Ferney,Noagrnr,,,,,,,,,,
36,F,E,,,,,,,,,,,,
37,Tolède,Anatolie,Mélancolie,Jolie,Joie,,,,,,,,,
38,tenay,"VII

  
 
 
 
 
 
    

Henri de Fontenay",tenaÿy,fl+,Fontenay,Fontenayÿ,Grenade,,,,,,,
39,Soupirs,s’assoupir,Mossoul,rASOIr,s’,,,,,,,,,
40,Lucile,lune,lu,alluma,point voluptueuse,,,,,,,,,
41,l'Oise,Voix,Bois,oise,Oise,"-

— Vois-tu",A1,È,Sois,,,,,
42,feuillage du Luxembourg,Luxembourg,Wurtemberg,Bourgogne,,,,,,,,,,
43,Fa,t’,et’,,,,,,,,,,,
44,de Saxe,"—-
Elle promit de prendre ses repas",rue de Tournon,rue de l'Ancienne-Comédié,"rue Jean-
Bart",rue de,massif de myosotis,rue n’,"rue madame
Fortier",,,,,
45,cubañs,CU,,,,,,,,,,,,
46,Où,æ Où,LC,,,,,,,,,,,
47,maintienäet,Saint-Cloud,affirmait}.,maine,main,Lendemain.-Et,,,,,,,,
48,Los Rs,Tyrol,Rozée,Rome,Trocadéro,Rosée,Rose,Œ,,,,,,
49,perse,la pierre,Loire,RER,Ü,,,,,,,,,
50,le soleil,soleil,IL,Tsolée,,,,,,,,,,
51,"NOUVELLE ESPÉRANCE

ver",Nouvelle s’,demandaitelle,I,"NOUVELLE ESPÉRANCE

alables",Appelle,A NOUVELLE,Nouvelle,"LA NOUVELLE ESPÉRANCE 287

Elle",Hérelle,Noûs,,,
52,Hollande,mettant,éans,Ans,Anzin,,,,,,,,,
53,Ïl,Dominique,Quelquefois,Jean-Jacques,Ë,Quelque,Quelqu,,,,,,,
54,EF,UT,Autrefois,théètre,,,,,,,,,,
55,Effort,conñu,sälon,wagon,sion,Fon,ET - Non,,,,,,,
56,Curieuse,Veux-,Dété,Märie,Célérinage,térieux,,,,,,,,
57,bouscula,Cordoue,Rouen,Bois de Boulogne,ouée,boue,Bohême,,,,,,,
58,"la
Seine bleue",chine,la Seine,Messine,Seine,veines,,,,,,,,
59,CR,Naf,Menacée,mMéna-,nacre,,,,,,,,,
60,au’,jusqu’,Qui,qu’,Qu’'y,,,,,,,,,
61,Ÿ zor,niérée,Corinthe,Corée,,,,,,,,,,
62,Savez,voyäge,Voyez,,,,,,,,,,,
63,Âlors,Ca,cahors,,,,,,,,,,,
64,Obstinée,Touraine,Tournon,Tourainé,,,,,,,,,,
65,Assise,Pas,Passe,,,,,,,,,,,
66,Parme,Partez,Paris T,Paris végétal,Paris,,,,,,,,,
67,mul oreiller,VI,‘aiguille,Séville,,,,,,,,,,
