cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14
0,Laisse,Suisse,Assise,Unissait,Jouissait,Anglais,Passe,,,,,,,,
1,Es,Gravures,.:+,fes,Gênes,Messine,kB,Indes,résédes,château des Bruyères,Suresnes,colombes,ES,Bruyères,Cest
2,Quelque,Dominique,Quelqu,Quelquefois,y.,Jean-Jacques,,,,,,,,,
3,Voyez,Fa,voyäge,,,,,,,,,,,,
4,hôtel de Ferney,Ferney,Ferney qu’,Noagrnr,CS,,,,,,,,,,
5,Ë,du Louvre,Louvre,oo L,Loire,,,,,,,,,,
6,LE,barcarolle,mule,sembleé,‘aiguille,Leurs,lez,Élle,Île,Ælle,éle,Lucile,,,
7,Nancy,Penché,manche,Marsan,D,Manuscrits,la manche,,,,,,,,
8,térieux,Curieuse,Veux-,Fäbieñ Mauri,Märie,Célérinage,Dété,,,,,,,,
9,Vienne,enne,j’,Lausanne,VI,Säbien,,,,,,,,,
10,Seine,"la
Seine bleue",la Seine,veines,chine,,,,,,,,,,
11,"rue Jean-
Bart",rue de,"—-
Elle promit de prendre ses repas",rue de Tournon,"rue madame
Fortier",de Saxe,rue n’,massif de myosotis,lüi,rue de l'Ancienne-Comédié,,,,,
12,E Henri,"VII

  
 
 
 
 
 
    

Henri de Fontenay",Ï,Eden,II,,,,,,,,,,
13,AT,Atlas,"Ï
L",I,État,Latin,,,,,,,,,
14,L’,l’,,,,,,,,,,,,,
15,mer d’Azow,d’,Mème,,,,,,,,,,,,
16,et’,ET - Non,t’,®,,,,,,,,,,,
17,Sois,perse,l'Oise,Voix,"-

— Vois-tu",oise,läis,Is,Dépuis,Bois,F,Oise,point voluptueuse,,
18,EF,théètre,Autrefois,"pre=. |
is",UT,Effort,È,,,,,,,,
19,A NOUVELLE,Hérelle,Noûs,Nouvelle,"NOUVELLE ESPÉRANCE

alables",Nouvelle s’,Appelle,"NOUVELLE ESPÉRANCE

ver",26À,"LA NOUVELLE ESPÉRANCE 287

Elle",Ellé,ñn’,,,
20,Versailles,Bengale,salle,Alsace,Allez,Vallée,Allemagne,Séville,Savez,Salon,alluma,,,,
21,wagon,Mont-Valérien,Chantez,deront,Remontée,sälon,Suivante,Montez,Quittez,Ponte,Somone,sion,tùte,,
22,Où,æ Où,,,,,,,,,,,,,
23,Docteur,É,Heure,Asie Mineure,,,,,,,,,,,
24,Qu’'y,Qui,jusqu’,qu’,Ü,au’,,,,,,,,,
25,Au-,gènés,Dauphiné,Phi-,Sabiné,,,,,,,,,,
26,niérée,Corée,Ÿ zor,conñu,Corinthe,,,,,,,,,,
27,Florence,Grèce,la France,de France,france,iran,‘france,mélance',LS,,,,,,
28,Naf,CR,mMéna-,Menacée,nacre,Grenade,,,,,,,,,
29,A1,feuillage du Luxembourg,LC,Wurtemberg,Luxembourg,Bourgogne,,,,,,,,,
30,cahors,Âlors,Ca,,,,,,,,,,,,
31,Touraine,Obstinée,Tourainé,Tournon,voudrais,,,,,,,,,,
32,Pas,Partez,Parme,Paris,Paris végétal,Paris T,Ellé soüparait,fl+,,,,,,,
33,jalousie,|coup,VOus,Cousin,,,,,,,,,,,
34,éans,mettant,Anzin,Hollande,Ans,,,,,,,,,,
35,Anatolie,Joie,E,Jolie,Mélancolie,Tolède,,,,,,,,,
36,Di,"les

| deux bras etés",lagarde,jardin des Vosges,Es décidéde,Vosges,,,,,,,,,
37,Berlin,Be,,,,,,,,,,,,,
38,m’,l'Espagne,Ïl,Pologne,Espagne,,,,,,,,,,
39,maintienäet,maine,demandaitelle,Lendemain.-Et,sanguinaireé,aimais,main,Madäime,Saint-Cloud,mar-,m'’aimais,affirmait}.,,,
40,Pour-,Journées,Îles jours,Courbée,Jours,,,,,,,,,,
41,"vent

Î",Œ,Agrigente,Égypte,Régent,Genève,A,Rentrée,,,,,,,
42,rASOIr,Mossoul,s’,s’assoupir,Soupirs,,,,,,,,,,
43,Los Rs,Trocadéro,Rome,Rose,Rozée,Rosée,Tyrol,,,,,,,,
44,Re Îles,Naples,boules-de-neige,après-midi-molles,Ileest,Îles,Les,lesoir,,,,,,,
45,Clichy,He,la pierre,| cher,Michelet,fächerie,RER,cher,moütache,e,,,,,
46,Italien,TA,l'Italie,d'Italie,,,,,,,,,,,
47,SÈVRES,Sèvres,,,,,,,,,,,,,
48,fêchait,J',J'ai,,,,,,,,,,,,
49,V’,,,,,,,,,,,,,,
50,IL,mul oreiller,Tsolée,le soleil,soleil,,,,,,,,,,
51,S,|,CU,cubañs,,,,,,,,,,,
52,Fontenayÿ,Fon,tenay,tenaÿy,Fontenay,,,,,,,,,,
53,Rouen,Bois de Boulogne,ouée,Bohême,Cordoue,boue,bouscula,,,,,,,,
54,Î,Mène,lu,lune,pâréts-d8 bôñne,,,,,,,,,,
55,bruni,BR,brouill,brive,Br,,,,,,,,,,
