cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0,Sèvres,Lucile,LE,SÈVRES,,,,,,
1,Madäime,lu,pâréts-d8 bôñne,gènés,UT,Mème,Voyez,,,
2,Suisse,Dépuis,Laisse,Is,Jouissait,,,,,
3,Los Rs,théètre,,,,,,,,
4,perse,Au-,mMéna-,,,,,,,
5,‘france,®,france,de France,iran,mélance',la France,,,
6,ñn’,E Henri,lez,,,,,,,
7,Clichy,l'Espagne,mar-,Espagne,d’,éle,Ï,,,
8,Vosges,Louvre,du Louvre,Î,Grèce,CS,,,,
9,BR,Di,Noûs,Bohême,,,,,,
10,.:+,nacre,s’,brive,,,,,,
11,État,Soupirs,|coup,s’assoupir,Mossoul,,,,,
12,Hollande,après-midi-molles,barcarolle,II,Élle,Ælle,,,,
13,Naf,Œ,Br,,,,,,,
14,Docteur,Leurs,Heure,Asie Mineure,,,,,,
15,Anglais,m'’aimais,aimais,l’,voudrais,J',,,,
16,"NOUVELLE ESPÉRANCE

ver","NOUVELLE ESPÉRANCE

alables",mule,"LA NOUVELLE ESPÉRANCE 287

Elle",,,,,,
17,J'ai,Anatolie,Mélancolie,F,Jolie,æ Où,,,,
18,Es,Eden,mettant,Chantez,Rozée,läis,Suivante,j’,A,|
19,Parme,Partez,sälon,E,Qui,voyäge,Quittez,,,
20,au’,Agrigente,Régent,Genève,I,"vent

Î",,,,
21,Tolède,Gravures,Suresnes,fl+,Gênes,,,,,
22,Égypte,Dauphiné,Obstinée,Sabiné,,,,,,
23,Tyrol,AT,Rome,fes,t’,,,,,
24,moütache,cher,Phi-,Michelet,lagarde,| cher,fächerie,,,
25,EF,Ferney,Ferney qu’,hôtel de Ferney,,,,,,
26,Cordoue,Rouen,Dété,boue,,,,,,
27,colombes,niérée,Rentrée,Corée,,,,,,
28,tenay,"VII

  
 
 
 
 
 
    

Henri de Fontenay",tenaÿy,Ponte,Fontenay,Fontenayÿ,Fon,cahors,,
29,tùte,Montez,Somone,Remontée,deront,Latin,Mont-Valérien,,,
30,manche,Fäbieñ Mauri,Manuscrits,la pierre,la manche,"Ï
L",Ans,Nancy,Penché,Noagrnr
31,Pas,Passe,,,,,,,,
32,kB,Berlin,Ë,Anzin,Bengale,e,,,,
33,lune,y.,CU,Salon,m’,,,,,
34,Alsace,Les,Fa,Îles jours,Re Îles,Naples,Île,Îles,boules-de-neige,
35,Assise,de Saxe,lüi,massif de myosotis,,,,,,
36,maintienäet,maine,main,Lendemain.-Et,,,,,,
37,Rose,"pre=. |
is",Ü,,,,,,,
38,lesoir,Loire,rASOIr,et’,,,,,,
39,"les

| deux bras etés",Ÿ zor,Bruyères,jardin des Vosges,bruni,résédes,château des Bruyères,Es décidéde,Indes,
40,He,l'Italie,d'Italie,Italien,,,,,,
41,Effort,Saint-Cloud,point voluptueuse,Corinthe,ES,,,,,
42,Ïl,Courbée,É,Jours,Pour-,,,,,
43,26À,le soleil,Trocadéro,soleil,Tsolée,,,,,
44,Nouvelle s’,Atlas,A NOUVELLE,Nouvelle,,,,,,
45,Savez,Menacée,ouée,Grenade,Florence,,,,,
46,l'Oise,oise,Oise,L’,,,,,,
47,Dominique,Quelquefois,Rosée,RER,Jean-Jacques,Quelque,Ileest,Quelqu,,
48,VI,A1,oo L,,,,,,,
49,Unissait,Voix,affirmait}.,fêchait,Ellé soüparait,,,,,
50,cubañs,Mène,"rue Jean-
Bart",rue de,rue n’,"rue madame
Fortier",LS,,,
51,rue de Tournon,conñu,Journées,Touraine,Ca,Tournon,Tourainé,ET - Non,,
52,mer d’Azow,Bois,"-

— Vois-tu",Autrefois,Sois,,,,,
53,Curieuse,Veux-,Märie,Célérinage,térieux,TA,,,,
54,mul oreiller,Versailles,brouill,‘aiguille,Séville,,,,,
55,salle,Be,Vallée,alluma,LC,Allemagne,Allez,,,
56,sembleé,Wurtemberg,,,,,,,,
57,Âlors,"la
Seine bleue",S,chine,la Seine,IL,Messine,Seine,veines,
58,jusqu’,CR,qu’,Qu’'y,,,,,,
59,sion,Paris T,Paris végétal,Paris,,,,,,
60,Säbien,enne,rue de l'Ancienne-Comédié,Vienne,,,,,,
61,éans,bouscula,Cousin,jalousie,Joie,VOus,,,,
62,"—-
Elle promit de prendre ses repas",Ellé,Où,Cest,demandaitelle,wagon,Appelle,V’,Hérelle,
63,Marsan,Lausanne,È,sanguinaireé,,,,,,
64,Pologne,feuillage du Luxembourg,Luxembourg,Bois de Boulogne,D,Bourgogne,,,,
