cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6
0.0,Sèvres,SÈVRES,,,,,
1.0,Säbien,Fäbieñ Mauri,,,,,
2.0,Assise,massif de myosotis,Messine,,,,
3.0,cher,| cher,fächerie,,,,
4.0,Courbée,|coup,Pour-,,,,
5.0,manche,Manuscrits,la manche,Nancy,Penché,,
6.0,‘france,france,de France,iran,mélance',la France,
7.0,Âlors,Rosée,cahors,Florence,,,
8.0,Louvre,du Louvre,,,,,
9.0,Agrigente,Régent,Genève,"vent

Î",Noagrnr,,
10.0,éans,Ans,,,,,
11.0,jusqu’,qu’,Qu’'y,,,,
12.0,moütache,Clichy,Michelet,,,,
13.0,mar-,Marsan,Lausanne,sanguinaireé,,,
14.0,Suisse,Laisse,Anglais,voudrais,,,
15.0,Los Rs,de Saxe,"—-
Elle promit de prendre ses repas",Rome,"pre=. |
is",,
16.0,l'Espagne,Espagne,,,,,
17.0,Hollande,perse,Tyrol,après-midi-molles,barcarolle,,
18.0,Cousin,jalousie,VOus,,,,
19.0,m'’aimais,aimais,,,,,
20.0,"NOUVELLE ESPÉRANCE

ver","NOUVELLE ESPÉRANCE

alables","LA NOUVELLE ESPÉRANCE 287

Elle",,,,
21.0,Phi-,chine,Dauphiné,,,,
22.0,rue de Tournon,rue de,Tournon,ET - Non,,,
23.0,Tolède,Anatolie,Mélancolie,Jolie,,,
24.0,mettant,Chantez,E Henri,Suivante,,,
25.0,Gravures,Suresnes,Gênes,,,,
26.0,Vosges,lagarde,jardin des Vosges,,,,
27.0,Obstinée,Latin,Sabiné,,,,
28.0,Jours,Journées,Îles jours,,,,
29.0,Docteur,Leurs,Heure,Asie Mineure,,,
30.0,sälon,Salon,,,,,
31.0,Ferney,Ferney qu’,hôtel de Ferney,,,,
32.0,lesoir,Loire,rASOIr,,,,
33.0,tenay,"VII

  
 
 
 
 
 
    

Henri de Fontenay",tenaÿy,Ponte,Fontenay,Fontenayÿ,Fon
34.0,Montez,Somone,Remontée,deront,Mont-Valérien,,
35.0,Soupirs,s’assoupir,Mossoul,,,,
36.0,l'Oise,oise,Oise,Sois,,,
37.0,feuillage du Luxembourg,Luxembourg,Bourgogne,,,,
38.0,"rue Jean-
Bart",Jean-Jacques,rue n’,,,,
39.0,Pas,Passe,,,,,
40.0,Menacée,Grenade,nacre,,,,
41.0,Dépuis,Unissait,Jouissait,,,,
42.0,demandaitelle,Appelle,Élle,Hérelle,,,
43.0,Pologne,Bois,Bois de Boulogne,,,,
44.0,maintienäet,Saint-Cloud,affirmait}.,maine,main,Lendemain.-Et,
45.0,Touraine,Tourainé,,,,,
46.0,résédes,Es décidéde,Indes,,,,
47.0,"les

| deux bras etés",Bruyères,bruni,château des Bruyères,,,
48.0,l'Italie,d'Italie,Italien,,,,
49.0,le soleil,soleil,Tsolée,,,,
50.0,Nouvelle s’,A NOUVELLE,Nouvelle,,,,
51.0,Dominique,Quelquefois,Quelque,Quelqu,,,
52.0,Voix,point voluptueuse,"-

— Vois-tu",,,,
53.0,Les,Re Îles,Naples,Île,Îles,,
54.0,Autrefois,théètre,,,,,
55.0,pâréts-d8 bôñne,boules-de-neige,mule,,,,
56.0,Curieuse,Veux-,Märie,Célérinage,térieux,,
57.0,salle,Vallée,alluma,Rose,Allemagne,Allez,lez
58.0,bouscula,Cordoue,Rouen,boue,,,
59.0,"la
Seine bleue",la Seine,Seine,veines,,,
60.0,niérée,Rentrée,Corinthe,Corée,,,
61.0,Madäime,Effort,la pierre,"rue madame
Fortier",,,
62.0,Lucile,Cest,Ileest,,,,
63.0,voyäge,Voyez,,,,,
64.0,Parme,Ellé,fêchait,Ellé soüparait,,,
65.0,enne,rue de l'Ancienne-Comédié,Vienne,,,,
66.0,État,Paris T,Paris végétal,Paris,,,
67.0,mul oreiller,Versailles,brouill,‘aiguille,Ælle,Séville,
68.0,colombes,Berlin,sembleé,Wurtemberg,,,
69.0,Partez,Qui,Quittez,,,,
