cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25
0,Chapelle,Hall,Mlelulla,Chapels,Cape,,,,,,,,,,,,,,,,,,,,,
1,Amclia,Ameclia,Mmclia,Amcelia,Club,MAmclia,,,,,,,,,,,,,,,,,,,,
2,Linen,New,linendraer,Nenpelitan,,,,,,,,,,,,,,,,,,,,,,
3,Holland,holland,Hollyock,Switzerland,Newfoundland,Bogglywollah,,,,,,,,,,,,,,,,,,,,
4,Ma'am,Me'am,MAdame Strunpff,Ms'am,,,,,,,,,,,,,,,,,,,,,,
5,Fairs,Montmirail,NAY AIR,"L
AIR5",HOAI,Stairs,,,,,,,,,,,,,,,,,,,,
6,Winchester,Manchester,Wittgenstein,Duchess,,,,,,,,,,,,,,,,,,,,,,
7,Miaria,Bohemian Libraries,Maria,Iudia,Austria,Bulgaria,MIa'no,Vittoria,Irdia,Whitefriars,,,,,,,,,,,,,,,,
8,Morocco,morocco,HIorroeks,MoRal,,,,,,,,,,,,,,,,,,,,,,
9,Italy,ITALY,Bcngal,Kalydor,italy,,,,,,,,,,,,,,,,,,,,,
10,PIER0,Bierstadt,RER0,Pineries,"L
Series",Jupiter,Telier,Batavier,,,,,,,,,,,,,,,,,,
11,Rebeecca,RBebecca,Rebecca,Rehecca,llebeccn,Ilebecca,Relccca,Hebecca,Rebecec,Rector,Rzebecca,Rebeeca,Ielccca,Rebcecca,lebecca,Rebeecn,llebccca,Bebecca,Recbecca,HRebecca,Rlebecca,Rebccca,Reheecca,,,
12,Hodlsor,Soho,Winlsor,,,,,,,,,,,,,,,,,,,,,,,
13,lap6,La,LA,Flamma,Ladyslip,lAin,Lament,la-afon,Ladyship,"like,-declarig",Polal,las,Bethesda Place,,,,,,,,,,,,,
14,ROme,Rome,rome,Tomeuvesiun,,,,,,,,,,,,,,,,,,,,,,
15,St. George's Hospital,St. George's,Hunger,Geograply,Dearest George,,,,,,,,,,,,,,,,,,,,,
16,East India,Feasting,-s,West Indian,"tlc
East India Company's",the East Indian,the Chickasaw Indians,West India,,,,,,,,,,,,,,,,,,
17,Green,Grosvenor,Green avenue,Greenwich,Greenwood,,,,,,,,,,,,,,,,,,,,,
18,.aS,Nassau,It'as,L.A,Bombasy,,,,,,,,,,,,,,,,,,,,,
19,Britannia,Titania,Hritannia,Panitatan,Britain,Vanity,,,,,,,,,,,,,,,,,,,,
20,Cumbrilge,Cambridge,Cnnbridge,,,,,,,,,,,,,,,,,,,,,,,
21,"night,-and","her,-and","their eonfidential servants,-so","Joy,-and","suffers,-and",,,,,,,,,,,,,,,,,,,,,
22,the City,the Fre City of JudenstuIt,"the City, Sir",the County Dark,City,the Ale-Verse,us City,,,,,,,,,,,,,,,,,,,
23,Curtain,Curtains,Curzon,Mozurt,,,,,,,,,,,,,,,,,,,,,,
24,Circle,Nnpoleon,LE,Butler,Nanoleon,Leipzig,Mlaleira,Lessons,Temple,Cackle,Nile,Muddleton,Ritles,Leeds,Wales,Methusalem,Blenheim,Begleitung,Lederlung,Naples,motley,Legaey,,,,
25,M.P.,M.P,P.S.,,,,,,,,,,,,,,,,,,,,,,,
26,Venus,Vnuslall,Avenues,Silenus,,,,,,,,,,,,,,,,,,,,,,
27,Park LAne,Park lAne,Lausanne,"Park
Lane",Black Less,Transpareney,,,,,,,,,,,,,,,,,,,,
28,Button,Darton,Girton,Butts,Mutton,,,,,,,,,,,,,,,,,,,,,
29,France,FRance,fRance,Grand Uncle,Fraucis,,,,,,,,,,,,,,,,,,,,,
30,&c.,c.,C.B.,,,,,,,,,,,,,,,,,,,,,,,
31,Old England,Ireland,England,england,Flanders,eating'and,Langham,Long Island,lang,eNgland,,,,,,,,,,,,,,,,
32,Cousin,Molyneus,Us,mustaclios,Stadthnus,Lustrous,US,,,,,,,,,,,,,,,,,,,
33,Russia,AsIA,Asia,Persia,Siberia,,,,,,,,,,,,,,,,,,,,,
34,Potentate,margate,HIoggarty,BOAT1,Ramsgate,Margate,d'h6te,Sugar,Gazette,,,,,,,,,,,,,,,,,
35,Bouthdown,South-,Thomson,Soutludown,South,W1,"South See
Islands",Southdowu,Lorlsouthdown,thou,,,,,,,,,,,,,,,,
36,Peninsular,Peninsula,Consul,,,,,,,,,,,,,,,,,,,,,,,
37,Wcllington,Wellington,Wellingtons,Islington,,,,,,,,,,,,,,,,,,,,,,
38,Glorvinn,inn,Inn,Grass Inn,Inn of,Mirnnda,,,,,,,,,,,,,,,,,,,,
39,Calcutta,Caleutta,Calumny,,,,,,,,,,,,,,,,,,,,,,,
40,H.H.,the H. H.,the Black Hole,,,,,,,,,,,,,,,,,,,,,,,
41,Mosses,Susses,Sussex,Masses,Trusses,,,,,,,,,,,,,,,,,,,,,
42,europe,Europe,eUrope,,,,,,,,,,,,,,,,,,,,,,,
43,"Kensington
Gardens",Maidens,kensington Gardens,golden auburn,Kensington,Kensington Gardens,New Gardens,Inside,RBengal,uadrunt gardens,,,,,,,,,,,,,,,,
44,MIonsieur Isidor,Monsieur Isidor,Isidor,Monsieur,Monseineur,,,,,,,,,,,,,,,,,,,,,
45,Roehampton,hBrompton,Brompton,bRompton,Bronet,Bromptou,,,,,,,,,,,,,,,,,,,,
46,Richnond,chnmbermaid,Munich,Richelieu,Nob,Richmond,Christchurch,,,,,,,,,,,,,,,,,,,
47,Osborue,los,Lordslip,Oslorue,,,,,,,,,,,,,,,,,,,,,,
48,Liverpool,Lover,dO.,perseverancc,Dover,do't,Sovereigns,,,,,,,,,,,,,,,,,,,
49,"Stillbrook, Beck",Mill,Versailles,Pillar Ago,Cupil,Achilles,Billingsgate,Cornhill,IIlIll,Piccadilly,Ill,Lord Village,IlL,lL.,LL,LLxE,Gillespie,Ill.,Wildbad,IL,,,,,,
50,Jamaica,Camberwell,Cashmere,America,Rotterdam,IIammerlown,Africa,Camelot,,,,,,,,,,,,,,,,,,
51,L1,the Riding,the Red Book,the New Road,the Prince Regent,Regent,Magnificent,the Prince of Wales,,,,,,,,,,,,,,,,,,
52,Guarsmmn,Far,Pardon,Hyde Park,Hole Park,Park,Ark,paragon,,,,,,,,,,,,,,,,,,
53,DOorway,Blooms-,Wterloo,Waterloo,Bayswater,Charlotte,Booterstown,,,,,,,,,,,,,,,,,,,
54,New York,York,Cork,Yorkshire,,,,,,,,,,,,,,,,,,,,,,
55,Zwieback,Brunswick,SIckly,Chiswick,Chiswick Mill,Oliseick,ND M0HIs,Dulwich,WI,,,,,,,,,,,,,,,,,
56,Rowson,Southanpton Row,Southampton Row,Southampton,Southampton Gaol,Southamptou,Swamptown,Brougham,,,,,,,,,,,,,,,,,,
57,liEs,Ladies,Wiesbaden,DIe,,,,,,,,,,,,,,,,,,,,,,
58,Gaunt Street,Baker Street,Greek Street,Street,theBareet,Hart Street,"Half Moon
Street",Threadneedle Street,Curzon Street,,,,,,,,,,,,,,,,,
