cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
0.0,Street,theBareet,Gaunt Street,Hart Street,Baker Street,Curzon Street,"Half Moon
Street",Greek Street,,,,,,,,
1.0,Cambridge,Knightsbridge,Cumbrilge,Cnnbridge,,,,,,,,,,,,
2.0,LOndon,LE-----7s,Brandon,London,LONDON,Abandon,london,Londonderry,,,,,,,,
3.0,inn,Grass Inn,Inn,Inn of,,,,,,,,,,,,
4.0,Caleutta,Calumny,Methusalem,Calcutta,BOAT1,,,,,,,,,,,
5.0,Helvellyn,Molyneus,Machiavellian,,,,,,,,,,,,,
6.0,Camberwell,chnmbermaid,WWel-,,,,,,,,,,,,,
7.0,Rehecca,Reheecca,,,,,,,,,,,,,,
8.0,Rcbecca,Ilcbecca,Recbecca,Rcbecea,,,,,,,,,,,,
9.0,Domain,Spain,Jamaica,lAin,oman,,,,,,,,,,,
10.0,Charing,Being,Brings,Charlotte,Firin,,,,,,,,,,,
11.0,Lausanne,Cannes,,,,,,,,,,,,,,
12.0,Silenus,Blenheim,Nile,Venus,,,,,,,,,,,,
13.0,Pompeii,pomatum,Pompadour,,,,,,,,,,,,,
14.0,Westminster,Wittgenstein,instructiug,,,,,,,,,,,,,
15.0,hamlin,Hamlin,,,,,,,,,,,,,,
16.0,NAY AIR,"L
AIR5",Fairs,Stairs,,,,,,,,,,,,
17.0,"know.-
Drive",know-,,,,,,,,,,,,,,
18.0,Button,Butts,Mutton,,,,,,,,,,,,,
19.0,Holland,Hollyock,Bogglywollah,holland,Follows,Mlelulla,,,,,,,,,,
20.0,Grand Uncle,Circle,the Grand Old,,,,,,,,,,,,,
21.0,Me'am,Ms'am,Ma'am,,,,,,,,,,,,,
22.0,"tlc
East India Company's",the East Indian,the Chickasaw Indians,West Indian,East India,,,,,,,,,,,
23.0,eagles,Eagles,,,,,,,,,,,,,,
24.0,Prague,paragon,Pharaoh,bDemagogue,Demerara,,,,,,,,,,,
25.0,Telier,Gulielmo,Julia,Smithfield,liEs,,,,,,,,,,,
26.0,Hampshire,HAMPSHIRE,That Hampshire,Champaign,HIampshire,IIampshire,Hampsteud,,,,,,,,,
27.0,Orleans,Egnlite Orleans,Dans canean,Orlenns,the Duke of Orleans,New Orleans,,,,,,,,,,
28.0,Hornby,Cornhill,Forlorn,Borne,,,,,,,,,,,,
29.0,Oxford,fort,Brentford,,,,,,,,,,,,,
30.0,Sugar,Kangaroo,Trafalgar,,,,,,,,,,,,,
31.0,Lord Village,Ill,Piccadilly,Pillar Ago,"Stillbrook, Beck",Ill.,IlL,IIlIll,Mill,,,,,,,
32.0,eNgland,england,England,Old England,,,,,,,,,,,,
33.0,Iudia,Irdia,,,,,,,,,,,,,,
34.0,Hodlsor,Winlsor,,,,,,,,,,,,,,
35.0,Inside,Dresden,Providence,Maidens,"their eonfidential servants,-so",,,,,,,,,,,
36.0,"like,-declarig",Siberia,Maria,Whitefriars,Vittoria,Cimarosa,Miaria,Bulgaria,,,,,,,,
37.0,Batavier,PIER0,RER0,,,,,,,,,,,,,
38.0,Lament,Ghent,Potentate,Flamma,,,,,,,,,,,,
39.0,Rebeecn,Rebeeca,Rebeecca,Rcbeeca,,,,,,,,,,,,
40.0,Babylon,Mlonplaisir,Jais,,,,,,,,,,,,,
41.0,Europe,eUrope,europe,Opera,,,,,,,,,,,,
42.0,"L
l
e.","L
L","Yis
l
l
- .",,,,,,,,,,,,,
43.0,the Scene Mansion,the MAnsion ViCious,,,,,,,,,,,,,,
44.0,Gray,Mowbray,Geograply,,,,,,,,,,,,,
45.0,Winchester,Manchester,Duchess,,,,,,,,,,,,,
46.0,Rebcecca,Rebccca,llebccca,,,,,,,,,,,,,
47.0,DOorway,Moorish,Irishwomn,,,,,,,,,,,,,
48.0,Wiesbaden,Wildbad,,,,,,,,,,,,,,
49.0,Morocco,morocco,,,,,,,,,,,,,,
50.0,Glorvina,Glorvinn,,,,,,,,,,,,,,
51.0,Joy,Joy.,Enjoy,"Joy
edley",,,,,,,,,,,,
52.0,Corporal,MoRal,,,,,,,,,,,,,,
53.0,Asia,AsIA,Persia,,,,,,,,,,,,,
54.0,china,China,Maraschino,,,,,,,,,,,,,
55.0,red st,Red Seas,"A Sea o PerRY
ROCK II",Sea,,,,,,,,,,,,
56.0,Sniffin,Magnificent,agnes,,,,,,,,,,,,,
57.0,brussels,Brssels,Brussels,,,,,,,,,,,,,
58.0,Mujor,Major,Msjor,,,,,,,,,,,,,
59.0,Dover,Sovereigns,Liverpool,Lover,,,,,,,,,,,,
60.0,Belgium,Shylock,Belgravia,,,,,,,,,,,,,
61.0,Peninsula,Peninsular,Consul,,,,,,,,,,,,,
62.0,Chiswick,Chiswick Mill,Brunswick,,,,,,,,,,,,,
63.0,Hall,Vnuslall,Polal,,,,,,,,,,,,,
64.0,Bohemian Libraries,Jemia,Jemima,MIa'no,,,,,,,,,,,,
65.0,Fort Schwagerl,Begleitung,Hunger,Germany,,,,,,,,,,,,
66.0,RBussell-square,Hussell,"Lcicester
Square",Gaunt-square,,,,,,,,,,,,
67.0,papa2,Japan,,,,,,,,,,,,,,
68.0,County Mildred,the County Dark,County,Viscount Hellborough,,,,,,,,,,,,
69.0,Mount Saint John,Saint Jean,Saint Martin's,Saint Helen,Saint Kitts,Saint IIelena,,,,,,,,,,
70.0,Elbe,Schliisselback,Elba,,,,,,,,,,,,,
71.0,Fulam Road West,the West Winds,the West Indics,the West Inies,"the West
Eul-Casting Rang",Icst,West India,,,,,,,,,
72.0,France,Fraucis,fRance,perseverancc,FRance,,,,,,,,,,,
