cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17
0,LA,lap6,la-afon,Lament,Vnuslall,las,Bethesda Place,La,Marsala,Polal,Flamma,lAin,,,,,,
1,Street,theBareet,H.H.,Gaunt Street,Hart Street,Baker Street,Curzon Street,"Half Moon
Street",Greek Street,,,,,,,,,
2,Cambridge,Camberwell,Knightsbridge,Cumbrilge,Cnnbridge,,,,,,,,,,,,,
3,LOndon,Babylon,Don Juan,Mlonplaisir,Long Acre,Brandon,London,Armageddon,LONDON,Abandon,bDixonary,london,Londonderry,Wimbledon,Potztauscnd-Donncrwetter,,,
4,inn,in'a,Sniffin,Grass Inn,Dobin,Inn,Inn of,Vicnna,Vienna,,,,,,,,,
5,Rcbecca,Reheecca,Ilcbecca,Recbecca,Rcbecea,,,,,,,,,,,,,
6,Joy,Joy.,Enjoy,"Joy
edley",,,,,,,,,,,,,,
7,the New Road,New,the MIadras Roads,,,,,,,,,,,,,,,
8,Charing,Being,Christchurch,Brings,Pharaoh,Charlotte,Firin,,,,,,,,,,,
9,hamlin,Hamlin,,,,,,,,,,,,,,,,
10,Us,Molyneus,Cousin,mustaclios,US,Stadthnus,Methusalem,Lustrous,,,,,,,,,,
11,ST,the Straight Waistcoat,History,St.,Osbaldiston,instructiug,Artist,Ostend,Icst,,,,,,,,,
12,Button,Butts,Mutton,,,,,,,,,,,,,,,
13,Holland,Hollyock,Bogglywollah,holland,Switzerland,,,,,,,,,,,,,
14,Me'am,Ms'am,Ma'am,,,,,,,,,,,,,,,
15,the West Winds,the West End,the West Indics,West End,the West Inies,West End Swell,"the West
Eul-Casting Rang",,,,,,,,,,,
16,eagles,Eagles,Bagshot,,,,,,,,,,,,,,,
17,Hampshire,HAMPSHIRE,That Hampshire,Buckinghamshire,IInmpshire,Somersetshire,Wiltshire,Shropshire,HIampshire,Hnmshire,Empire,Iapshire,IIampshire,Hampsteud,,,,
18,Orleans,Egnlite Orleans,Dans canean,Orlenns,the Duke of Orleans,New Orleans,,,,,,,,,,,,
19,Sugar,HIoggarty,Kangaroo,Trafalgar,,,,,,,,,,,,,,
20,Versailles,Lord Village,Ill,Wildbad,Piccadilly,Pillar Ago,IL,Gillespie,"Stillbrook, Beck",Cornhill,Ill.,IlL,Cupil,IIlIll,Mill,Achilles,,
21,Hodlsor,Winlsor,Soho,,,,,,,,,,,,,,,
22,Batavier,PIER0,RER0,,,,,,,,,,,,,,,
23,ROme,Tomeuvesiun,rome,Rome,,,,,,,,,,,,,,
24,Rebeecn,Rebeeca,Rebeecca,Rcbeeca,Rector,Rebecec,,,,,,,,,,,,
25,Westminster,Fulam Road West,Wet,Esq,West,Wesleyan,Destiny,Smallest,eWe,Cowes,,,,,,,,
26,Europe,eUrope,europe,,,,,,,,,,,,,,,
27,L1,Lcipzig,Leipzig,,,,,,,,,,,,,,,
28,Lausanne,Cannes,Canada,agnes,Valencicnnes,,,,,,,,,,,,,
29,Gray,Mowbray,Geograply,Belgravia,,,,,,,,,,,,,,
30,Rebcecca,Rebccca,llebccca,Relccca,Ielccca,,,,,,,,,,,,,
31,Morocco,MoRal,morocco,HIorroeks,,,,,,,,,,,,,,
32,Glorvina,Glorvinn,,,,,,,,,,,,,,,,
33,Asia,the Russian Order of Sin Nicholas,AsIA,Persia,,,,,,,,,,,,,,
34,Brougham,rouge,Langham,,,,,,,,,,,,,,,
35,china,China,Maraschino,,,,,,,,,,,,,,,
36,Athens,Crmrthenshire,Devonshire,cr,,,,,,,,,,,,,,
37,red st,W1,Red Seas,"A Sea o PerRY
ROCK II",the dark sea,Sea,,,,,,,,,,,,
38,Schliisselback,brussels,RBussell-square,Hussell,Brssels,Russia,Brussels,Bruges,,,,,,,,,,
39,do't,Dover,dO.,Sovereigns,Liverpool,Lover,,,,,,,,,,,,
40,eNgland,lang,Ireland,Newfoundland,england,England,Old England,eating'and,,,,,,,,,,
41,yong,Flanders,Yonder,Alderney,Derby,Podder,,,,,,,,,,,,
42,"like,-declarig",Moorish,pAris,paris,Paris,Irishwomn,,,,,,,,,,,,
43,Peninsula,Peninsular,Consul,,,,,,,,,,,,,,,
44,WI,Oliseick,SIckly,Chiswick,Chiswick Mill,ND M0HIs,Dulwich,Brunswick,,,,,,,,,,
45,&c.,c.,C.B.,,,,,,,,,,,,,,,
46,"L
l
e.","L
L","Yis
l
l
- .",Ihh,,,,,,,,,,,,,,
47,that1,Chatham,Thames,Champaign,Thames St.,Fulham,Haydn,CHATHAM,,,,,,,,,,
48,papa2,Japan,A20,,,,,,,,,,,,,,,
49,County Mildred,the County Dark,County,Mount,Viscount Hellborough,Mount St.,,,,,,,,,,,,
50,LE-----7s,"L
-a--",x--,,,,,,,,,,,,,,,
51,Io,the Scene Mansion,the Marquis of Stone's,the MAnsion ViCious,the Magic Flute,,,,,,,,,,,,,
52,MAmclia,Amclia,Ameclia,Mmclia,,,,,,,,,,,,,,
53,York,Cork,Yorkshire,New York,,,,,,,,,,,,,,
54,Winchester,Manchester,Salamanca,Duchess,"Lcicester
Square",,,,,,,,,,,,,
55,Belinda,Amelin,Camelot,Amelina,,,,,,,,,,,,,,
56,Colony,Polonia,Udolplo,Glenmalony,Balcony,"ceremony,-I",,,,,,,,,,,,
57,Ours,Fitzjurld,Coursing,Surrey,Humours,Pompadour,,,,,,,,,,,,
58,Desert,"L
Series",Pineries,,,,,,,,,,,,,,,
59,Mosses,Masses,Susses,Sussex,Trusses,,,,,,,,,,,,,
60,Bierstadt,Oystherstown,Booterstown,Cape Town,brother--,,,,,,,,,,,,,
61,Gaunt,Great Gaunt,New Gaunt,Great Britain,Great Gaunt-,Great Gaunt Street,Gaunt-square,Punjaub,,,,,,,,,,
62,MIonsieur Isidor,Monsieur Isidor,Monseineur,Monsieur,Isidor,,,,,,,,,,,,,
63,"fell,-she",-s,Shehas,,,,,,,,,,,,,,,
64,Kalydor,Sadly,italy,ITALY,Italy,,,,,,,,,,,,,
65,the Green of She,Green,Green avenue,Greenwich,Greenwood,,,,,,,,,,,,,
66,Mlaleira,Madeira,Mndeira,,,,,,,,,,,,,,,
67,Wiesbaden,Ladies,DIe,liEs,,,,,,,,,,,,,,
68,DR,Madrs,Armada,,,,,,,,,,,,,,,
69,Jemia,Jemima,IM,bDemagogue,,,,,,,,,,,,,,
70,St. Helen,Mount Saint John,Saint Jean,Saint Martin's,Saint Helen,Saint Kitts,Saint IIelena,,,,,,,,,,,
71,St. George's,St. George's Hospital,,,,,,,,,,,,,,,,
72,Anelia,Telier,Amcelia,lelia,Julia,Machiavellian,Mmelia,Inlia,Aielia,Armelia,melia,Cecilia,Aelia,Melia,Auelia,Amelia,MAmelia,Goliah
73,Frenchmen,Trenck,Florence,Wrench,Trssarenc,Frenchmnan,,,,,,,,,,,,
74,"L

L3",L W,"L

l
-'Y","L 
ti",,,,,,,,,,,,,,
75,Club,Luura,Lnura,,,,,,,,,,,,,,,
76,O'Down,"know.-
Drive",Rowson,know-,OW,Follows,Lowood,Rowlnand,Moscow,,,,,,,,,
77,Africa,WRICII,America,Jamaica,Cashmere,,,,,,,,,,,,,
78,Maakou,Marouis,Cimarosa,Marquisl,Louis,,,,,,,,,,,,,
79,Corporal,Fort Schwagerl,fort,Porteus,Port,Portland,Portansherry,,,,,,,,,,,
80,Brazil,grin-'`Brazil,brazil,,,,,,,,,,,,,,,
81,Curtains,Spain,Mozurt,Curzon,Curtain,,,,,,,,,,,,,
82,Bronet,Baronet,,,,,,,,,,,,,,,,
83,the Latin Grammar,Grand Uncle,the Grand Old,the Old 9daughter',,,,,,,,,,,,,,
84,Bullock,Bulloeks,Shylock,Bulloeck,,,,,,,,,,,,,,
85,chnmbermaid,Inside,Providence,golden auburn,Maidens,"their eonfidential servants,-so",,,,,,,,,,,,
86,the City of London,8he,the Arabian Nights,"the City, Sir",the City,the Fre City of JudenstuIt,the Ale-Verse,the H. H.,Vanity,us City,City,,,,,,,
87,los,Oslorue,Osborue,,,,,,,,,,,,,,,
88,Prague,Hunger,the Peerage of Ireland,Peerage,Opera,Demerara,,,,,,,,,,,,
89,Roehampton,Southampton Row,Swamptown,Southanpton Row,Southampton,Southampton Gaol,Southamptou,Nuthan,,,,,,,,,,
90,Pompeii,Bromptou,Brompton,hBrompton,bRompton,,,,,,,,,,,,,
91,Hall,lL.,LL,LLxE,,,,,,,,,,,,,,
92,Funey,linendraer,L-LifE,Continent,Linen,Nenpelitan,Pnrlinmcnt,,,,,,,,,,,
93,Mirnnda,Montmoreucy,Montmirail,Trail,,,,,,,,,,,,,,
94,NAY AIR,"L
AIR5",HOAI,Fairs,Stairs,,,,,,,,,,,,,
95,Sultan,Neapolitan,Britain,Britannia,Panitatan,Hritannia,Iphigenia,Titania,,,,,,,,,,
96,Ivor,Hornby,Oxford,Lorlship,Forlorn,Brentford,Borne,,,,,,,,,,,
97,sC,Scotch,Scotland,the atlantic Ocean,Shetland,,,,,,,,,,,,,
98,MIrth,Girton,Darton,,,,,,,,,,,,,,,
99,"&c.
Rawdon",Rawdon,,,,,,,,,,,,,,,,
100,IIammerlown,Wterloo,Rotterdam,Blooms-,Waterloo,Bayswater,,,,,,,,,,,,
101,Coventry,the Cannibal Islands,"Coventry
Island",Long Island,Coventry Island,,,,,,,,,,,,,
102,Mujor,Major,Msjor,,,,,,,,,,,,,,,
103,Briglton,Brighton -for Brighton,Brighten,Brighton,,,,,,,,,,,,,,
104,"Joy,-and","suffers,-and","her,-and","night,-and",,,,,,,,,,,,,,
105,Iudia,Irdia,the Chickasaw Indians,Indin,Minded,India,MInd-,India1,,,,,,,,,,
106,Park LAne,Ark,paragon,Turkey,Park lAne,Hole Park,Hyde Park,Guarsmmn,Park,Far,"Park
Lane",Pardon,Transpareney,Bonaparty,,,,
107,Brainton,intre,TO3,Cato,INto,Point-,,,,,,,,,,,,
108,Negation,Regan,Legaey,regan,,,,,,,,,,,,,,
