cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26
0,Transpareney,Funey,Trail,x--,"know.-
Drive",M.P,,,,,,,,,,,,,,,,,,,,,
1,Demerara,Cashmere,ST,Caradori,La,Pharaoh,Opera,,,,,,,,,,,,,,,,,,,,
2,Gulielmo,Mr,I1l,HIorroeks,Smithfield,Ivor,liEs,,,,,,,,,,,,,,,,,,,,
3,Rebccca,Rebcecca,llebccca,Ielccca,Relccca,,,,,,,,,,,,,,,,,,,,,,
4,Brougham,Langham,rouge,,,,,,,,,,,,,,,,,,,,,,,,
5,Gillespie,Versailles,Smallest,Achilles,,,,,,,,,,,,,,,,,,,,,,,
6,Dover,Lover,C.B.,Sovereigns,Liverpool,,,,,,,,,,,,,,,,,,,,,,
7,Lowood,Sehxueuelt,Follows,,,,,,,,,,,,,,,,,,,,,,,,
8,Hall,LA,Vnuslall,Ballinasloe,,,,,,,,,,,,,,,,,,,,,,,
9,Begleitung,Leipzig,Lnura,Hunger,,,,,,,,,,,,,,,,,,,,,,,
10,Park,Ark,Nob,Park LAne,Park lAne,"Park
Lane",know-,Hole Park,Fitzjurld,Hyde Park,,,,,,,,,,,,,,,,,
11,South-,Esq,South,DR,"South See
Islands",,,,,,,,,,,,,,,,,,,,,,
12,Oxford,Lordslip,fort,Elba,Brentford,Bordeaux,Fort Schwagerl,,,,,,,,,,,,,,,,,,,,
13,Abandon,London,london,LOndon,LONDON,Brandon,las,Londonderry,,,,,,,,,,,,,,,,,,,
14,Chapels,Chapelle,Cape,,,,,,,,,,,,,,,,,,,,,,,,
15,the H. H.,bDixonary,the Ale-Verse,the Scene Mansion,the Magic Flute,the Riding,the Marquis of Stone's,the Prince of Wales,the Straight Waistcoat,the MIadras Roads,the Valley of Diamonds,the dark sea,the Old 9daughter',the Black Hole,Bethesda Place,the New Road,the atlantic Ocean,the Grand Old,the MAnsion ViCious,Athens,the Arabian Nights,the Latin Grammar,the Aurelius Garden,the Red Book,the Peerage of Ireland,the Prince Regent,the Russian Order of Sin Nicholas
16,Rotterdam,Charlotte,Jupiter,Circle,Gazette,Potztauscnd-Donncrwetter,,,,,,,,,,,,,,,,,,,,,
17,Newfoundland,Scotland,Ireland,Switzerland,Shetland,lang,New,Flanders,,,,,,,,,,,,,,,,,,,
18,Recbecca,Rcbecca,Ilcbecca,Rcbecea,,,,,,,,,,,,,,,,,,,,,,,
19,Bayswater,swan,,,,,,,,,,,,,,,,,,,,,,,,,
20,golden auburn,Mudbury,Bloomnsbury,Mulbury,Cato,BOAT1,Yalbury,Canterbury,Burkc,,,,,,,,,,,,,,,,,,
21,York,Cork,Cackle,New York,,,,,,,,,,,,,,,,,,,,,,,
22,Vicnna,Cnnbridge,Vienna,Knightsbridge,Cambridge,,,,,,,,,,,,,,,,,,,,,,
23,Brazil,grin-'`Brazil,brazil,Mowbray,sC,,,,,,,,,,,,,,,,,,,,,,
24,the West End,the West Winds,lL.,the West Inies,"the West
Eul-Casting Rang",West End Swell,West End,the West Indics,Fulam Road West,,,,,,,,,,,,,,,,,,
25,regan,Legaey,Negation,Regent,NoEL,los,Regan,,,,,,,,,,,,,,,,,,,,
26,Great Gaunt Street,Great Gaunt,Gaunt,Gaunt-square,III1,Great Gaunt-,New Gaunt,Great Britain,,,,,,,,,,,,,,,,,,,
27,Italy,L-LifE,Kalydor,ITALY,italy,,,,,,,,,,,,,,,,,,,,,,
28,India,Indin,Bombasy,India1,the Chickasaw Indians,,,,,,,,,,,,,,,,,,,,,,
29,Armada,Madeira,Mndeira,Madrs,Mlaleira,,,,,,,,,,,,,,,,,,,,,,
30,Mujor,Msjor,IL,Major,,,,,,,,,,,,,,,,,,,,,,,
31,Point-,INto,intre,TO3,,,,,,,,,,,,,,,,,,,,,,,
32,Jamaica,Africa,America,WRICII,,,,,,,,,,,,,,,,,,,,,,,
33,Silenus,Blenheim,Nile,,,,,,,,,,,,,,,,,,,,,,,,
34,Canada,Cannes,agnes,Bagshot,Valencicnnes,Lausanne,,,,,,,,,,,,,,,,,,,,,
35,Green avenue,the Green of She,Green,Sadly,Greenwood,Haydn,Greenwich,,,,,,,,,,,,,,,,,,,,
36,Saint IIelena,Saint Martin's,Saint Jean,Mount Saint John,Saint Helen,Brainton,Saint Kitts,,,,,,,,,,,,,,,,,,,,
37,Rzebecca,Rlebecca,llebeccn,Reheecca,Bebecca,Rehecca,Hebecca,lebecca,RBebecca,Ilebecca,Rebecca,HRebecca,,,,,,,,,,,,,,,
38,SIckly,Oliseick,,,,,,,,,,,,,,,,,,,,,,,,,
39,Moscow,Scotch,,,,,,,,,,,,,,,,,,,,,,,,,
40,Me'am,Ms'am,Ma'am,,,,,,,,,,,,,,,,,,,,,,,,
41,"L
Series",Desert,Pineries,,,,,,,,,,,,,,,,,,,,,,,,
42,Minded,MInd-,MR,,,,,,,,,,,,,,,,,,,,,,,,
43,Frenchmnan,Wrench,Florence,Frenchmen,Trenck,Trssarenc,II.R.II,,,,,,,,,,,,,,,,,,,,
44,Coventry,Coventry Island,"Coventry
Island",the Cannibal Islands,Long Island,,,,,,,,,,,,,,,,,,,,,,
45,L.A,"fell,-she",Maakou,Shehas,Helvellyn,tEll,,,,,,,,,,,,,,,,,,,,,
46,Long Acre,Babylon,yong,,,,,,,,,,,,,,,,,,,,,,,,
47,"Lcicester
Square",Winchester,Westminster,Duchess,Manchester,,,,,,,,,,,,,,,,,,,,,,
48,RER0,Boulogne,Boulogue,British Boulogne,Cologne,,,,,,,,,,,,,,,,,,,,,,
49,Leeds,Threadneedle,"Joy
edley",Ihh,Thrump,,,,,,,,,,,,,,,,,,,,,,
50,DIe,Cowes,Wesleyan,West,motley,,,,,,,,,,,,,,,,,,,,,,
51,holland,Bogglywollah,Holland,Hollyock,,,,,,,,,,,,,,,,,,,,,,,
52,LL,Hornby,LE-----7s,Forlorn,Borne,,,,,,,,,,,,,,,,,,,,,,
53,Bruges,Trusses,brussels,Brssels,Brussels,Sussex,RBussell-square,Hussell,,,,,,,,,,,,,,,,,,,
54,Batavier,PIER0,"L
II",Telier,,,,,,,,,,,,,,,,,,,,,,,
55,EL,Brompton,Bromptou,hBrompton,bRompton,,,,,,,,,,,,,,,,,,,,,,
56,US,Colony,Glenmalony,"ceremony,-I",Polonia,Balcony,,,,,,,,,,,,,,,,,,,,,
57,Jais,eWe,Mlonplaisir,HOAI,Pump,,,,,,,,,,,,,,,,,,,,,,
58,Camelot,Amelin,Amelina,"L 
ti",Belinda,,,,,,,,,,,,,,,,,,,,,,
59,Firin,Cumbrilge,Charing,Brings,Erbprinz,Being,,,,,,,,,,,,,,,,,,,,,
60,Ladies,nhl,Ladyship,Lorlship,Ladyslip,"L
-a--",,,,,,,,,,,,,,,,,,,,,
61,Pillar Ago,"Stillbrook, Beck",Lcipzig,IIlIll,IlL,Ill.,Piccadilly,Mill,Cupil,Ill,Cornhill,Lord Village,,,,,,,,,,,,,,,
62,Southdowu,Lorlsouthdown,Soutludown,Bouthdown,O'Down,,,,,,,,,,,,,,,,,,,,,,
63,Old England,england,lap6,eNgland,England,,,,,,,,,,,,,,,,,,,,,,
64,Guarsmmn,Marsala,Methusalem,Whitefriars,,,,,,,,,,,,,,,,,,,,,,,
65,Club,Viscount Hellborough,County,County Mildred,the County Dark,,,,,,,,,,,,,,,,,,,,,,
66,HAMPSHIRE,IInmpshire,That Hampshire,HIampshire,Champaign,Hampshire,IIampshire,Hampsteud,,,,,,,,,,,,,,,,,,,
67,Billingsgate,Wcllington,Wellingtons,Wellington,Islington,Wildbad,,,,,,,,,,,,,,,,,,,,,
68,"Joy,-and","her,-and","suffers,-and",H.H.,"night,-and",,,,,,,,,,,,,,,,,,,,,,
69,Turkey,Elbe,Lament,Flamma,Ghent,Magnificent,,,,,,,,,,,,,,,,,,,,,
70,Marquisl,Cimarosa,Louis,Marouis,Louis XVIII,,,,,,,,,,,,,,,,,,,,,,
71,Jemia,Jemima,Bohemian Libraries,MIa'no,,,,,,,,,,,,,,,,,,,,,,,
72,cr,Fairs,NAY AIR,"L
AIR5",Zwieback,Stairs,,,,,,,,,,,,,,,,,,,,,
73,It'as,Bonaparty,papa2,Japan,,,,,,,,,,,,,,,,,,,,,,,
74,Coursing,Humours,Ours,,,,,,,,,,,,,,,,,,,,,,,,
75,Butler,Butts,Button,Mutton,,,,,,,,,,,,,,,,,,,,,,,
76,RBengal,dO.,Bcngal,,,,,,,,,,,,,,,,,,,,,,,,
77,Gray,Belgravia,Geograply,Belgium,Grand Uncle,,,,,,,,,,,,,,,,,,,,,,
